Delay (ms),Autocorrelation (a.u.),sensor,language,tone,participant,script
0.0,1.711039416e-07,autocorrelations,en,bus,duru,t1
0.02083767452,1.634889331e-07,autocorrelations,en,bus,duru,t1
0.04167534903,1.62300137e-07,autocorrelations,en,bus,duru,t1
0.06251302355,1.619722751e-07,autocorrelations,en,bus,duru,t1
0.08335069806,1.608859748e-07,autocorrelations,en,bus,duru,t1
0.1041883726,1.597232783e-07,autocorrelations,en,bus,duru,t1
0.1250260471,1.579283359e-07,autocorrelations,en,bus,duru,t1
0.1458637216,1.566069527e-07,autocorrelations,en,bus,duru,t1
0.1667013961,1.564522807e-07,autocorrelations,en,bus,duru,t1
0.1875390706,1.54385524e-07,autocorrelations,en,bus,duru,t1
0.2083767452,1.526546581e-07,autocorrelations,en,bus,duru,t1
0.2292144197,1.522316661e-07,autocorrelations,en,bus,duru,t1
0.2500520942,1.501786828e-07,autocorrelations,en,bus,duru,t1
0.2708897687,1.488145303e-07,autocorrelations,en,bus,duru,t1
0.2917274432,1.476235794e-07,autocorrelations,en,bus,duru,t1
0.3125651177,1.455447953e-07,autocorrelations,en,bus,duru,t1
0.3334027922,1.440082839e-07,autocorrelations,en,bus,duru,t1
0.3542404668,1.418910735e-07,autocorrelations,en,bus,duru,t1
0.3750781413,1.403054402e-07,autocorrelations,en,bus,duru,t1
0.3959158158,1.39202434e-07,autocorrelations,en,bus,duru,t1
0.4167534903,1.374439231e-07,autocorrelations,en,bus,duru,t1
0.4375911648,1.35274068e-07,autocorrelations,en,bus,duru,t1
0.4584288393,1.333249275e-07,autocorrelations,en,bus,duru,t1
0.4792665139,1.312749566e-07,autocorrelations,en,bus,duru,t1
0.5001041884,1.296730185e-07,autocorrelations,en,bus,duru,t1
0.5209418629,1.276719399e-07,autocorrelations,en,bus,duru,t1
0.5417795374,1.254006143e-07,autocorrelations,en,bus,duru,t1
0.5626172119,1.235743885e-07,autocorrelations,en,bus,duru,t1
0.5834548864,1.216870916e-07,autocorrelations,en,bus,duru,t1
0.604292561,1.197107709e-07,autocorrelations,en,bus,duru,t1
0.6251302355,1.176055404e-07,autocorrelations,en,bus,duru,t1
0.64596791,1.154031505e-07,autocorrelations,en,bus,duru,t1
0.6668055845,1.132570679e-07,autocorrelations,en,bus,duru,t1
0.687643259,1.109913007e-07,autocorrelations,en,bus,duru,t1
0.7084809335,1.088650823e-07,autocorrelations,en,bus,duru,t1
0.729318608,1.069873665e-07,autocorrelations,en,bus,duru,t1
0.7501562826,1.04705954e-07,autocorrelations,en,bus,duru,t1
0.7709939571,1.023600354e-07,autocorrelations,en,bus,duru,t1
0.7918316316,1.002448865e-07,autocorrelations,en,bus,duru,t1
0.8126693061,9.837591067e-08,autocorrelations,en,bus,duru,t1
0.8335069806,9.593131224e-08,autocorrelations,en,bus,duru,t1
0.8543446551,9.367394708e-08,autocorrelations,en,bus,duru,t1
0.8751823297,9.122302661e-08,autocorrelations,en,bus,duru,t1
0.8960200042,8.922782902e-08,autocorrelations,en,bus,duru,t1
0.9168576787,8.689380612e-08,autocorrelations,en,bus,duru,t1
0.9376953532,8.453608155e-08,autocorrelations,en,bus,duru,t1
0.9585330277,8.232938576e-08,autocorrelations,en,bus,duru,t1
0.9793707022,8.006552546e-08,autocorrelations,en,bus,duru,t1
1.000208377,7.803060321e-08,autocorrelations,en,bus,duru,t1
1.021046051,7.564628897e-08,autocorrelations,en,bus,duru,t1
1.041883726,7.322901174e-08,autocorrelations,en,bus,duru,t1
1.0627214,7.092897033e-08,autocorrelations,en,bus,duru,t1
1.083559075,6.882626824e-08,autocorrelations,en,bus,duru,t1
