"Time (s)","Sound pressure level (dB)"
0.000000000E0,-6.076551300E1
1.438431668E-1,NaN
2.486783750E-1,-4.940315114E1
3.544360835E-1,-4.591820842E1
4.595346251E-1,-5.168763234E1
5.660950418E-1,-4.932977285E1
6.729120000E-1,-4.965513939E1
7.782945416E-1,-4.063302897E1
8.831039167E-1,-4.245847870E1
9.862899585E-1,-3.913200710E1
1.092928417E0,-4.887872912E1
1.198203667E0,-3.921917786E1
1.300544083E0,-4.816297079E1
1.407347292E0,-3.527072874E1
1.514030250E0,-4.297483274E1
1.617654417E0,-4.362155828E1
1.724341667E0,-4.128789716E1
1.830962625E0,-4.664745554E1
1.935877167E0,-4.151040006E1
2.042483958E0,-4.204168847E1
2.149158625E0,-4.094199592E1
2.251173000E0,-4.106058815E1
2.357816750E0,-3.862394373E1
2.461987292E0,-4.194129572E1
2.568207792E0,-4.239134183E1
2.674792375E0,-4.284865127E1
2.778402000E0,-4.319220764E1
2.884990167E0,-5.430591915E1
2.991729750E0,-4.550166195E1
3.098525584E0,-4.747255972E1
3.201972459E0,-4.937667248E1
3.308652875E0,-4.765530866E1
3.415334042E0,-4.957678909E1
3.518849958E0,-4.745949649E1
3.621678083E0,-5.081015861E1
3.728435000E0,-5.129497244E1
3.833858708E0,-5.331144981E1
3.935923917E0,-5.162477645E1
4.042811833E0,-3.755990078E1
4.149595083E0,-3.788068829E1
4.253422333E0,-3.795278234E1
4.360172000E0,-4.238618379E1
4.466806833E0,-4.347059919E1
4.570777792E0,-4.704154123E1
4.677534833E0,-3.908430984E1
4.784195500E0,-4.197359414E1
4.887769000E0,-4.596076625E1
4.994538333E0,-4.298817208E1
5.101258125E0,-3.927270756E1
5.204797084E0,-4.304041676E1
5.311598209E0,-4.967759195E1
5.418345292E0,-4.075639310E1
5.521761125E0,-4.055663454E1
5.628061167E0,-4.933599350E1
5.732701875E0,-4.395473141E1
5.838670834E0,-4.521093904E1
5.945371917E0,-5.021732108E1
6.052026417E0,-4.699471143E1
6.155566167E0,-5.155184497E1
6.262344375E0,-6.456356946E1
6.368973042E0,-6.875854475E1
6.472451792E0,-5.480953490E1
6.578344417E0,-5.664382132E1
6.685011250E0,-5.970966757E1
6.791320167E0,-5.705041431E1
6.897975334E0,-3.701498112E1
7.004128375E0,-3.558886925E1
7.106261250E0,-3.519193688E1
7.212928375E0,-3.614504787E1
7.319749125E0,-3.974431668E1
7.423189250E0,-3.706372461E1
7.529818167E0,-3.720199657E1
7.635863083E0,-3.779106321E1
7.740174792E0,-4.364742228E1
7.846838709E0,-4.700514704E1
7.949345458E0,-4.344251108E1
8.055183917E0,-3.974581816E1
8.157218333E0,-3.556683341E1
8.262297542E0,-4.448687448E1
8.368017792E0,-4.012989520E1
8.474189042E0,-4.186637387E1
8.578327500E0,-4.743849585E1
8.685062292E0,-3.903095761E1
8.790999542E0,-4.415915708E1
8.897718958E0,-4.227660735E1
9.004425833E0,-5.004088802E1
9.107928208E0,-4.000825331E1
9.210200833E0,-4.552724646E1
9.316947542E0,-4.575287040E1
9.422706167E0,-4.271239128E1
9.524859083E0,-4.660133168E1
9.626734167E0,NaN
9.729851167E0,-4.671510671E1
9.835861375E0,-4.967084977E1
9.939868250E0,-5.350398072E1
1.004184946E1,-4.939860040E1
1.014844796E1,-5.686046472E1
1.025375517E1,-6.507572669E1
1.035770717E1,-6.307879194E1
1.046441475E1,-5.623885527E1
1.057110796E1,-6.147137043E1
1.067562583E1,-6.466349875E1
1.077832254E1,-3.801082913E1
1.088517438E1,-4.068425374E1
1.099046788E1,-3.552803524E1
1.109251537E1,-3.521562632E1
1.119917867E1,-4.262831027E1
1.130586400E1,-3.755862412E1
1.140782663E1,-4.173277086E1
1.151437313E1,-4.589867464E1
1.162042325E1,-3.964377549E1
1.172624600E1,-4.123075915E1
1.183295258E1,-4.819122107E1
1.193488825E1,-4.106188878E1
1.204096342E1,-4.985942645E1
1.214536242E1,-4.562953177E1
1.225195904E1,-4.585738499E1
1.235770729E1,-4.002752741E1
1.245971400E1,-5.346448700E1
1.256386704E1,-5.342300615E1
1.267063367E1,-4.382679664E1
1.277456104E1,-3.951292687E1
1.287829996E1,-4.155108278E1
1.298504204E1,-4.357464200E1
1.309128708E1,-5.058175767E1
1.319738721E1,-5.249379372E1
1.330399396E1,-4.650006430E1
1.340832429E1,-4.736476487E1
1.351036808E1,-5.303053205E1
1.361696846E1,-4.867944557E1
1.372354675E1,-5.798269965E1
1.383017792E1,-5.073029134E1
1.393596783E1,-5.401551703E1
1.404199963E1,-4.698034177E1
1.414403488E1,-4.680727578E1
1.425068267E1,-5.643647459E1
1.435738983E1,-6.386701659E1
1.446408521E1,-6.699526792E1
1.457072875E1,-6.467429602E1
1.467585071E1,-5.761171382E1
1.477799617E1,-6.016193552E1
1.488474575E1,-5.476806415E1
1.499137783E1,-5.843428392E1
1.509479725E1,-3.811643217E1
1.520151417E1,-3.745573679E1
1.530821121E1,-3.910512263E1
1.541166925E1,-5.445614344E1
1.551833746E1,-4.334752129E1
1.562500800E1,-4.551231409E1
1.572851763E1,-4.188725735E1
1.583465867E1,-6.214155152E1
1.594130150E1,-6.043426639E1
1.604343396E1,-6.399891695E1
1.615009358E1,-5.468509376E1
1.625671146E1,-4.250376854E1
1.636036025E1,-4.344688816E1
1.646475600E1,-4.717620992E1
1.656855587E1,-4.372270241E1
1.667520088E1,-4.779562261E1
1.677744396E1,-6.513288720E1
1.687972867E1,-6.674410680E1
