"Time (s)","Sound pressure level (dB)"
0.000000000E0,-6.425989881E1
1.430547084E-1,NaN
2.490265418E-1,-7.058063696E1
3.526794584E-1,-6.482077724E1
4.593285834E-1,-6.588897302E1
5.659009584E-1,-6.373407536E1
6.689909585E-1,-6.126891471E1
7.756824584E-1,-4.600673459E1
8.806972918E-1,-3.482029314E1
9.826367917E-1,-3.544109882E1
1.087096750E0,-3.959555755E1
1.192683958E0,-3.811101850E1
1.299195500E0,-3.501872551E1
1.406128250E0,-3.836407399E1
1.509337083E0,-3.972013803E1
1.615862250E0,-3.598575989E1
1.722518333E0,-4.023653656E1
1.825979458E0,-4.094621190E1
1.932490542E0,-3.696753044E1
2.039169917E0,-4.040428063E1
2.142647292E0,-3.719515497E1
2.249189250E0,-3.808680054E1
2.353056083E0,-4.215824532E1
2.459295000E0,-4.020774957E1
2.565173125E0,-3.754178907E1
2.667373417E0,-3.783446910E1
2.774073833E0,-4.766973838E1
2.875974917E0,-6.325821796E1
2.982173000E0,-6.705602827E1
3.088937292E0,-6.441443085E1
3.195497792E0,-4.592741541E1
3.301210125E0,-4.568523156E1
3.404457625E0,-4.007583341E1
3.509294375E0,-3.947055322E1
3.613580292E0,-3.605210448E1
3.716387583E0,-4.546003799E1
3.818466875E0,NaN
3.924448292E0,-6.281203168E1
4.029304708E0,-5.407387127E1
4.135581875E0,-6.078720659E1
4.242336458E0,-4.111370914E1
4.345849583E0,-3.611738753E1
4.450589167E0,-4.146199944E1
4.552951542E0,-4.480126757E1
4.658319750E0,-3.924651831E1
4.765042708E0,-4.052305181E1
4.870106333E0,-4.541292037E1
4.976887083E0,-4.305362724E1
5.082812917E0,-4.526060916E1
5.187320458E0,-4.944043491E1
5.290817167E0,-4.618569975E1
5.395562042E0,-5.032073068E1
5.502262833E0,-6.371767649E1
5.604364958E0,-6.822732209E1
5.711103292E0,-6.886437216E1
5.816140083E0,-6.418083670E1
5.919226750E0,-6.821302929E1
6.021224167E0,-6.837879236E1
6.125133500E0,NaN
6.230848583E0,-7.032647737E1
6.335941875E0,-3.499104329E1
6.438258958E0,-3.906616818E1
6.544941167E0,-4.236342297E1
6.649540542E0,-4.586051676E1
6.755261000E0,-4.025952374E1
6.858704833E0,-3.935150568E1
6.965490375E0,-5.575398896E1
7.070274167E0,-5.553928906E1
7.172296333E0,-4.701127307E1
7.278924333E0,-4.792212250E1
7.382885708E0,-6.130648193E1
7.489296792E0,-6.376435807E1
7.595505875E0,-6.531688366E1
7.699484875E0,-6.843857107E1
7.806183750E0,-4.388434122E1
7.912848625E0,-4.116901576E1
8.016169292E0,-4.039658726E1
8.121149000E0,-4.122884651E1
8.223131375E0,-5.167846751E1
8.329711375E0,-4.509969738E1
8.432881583E0,-4.785769744E1
8.538054875E0,-4.671925482E1
8.640144542E0,-4.037417721E1
8.746817500E0,-4.171341598E1
8.853016833E0,-5.018649046E1
8.957254292E0,-4.188712028E1
9.063931833E0,-4.308039787E1
9.166182125E0,-4.478346373E1
9.272130292E0,-4.525021104E1
9.374244583E0,-4.931223286E1
9.481072250E0,-5.216617212E1
9.582875375E0,-6.334436782E1
9.689028500E0,-6.304134386E1
9.794644250E0,-6.552535631E1
9.899535000E0,-6.201108490E1
1.000584596E1,-4.080420625E1
1.010805296E1,-4.103074695E1
1.021451567E1,-4.335636175E1
1.032005479E1,-4.522817988E1
1.042503583E1,-3.945258341E1
1.053177000E1,-4.245567483E1
1.063841075E1,-4.650884779E1
1.074190567E1,-4.194729522E1
1.084867279E1,-4.181794391E1
1.095305646E1,-3.879661319E1
1.105683433E1,-4.148389222E1
1.115893342E1,-4.562894701E1
1.126591013E1,-4.501369759E1
1.137261708E1,-5.008969082E1
1.147581108E1,-4.673634962E1
1.158255096E1,-4.812910454E1
1.168924929E1,-5.198115648E1
1.179548758E1,-4.793455652E1
1.189949746E1,-4.480646892E1
1.200208446E1,-4.698820784E1
1.210774446E1,-5.884240265E1
1.220970867E1,-6.347295294E1
1.231619254E1,-6.591137897E1
1.242289592E1,-6.755642815E1
1.252453804E1,NaN
1.263049633E1,-5.408832203E1
1.273714300E1,-4.294565050E1
1.284149746E1,-4.470219106E1
1.294357204E1,-5.957820568E1
1.305028146E1,-4.457996927E1
1.315309638E1,-4.762308295E1
1.325830942E1,-5.071589197E1
1.336063892E1,-4.443046436E1
1.346513142E1,-2.549735887E1
1.357050321E1,-3.189760498E1
1.367546567E1,-2.710972525E1
1.377754042E1,-3.027278987E1
1.388423679E1,-3.694014851E1
1.399099067E1,-3.715766385E1
1.409546596E1,-3.971238826E1
1.420218404E1,-4.077387234E1
1.430883629E1,-4.146927803E1
1.441550804E1,-3.736237538E1
1.452215196E1,-3.856048255E1
1.462817058E1,-3.725387497E1
1.473488592E1,-4.556992735E1
1.484162067E1,-6.021467110E1
1.494508804E1,-4.979825725E1
1.505176938E1,-5.336297858E1
1.515842929E1,-5.346446349E1
1.526199529E1,-5.539553017E1
1.536735746E1,-5.931595761E1
1.547397238E1,-3.451014772E1
1.557902200E1,-3.570328558E1
1.568246004E1,-3.935536438E1
1.578908729E1,-5.257384561E1
1.589546750E1,-6.102729897E1
1.600220562E1,-5.841495176E1
1.610908121E1,-6.494547302E1
1.621277712E1,-4.773805235E1
1.631949475E1,-3.890304971E1
1.642621604E1,-3.714236757E1
1.652963467E1,-4.003081417E1
1.663632471E1,-4.162469564E1
1.674303229E1,-3.887478649E1
1.684643154E1,-4.622673889E1
1.695123942E1,-3.876781881E1
1.705304342E1,-3.941508781E1
1.715971425E1,-4.093563232E1
1.726146842E1,-4.658739776E1
1.736346704E1,-4.343770415E1
1.747008904E1,-3.889303491E1
1.757672146E1,-4.484880162E1
1.768036838E1,-4.627779563E1
1.778710050E1,-4.880876738E1
1.789389821E1,-5.156694657E1
1.800063667E1,-4.730695617E1
1.810733108E1,-4.537423637E1
1.821211796E1,-4.848759372E1
1.831877754E1,-5.204542851E1
1.842549113E1,-6.428421336E1
1.852904783E1,-6.706959948E1
1.863574546E1,-6.787405025E1
1.874238517E1,-6.783725623E1
1.884792629E1,-6.393642549E1
1.895308654E1,-6.616478677E1
1.905978275E1,-3.952453951E1
1.916481117E1,-3.403993000E1
1.927152496E1,-3.836173480E1
1.937429375E1,-4.922224355E1
1.947988725E1,-3.676582659E1
1.958192146E1,-4.391790304E1
1.968858237E1,-6.021735203E1
1.979532975E1,-6.545876558E1
1.989886367E1,-6.439942692E1
2.000561171E1,-6.478312618E1
2.011233863E1,-6.640219731E1
2.021897250E1,-6.809110982E1
2.032566854E1,-4.163283905E1
2.043061446E1,-4.070453215E1
2.053260638E1,-4.105952447E1
2.063925425E1,-4.363074148E1
2.074596558E1,-4.051088955E1
2.084951158E1,-3.618922790E1
2.095301621E1,-3.978830508E1
2.105958067E1,-4.258892011E1
2.116428792E1,-3.981604750E1
2.126641512E1,-4.278658226E1
2.137316487E1,-4.953221936E1
2.147985254E1,-5.828508527E1
2.158654625E1,-5.877476974E1
2.169322904E1,-6.074433230E1
