"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.400152084E-1,NaN
2.465149583E-1,-6.862313575E1
3.518712916E-1,-6.424741691E1
4.567987917E-1,-6.519297705E1
5.635884167E-1,-6.593803812E1
6.683439165E-1,-6.655470997E1
7.750841666E-1,-6.665279889E1
8.813995000E-1,-6.767025080E1
9.836673334E-1,-4.386315995E1
1.088694250E0,-4.537999914E1
1.193621458E0,-4.892353909E1
1.298687500E0,-4.057753712E1
1.402187000E0,-4.083982658E1
1.507044958E0,-4.382625247E1
1.610759333E0,-4.958522251E1
1.715927792E0,-4.664469357E1
1.820474375E0,-4.061730931E1
1.927048542E0,-4.551432448E1
2.033074542E0,-4.144017117E1
2.136481667E0,-4.040024737E1
2.240675542E0,-4.229164576E1
2.344069042E0,-5.474273861E1
2.450182083E0,-6.318342441E1
2.552222750E0,-5.739520152E1
2.658823958E0,-6.223837150E1
2.760826125E0,-6.476315749E1
2.867116750E0,-6.064359664E1
2.973685583E0,-4.521548813E1
3.080374583E0,-4.118882394E1
3.186118625E0,-4.320516643E1
3.288729958E0,-4.066928518E1
3.395450292E0,-4.531239845E1
3.500971500E0,-4.105271883E1
3.603466042E0,-4.230614066E1
3.710126792E0,-4.168955979E1
3.816677417E0,-4.004455219E1
3.920386250E0,-4.296035825E1
4.027095875E0,-4.317455766E1
4.130092958E0,-4.826157463E1
4.235244708E0,-5.137925435E1
4.337347667E0,-4.355298726E1
4.443565083E0,-4.839949682E1
4.550230500E0,-4.077526729E1
4.654557292E0,-4.044290757E1
4.756995750E0,-4.013416668E1
4.863844583E0,-4.311968638E1
4.969607417E0,-4.615628471E1
5.071957000E0,-4.830744421E1
5.178546375E0,-5.077601156E1
5.284366292E0,-4.552023329E1
5.389064250E0,-4.883701507E1
5.493701875E0,-4.994952627E1
5.597770167E0,-5.641080422E1
5.703925583E0,-4.442385107E1
5.810405833E0,-4.678624572E1
5.913642917E0,-4.491193865E1
6.020249167E0,-4.887250173E1
6.125261250E0,-5.190696873E1
6.228125833E0,-4.672959127E1
6.333849583E0,-5.926489998E1
6.439672208E0,-4.413585173E1
6.543191958E0,-4.393333421E1
6.649812167E0,-4.586729546E1
6.755034500E0,-4.928961739E1
6.860190417E0,-4.615899398E1
6.966944542E0,-4.898134936E1
7.072238542E0,-4.167841052E1
7.178409708E0,-4.305517062E1
7.280252917E0,-4.903528157E1
7.386987750E0,-4.702298884E1
7.489286000E0,-4.262397018E1
7.594500667E0,-4.180024690E1
7.701227292E0,-4.685804267E1
7.806345375E0,-4.504197447E1
7.911414208E0,-5.239639130E1
8.018249833E0,-5.429335483E1
8.123504458E0,-4.640600980E1
8.228389750E0,-4.914817527E1
8.335039542E0,-4.419874904E1
8.440399375E0,-4.511075470E1
8.545281917E0,-4.279774450E1
8.649775833E0,-4.523218789E1
8.756414458E0,-4.878196169E1
8.861956958E0,-5.033559713E1
8.968097000E0,-4.929320369E1
9.074656625E0,-6.187917744E1
9.178239042E0,-6.445352574E1
9.280217500E0,-6.531084695E1
9.387034125E0,-6.769069509E1
9.491491042E0,-6.956016127E1
9.597188583E0,-6.845634428E1
9.703853167E0,-6.739535187E1
9.808470625E0,-6.860390224E1
9.914132875E0,-5.075903274E1
1.001914762E1,-4.109250179E1
1.012510333E1,-4.547448078E1
1.023078933E1,-4.119995916E1
1.033739883E1,-5.230721850E1
1.044201746E1,-4.367366237E1
1.054745400E1,-4.650064282E1
1.065415004E1,-4.135346599E1
1.075884013E1,-5.153355272E1
1.086091958E1,-4.679329385E1
1.096361300E1,-5.383539321E1
1.106845992E1,-4.260037247E1
1.117441142E1,-4.786637643E1
1.127949933E1,-6.196893721E1
1.138623987E1,-6.570704503E1
1.149269108E1,-6.793548790E1
1.159758421E1,-6.877726551E1
1.170174758E1,-4.749508479E1
1.180848429E1,-4.601561552E1
1.191416717E1,-4.518635266E1
1.202097717E1,-4.275702975E1
1.212648696E1,-4.623675418E1
1.223017496E1,-5.213507527E1
1.233689538E1,-4.287060283E1
1.244357671E1,-4.802922366E1
1.254675883E1,-5.010687465E1
1.265346808E1,-4.855051475E1
1.275810879E1,-4.634987983E1
1.286388204E1,-4.670121688E1
1.296847408E1,-5.616307624E1
1.307522875E1,-4.536456119E1
1.318077317E1,-5.042945458E1
1.328753346E1,-4.988434139E1
1.339422908E1,-4.735825704E1
1.349672371E1,-5.092504400E1
1.360350537E1,-5.343794723E1
1.371027767E1,-6.629041689E1
1.381414300E1,-6.930708792E1
1.392077479E1,-6.853600958E1
1.402710054E1,-6.685911975E1
1.413049371E1,-6.581960005E1
1.423708375E1,-6.696799566E1
1.434376725E1,-5.324335893E1
1.444726300E1,-4.358950681E1
1.454991225E1,-4.407599577E1
1.465663433E1,-4.456829430E1
1.476195500E1,-4.129292145E1
1.486839713E1,-4.212513412E1
1.497227358E1,-4.470458019E1
1.507638658E1,-3.988463178E1
1.518119462E1,-4.643200049E1
1.528789471E1,-4.755705987E1
1.539462267E1,-5.131561885E1
1.549811154E1,-4.389530304E1
1.560510208E1,-4.837021821E1
1.571092629E1,-5.134407914E1
1.581491596E1,-4.397524801E1
1.592164758E1,-4.641835236E1
1.602837642E1,-4.662388264E1
1.613168254E1,-5.052389968E1
1.623478262E1,-6.288424627E1
1.634153521E1,-6.390602329E1
1.644659846E1,-6.594523709E1
1.654852296E1,-6.562295909E1
1.665516637E1,-5.929662185E1
1.676179142E1,-4.652643227E1
1.686841867E1,-4.911870806E1
1.697511792E1,-5.112600801E1
1.708023179E1,-4.155753203E1
1.718228079E1,-4.880266249E1
1.728912550E1,-4.371826114E1
1.739581238E1,-4.945433268E1
1.750252217E1,-4.932439811E1
1.760931013E1,-5.204636678E1
1.771381358E1,-4.726065620E1
1.781601638E1,-5.219816118E1
1.792052587E1,NaN
1.802636662E1,-4.126541356E1
1.813069204E1,-5.156782453E1
1.823268175E1,-5.669191415E1
1.833935675E1,-5.719801058E1
1.844614263E1,-4.756701777E1
1.854955533E1,-4.950857392E1
1.865622762E1,-6.162869010E1
1.876295771E1,-6.349620726E1
1.886841437E1,-6.502210861E1
1.897516533E1,-6.525040497E1
1.908097183E1,-6.531852633E1
1.918298192E1,-6.336295160E1
1.928595808E1,-5.542333458E1
1.939262683E1,-4.345842186E1
1.949889587E1,-4.791444077E1
1.960501792E1,-3.937813114E1
1.971091312E1,-5.100100820E1
1.981655812E1,-4.366561633E1
1.992328904E1,-4.648039181E1
2.002999829E1,-4.554763916E1
2.013668117E1,-5.315662390E1
2.024335908E1,-4.371158891E1
2.034818413E1,-4.790444333E1
2.045017663E1,-4.479659796E1
2.055694946E1,-5.024631424E1
2.066120662E1,-4.957738670E1
2.076703575E1,-5.805060755E1
2.087382838E1,-4.830674372E1
2.098056975E1,-5.524338294E1
2.108380712E1,-4.731106183E1
2.118633054E1,-4.194337122E1
2.129300600E1,-4.585431455E1
2.139844058E1,-4.934387132E1
2.150064587E1,-4.718995407E1
2.160736533E1,-4.936682625E1
2.171083108E1,-4.997938660E1
2.181551667E1,-5.067060184E1
2.191749496E1,-5.185591868E1
2.202413504E1,-4.510358368E1
2.213079667E1,-5.581817202E1
2.223488654E1,-6.309422904E1
2.234164142E1,-5.559131182E1
2.244829171E1,-5.302285653E1
2.255502829E1,-5.171049161E1
2.266174137E1,-5.447382531E1
2.276798971E1,-4.241747459E1
2.286991150E1,-5.239665994E1
2.297368250E1,-4.431764651E1
2.308036092E1,-4.828027788E1
2.318484496E1,-5.374325712E1
2.329163225E1,-5.498931777E1
2.339837696E1,-5.094890507E1
2.350505283E1,-4.590484287E1
2.361083971E1,-4.903913254E1
2.371640283E1,-5.097767182E1
2.381840450E1,-6.178814665E1
2.392505896E1,-6.016916757E1
2.403177792E1,-6.241765809E1
2.413530538E1,-6.535862043E1
2.424190671E1,-5.823914334E1
2.434860454E1,-4.538057180E1
2.445218192E1,-5.421713604E1
2.455895383E1,-3.995865053E1
2.466189487E1,-4.555510100E1
2.476817550E1,-5.011243647E1
2.487507517E1,-4.777820437E1
2.498188546E1,-4.425773246E1
2.508586442E1,-4.915584116E1
2.519259975E1,-4.669562421E1
2.529935196E1,-4.568158591E1
2.540262167E1,-4.746754517E1
2.550934112E1,-5.205371321E1
2.561604200E1,-5.475697097E1
2.571956208E1,-4.791703105E1
2.582501817E1,-5.897291658E1
2.592977346E1,-6.334445566E1
2.603432367E1,-6.123186692E1
2.613634413E1,-5.864323401E1
2.624292075E1,-5.953367390E1
2.634954200E1,-4.750492921E1
2.645318671E1,-4.301630216E1
2.656000608E1,-4.292220954E1
2.666679329E1,-4.185252020E1
2.677009912E1,-5.373109399E1
2.687679833E1,-4.746541654E1
2.698345604E1,-4.105959020E1
2.708687125E1,-4.169383635E1
2.719212996E1,-5.050579107E1
2.729888287E1,-6.187020226E1
2.740377496E1,-6.310121626E1
2.751054208E1,-6.266822690E1
2.761723571E1,-4.876484331E1
2.772056025E1,-4.524501356E1
2.782716350E1,-5.391569398E1
2.793259887E1,-4.806825795E1
2.803737850E1,-5.435742984E1
2.814411588E1,-6.210091905E1
2.825077583E1,-6.187455019E1
2.835418079E1,-6.127735209E1
2.846086108E1,-6.002630152E1
2.856752717E1,-5.819903718E1
2.867107267E1,-5.850929174E1
2.877783175E1,-5.880326532E1
2.888459792E1,-5.908850676E1
2.899028054E1,-6.054195659E1
2.909709592E1,-5.834363020E1
2.920252912E1,-5.935906808E1
2.930480058E1,-5.266505163E1
2.941085254E1,-4.961624753E1
2.951760704E1,-5.169730631E1
2.962159992E1,-4.327115678E1
2.972816546E1,-5.747571821E1
2.983484192E1,-5.889554563E1
2.993662717E1,-5.920822299E1
3.003843325E1,-5.992747308E1
3.014506121E1,-4.858132776E1
3.025120288E1,-3.716850194E1
3.035350496E1,-4.323127269E1
3.046025117E1,-4.389255659E1
3.056700029E1,-4.723467069E1
3.067246004E1,-4.450269781E1
3.077914038E1,-4.251913786E1
3.088585258E1,-4.298017514E1
3.098932867E1,-4.946853946E1
3.109620867E1,-4.013338684E1
3.120299333E1,-4.885030119E1
3.130974358E1,-4.608856541E1
3.141354742E1,-4.744320933E1
3.151981737E1,-4.835154946E1
3.162287096E1,-4.496746239E1
3.172953004E1,-4.705832431E1
3.183625117E1,-4.185716943E1
3.193978983E1,-5.567822332E1
3.204326587E1,-4.659503346E1
3.214995779E1,-4.469989993E1
3.225649900E1,-4.695300532E1
3.236323513E1,-5.054530173E1
3.246838942E1,-4.214506065E1
3.257141412E1,-4.980930080E1
3.267341308E1,-4.670652088E1
3.278009442E1,-4.842690488E1
3.288677304E1,-5.133917841E1
3.299030129E1,-5.104161150E1
3.309564650E1,-4.946719075E1
3.320237254E1,-4.789203574E1
3.330503525E1,-5.265381702E1
3.341082463E1,-5.122945786E1
3.351511817E1,NaN
3.362106950E1,-5.243079606E1
3.372783075E1,-4.954592856E1
3.383450521E1,-5.840718346E1
3.394115533E1,-4.799322148E1
3.404806617E1,-5.011096629E1
3.415483112E1,-5.501383282E1
3.426152683E1,-4.685714540E1
3.436818954E1,-3.932887812E1
3.447417900E1,-4.915546998E1
3.458106925E1,-5.042129009E1
3.468799992E1,-5.404413193E1
3.479092671E1,-4.202326220E1
3.489375375E1,-4.604297818E1
3.500046196E1,-4.512657779E1
3.510572421E1,-4.478735616E1
3.521088212E1,-4.714918061E1
3.531763521E1,-4.649078560E1
3.542233792E1,-4.861843219E1
3.552463108E1,-4.744679271E1
3.563120796E1,-5.591208535E1
3.573787083E1,-6.258873642E1
3.584142058E1,-6.289158423E1
3.594801238E1,-4.222929164E1
3.605388833E1,-4.694141847E1
3.615819600E1,-5.134458797E1
3.626487550E1,-4.813667730E1
3.636847208E1,-4.610415256E1
3.647298858E1,-4.930502717E1
3.657503762E1,-4.609559705E1
3.668180621E1,-5.433811149E1
3.678852325E1,-5.956209714E1
3.689525429E1,-6.208220197E1
3.700198621E1,-6.277533896E1
3.710859525E1,-6.488637349E1
3.721088758E1,-6.432597343E1
3.731737908E1,-6.358528750E1
3.742342921E1,-5.410569832E1
3.752535637E1,NaN
3.763144450E1,-4.996301310E1
3.773814504E1,-4.127782701E1
3.784219717E1,-4.548687399E1
3.794888733E1,-5.125816972E1
3.805556042E1,-4.254351061E1
3.815928121E1,-4.520167709E1
3.826598896E1,-4.105181582E1
3.836845183E1,-4.591183389E1
3.847365742E1,-4.862630256E1
3.858041817E1,-5.231137417E1
3.868721271E1,-5.870478701E1
3.879059263E1,-6.250307085E1
3.889270933E1,-4.508299613E1
3.899941371E1,-5.028541105E1
3.910463425E1,-4.996099220E1
3.921097492E1,-4.907967595E1
3.931793900E1,-4.537964977E1
3.942425133E1,-5.265731883E1
3.952626029E1,-4.593016464E1
3.963283483E1,-5.171529959E1
3.973880787E1,-5.507084516E1
3.984100154E1,-5.295935809E1
3.994769237E1,-4.336484212E1
4.005442258E1,-5.114312296E1
4.015974208E1,-6.145380904E1
4.026642658E1,-6.231867189E1
4.036839246E1,-6.347959556E1
4.047457458E1,-6.353944830E1
4.057665833E1,-6.396295810E1
4.068322046E1,-5.945251686E1
4.078994837E1,-4.562412200E1
4.089341250E1,-4.470444894E1
4.100008842E1,-4.865515185E1
4.110685012E1,-4.719652378E1
4.121034375E1,-4.304963914E1
4.131713279E1,-4.600678227E1
4.142377733E1,-4.177285138E1
4.152695500E1,-4.096677007E1
4.163363446E1,-4.026591776E1
4.174033504E1,-4.914957193E1
4.184377100E1,-3.958041804E1
4.195045725E1,-3.977462083E1
4.205708154E1,-4.184980104E1
4.216376492E1,-4.712058440E1
4.226841292E1,-4.820367663E1
4.237513863E1,-5.120141178E1
4.247751875E1,-4.531713547E1
4.258366038E1,-5.069513745E1
4.268855683E1,-6.243593745E1
4.279420283E1,-4.583365740E1
4.290100008E1,-4.783809830E1
4.300781412E1,-5.057740686E1
4.311084833E1,-5.068642947E1
4.321756400E1,-4.482044222E1
4.332425250E1,-5.400980150E1
4.342772217E1,-4.335756665E1
4.353446462E1,-4.517698346E1
4.364115088E1,-5.105708197E1
4.374456492E1,-4.864661352E1
4.385125946E1,-4.713839731E1
4.395793654E1,-4.498836842E1
4.406135492E1,-4.732421508E1
4.416809029E1,-5.022271537E1
4.427476367E1,-4.894138379E1
4.437815254E1,-5.119238751E1
4.448059188E1,-6.259209625E1
4.458727271E1,-6.437438351E1
4.469296363E1,-6.081740992E1
4.479495108E1,-5.930494171E1
4.490170863E1,-5.995026602E1
4.500843887E1,-6.052103374E1
4.511083683E1,-5.514304917E1
4.521742492E1,-4.879157778E1
4.532417471E1,-4.521687275E1
4.542652392E1,-4.486659397E1
4.552853429E1,-4.232378573E1
4.563250667E1,-4.784482118E1
4.573450288E1,-4.538102975E1
4.584111004E1,-4.100573208E1
4.594534246E1,-5.074668791E1
4.605201750E1,-6.180740297E1
4.615873042E1,-4.809697534E1
4.626535517E1,-4.339218467E1
4.636845638E1,-4.974258882E1
4.647510475E1,-4.588884356E1
4.657900321E1,-5.617476705E1
4.668584329E1,-5.300554762E1
4.679264233E1,-5.258786222E1
4.689928221E1,-5.069487607E1
4.700606588E1,-4.192108779E1
4.711246104E1,-4.130750873E1
4.721782071E1,-4.622006984E1
4.731952621E1,-4.586693359E1
4.742639638E1,-5.365770952E1
4.752929758E1,-5.247770659E1
4.763593792E1,-5.157013991E1
4.774262392E1,-4.413530780E1
4.784605196E1,-4.839125864E1
4.795096842E1,-5.788070996E1
4.805764142E1,-5.156489331E1
4.816287950E1,-5.180729760E1
4.826773429E1,-4.487513954E1
4.837451471E1,-4.639568429E1
4.847768808E1,-4.666208954E1
