"Time (s)","Sound pressure level (dB)"
0.000000000E0,-5.285831156E1
2.760448752E-1,NaN
3.802368750E-1,-7.231488387E1
4.837763752E-1,-6.699385983E1
5.898377085E-1,-6.428493413E1
6.940924583E-1,-6.649905822E1
7.969429167E-1,-6.823044436E1
9.033510834E-1,-4.982612091E1
1.009583167E0,-6.520045851E1
1.114096750E0,-6.719063787E1
1.217793667E0,-6.637483535E1
1.324547458E0,-6.460831929E1
1.428907292E0,-6.294887770E1
1.534430667E0,-5.485074514E1
1.640189458E0,-4.013546532E1
1.743767125E0,-4.222385606E1
1.849622167E0,-4.109048926E1
1.952797000E0,-4.399276026E1
2.059507083E0,-3.839086677E1
2.163025167E0,-4.228954024E1
2.267644333E0,-4.443395162E1
2.374291042E0,-4.447588208E1
2.479841375E0,-4.573794754E1
2.584381125E0,-4.305507586E1
2.687468375E0,-4.955693642E1
2.794126917E0,-5.448977216E1
2.897044125E0,-6.024522566E1
3.003741583E0,-4.231124047E1
3.107193209E0,-4.183471110E1
3.212064125E0,-4.421675689E1
3.314403458E0,-4.050438642E1
3.421186792E0,-4.495089335E1
3.527948834E0,-5.122378551E1
3.631274500E0,-4.272300542E1
3.738024083E0,-3.747662405E1
3.844730250E0,-5.472059302E1
3.949642042E0,-4.258582397E1
4.052677792E0,NaN
4.158300500E0,-4.304902596E1
4.263412708E0,-5.211128801E1
4.367228042E0,-4.574562294E1
4.474026250E0,-4.458907336E1
4.580500458E0,-4.363992130E1
4.682818167E0,-4.849607328E1
4.789563125E0,-5.518597800E1
4.896364875E0,-6.023875900E1
4.999972917E0,-6.014705077E1
5.106368625E0,-5.634851616E1
5.213079583E0,-3.930129018E1
5.317111959E0,-4.311535772E1
5.424015083E0,-3.868885437E1
5.528328750E0,-3.890552782E1
5.634170917E0,-4.163847813E1
5.740853917E0,-4.139731060E1
5.844865042E0,NaN
5.948948042E0,-4.555578329E1
6.051010875E0,-4.791027441E1
6.154085458E0,-3.972823799E1
6.260731875E0,-4.194479098E1
6.365844500E0,-4.927443972E1
6.467885875E0,-3.759699846E1
6.574568375E0,-4.595521856E1
6.678249583E0,-4.946617927E1
6.782710000E0,-4.931053567E1
6.889467083E0,-5.327418544E1
6.994919250E0,-4.589104372E1
7.099606209E0,-4.047374088E1
7.201613542E0,-5.116534101E1
7.307189250E0,-6.075847451E1
7.411024917E0,-6.104986583E1
7.516361792E0,-6.549862828E1
7.618497958E0,-6.613448991E1
7.722083875E0,-6.297496430E1
7.828242542E0,-6.347227906E1
7.933185917E0,-6.679494745E1
8.035247000E0,-5.353540046E1
8.139045292E0,-3.402380365E1
8.244956750E0,-3.823818071E1
8.350159625E0,-3.709480171E1
8.452024125E0,-4.676058204E1
8.557121917E0,-5.190289178E1
8.661556000E0,-4.500691752E1
8.766759417E0,-3.459933047E1
8.873580167E0,-4.178912247E1
8.978309833E0,-3.922092352E1
9.083649209E0,-3.530420268E1
9.185707208E0,-4.432579149E1
9.289251500E0,-4.137487510E1
9.394919833E0,-3.976903925E1
9.500448542E0,-3.987227173E1
9.607257542E0,-4.167216808E1
9.711035625E0,-4.411305485E1
9.817300125E0,-4.319998808E1
9.919326875E0,-4.155507932E1
1.002595788E1,-3.449151153E1
1.012834021E1,-4.018413434E1
1.023404950E1,-4.391319999E1
1.033630004E1,-3.773816202E1
1.044301258E1,-4.568932179E1
1.054961746E1,-4.951737908E1
1.065333558E1,-5.840618188E1
1.076007446E1,-6.104442606E1
1.086376896E1,-6.201920495E1
1.096849542E1,-6.326684796E1
1.107055575E1,-4.137313308E1
1.117739988E1,-4.046114773E1
1.128038446E1,-4.285025696E1
1.138562192E1,-4.578457344E1
1.149233225E1,-5.716094749E1
1.159500075E1,-6.116850319E1
1.169706208E1,-6.262936069E1
1.180288508E1,-5.903759342E1
1.190716558E1,-6.058438265E1
1.201158867E1,-4.090915011E1
1.211374888E1,-4.058512513E1
1.222025658E1,-4.287204725E1
1.232247696E1,-4.330377851E1
1.242824588E1,-4.185680978E1
1.253042213E1,-3.930238571E1
1.263711313E1,-4.569417535E1
1.273979183E1,-4.038645708E1
1.284485967E1,-4.256423047E1
1.294953813E1,-5.587394384E1
1.305491112E1,-6.347868827E1
1.316163383E1,-6.506346922E1
1.326836425E1,-5.337777176E1
1.337187696E1,-4.261512054E1
1.347829783E1,-4.562150414E1
1.358502500E1,-4.247491798E1
1.368927538E1,-4.119414315E1
1.379491696E1,-3.917756317E1
1.390164504E1,-4.167039305E1
1.400643575E1,-4.292294046E1
1.411166450E1,-4.544446177E1
1.421840583E1,-4.284860080E1
1.432311638E1,-4.069548618E1
1.442824854E1,-4.250730988E1
1.453499392E1,-4.523993259E1
1.464033021E1,-4.831177905E1
1.474492042E1,-4.838515139E1
1.484965500E1,-4.621979813E1
1.495632217E1,-4.567978242E1
1.506074629E1,-5.794439039E1
1.516744517E1,-6.009477263E1
1.527389496E1,-6.160556158E1
1.537827796E1,-6.218563376E1
1.548496025E1,-4.725482312E1
1.559078687E1,-3.914628437E1
1.569493171E1,-4.217492883E1
1.580164033E1,-4.435811160E1
1.590760579E1,-4.021831521E1
1.601164429E1,-4.868081978E1
1.611831696E1,-4.454900030E1
1.622444071E1,-4.822031313E1
1.632783633E1,-4.420566061E1
1.643453329E1,-4.376352310E1
1.654123108E1,-4.198066224E1
1.664490429E1,-4.667961564E1
1.674958000E1,-4.403463826E1
1.685618067E1,-4.154134715E1
1.696156454E1,-4.642509668E1
1.706599829E1,-4.751676456E1
1.717272167E1,-4.450274429E1
1.727790100E1,-4.320178900E1
1.738459792E1,-4.895704727E1
1.749146267E1,-4.328410439E1
1.759493325E1,-5.134689202E1
1.770158371E1,-4.533376530E1
1.780724675E1,-4.766075529E1
1.791159367E1,-4.710395483E1
1.801833450E1,-5.457144525E1
1.812503033E1,-6.144282667E1
1.822828454E1,-6.471655925E1
1.833505133E1,-5.266530520E1
1.844176675E1,-5.990556034E1
1.854484975E1,-6.526317040E1
1.864965525E1,-6.162255049E1
1.875634471E1,-3.961710983E1
1.885955312E1,-4.229559674E1
1.896153850E1,-4.172276173E1
1.906824329E1,-4.712597512E1
1.917216471E1,-5.498444101E1
1.927839346E1,-6.315074312E1
1.938337713E1,-6.661069521E1
1.949049038E1,-6.627081336E1
1.959323821E1,-4.420606272E1
1.969520421E1,-4.541858434E1
1.980188971E1,-4.260202138E1
1.990721629E1,-4.319586862E1
2.001205867E1,-4.387650494E1
2.011875313E1,-4.614271954E1
2.022342463E1,-3.448073001E1
2.032689571E1,-4.337690114E1
2.043363246E1,-3.711877135E1
2.054035933E1,-4.250515298E1
2.064363725E1,-4.007037837E1
2.074960904E1,-4.845328908E1
2.085630033E1,-5.124683534E1
2.096039908E1,-4.867717489E1
2.106245667E1,-4.518488084E1
2.116908333E1,-5.501671384E1
2.127572571E1,-6.247531207E1
2.137731025E1,-6.314476570E1
2.147928125E1,-6.548784566E1
2.158600300E1,-6.581273105E1
2.169270250E1,-5.623303453E1
2.179946483E1,-4.372982238E1
2.190622867E1,-4.104084977E1
2.201289533E1,-4.170572351E1
2.211959087E1,-4.298698449E1
2.222632554E1,-4.163086722E1
2.232962333E1,-4.244828733E1
2.243581454E1,-4.872180011E1
2.254249600E1,-4.408613657E1
2.264646446E1,-4.069816575E1
2.274961667E1,-4.494628343E1
2.285630875E1,-4.462502427E1
