"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.913185418E-1,NaN
2.954892500E-1,-7.285228012E1
3.988537916E-1,-6.476420855E1
5.056450833E-1,-6.604575424E1
6.122920834E-1,-6.435404998E1
7.194759999E-1,-6.578799629E1
8.245294166E-1,-6.448569175E1
9.307701250E-1,-6.333647452E1
1.037587167E0,-6.640809618E1
1.141867292E0,-6.726771812E1
1.247522583E0,-6.553939014E1
1.350024792E0,-4.840814852E1
1.456794958E0,-4.545647574E1
1.562018417E0,-4.120608894E1
1.667046417E0,-4.193220607E1
1.769216542E0,-4.951100522E1
1.875850417E0,-5.048720823E1
1.980630167E0,-4.899291524E1
2.087342542E0,-4.744577066E1
2.194039333E0,-4.787607573E1
2.297692292E0,-5.313382841E1
2.404357708E0,-6.274645142E1
2.511095458E0,-6.655766133E1
2.614485083E0,-6.605885943E1
2.721208917E0,-6.541046067E1
2.827854375E0,-6.568425559E1
2.931361875E0,-4.715707291E1
3.035262833E0,-4.211751537E1
3.141951292E0,-4.591089621E1
3.248437750E0,-5.456078787E1
3.351526458E0,-4.133361029E1
3.458225833E0,-4.090250783E1
3.563231917E0,-5.229525081E1
3.667035875E0,-6.154670336E1
3.773702542E0,-5.342005626E1
3.880129125E0,-4.698079563E1
3.981977125E0,-5.722043332E1
4.086519958E0,-6.401564598E1
4.192600875E0,-5.516971601E1
4.298430167E0,-5.743226629E1
4.402168208E0,-5.010489284E1
4.505374375E0,-4.396155718E1
4.610299083E0,-4.505347849E1
4.714711042E0,-6.037100843E1
4.820546000E0,-5.682552510E1
4.924479542E0,-5.545727857E1
5.029317542E0,-4.204141660E1
5.131183458E0,-4.349228878E1
5.236987208E0,-5.057717008E1
5.342599083E0,-6.085550432E1
5.447990667E0,-6.119528889E1
5.550586042E0,-5.285635325E1
5.653294542E0,-4.978262982E1
5.760017458E0,-4.841749152E1
5.866506250E0,-4.867299386E1
5.972987625E0,-4.646579311E1
6.079606625E0,-4.758985993E1
6.181554458E0,-4.846970042E1
6.288170792E0,-5.519713185E1
6.393920125E0,-5.132342620E1
6.498335750E0,-4.793622517E1
6.605101042E0,-5.300350616E1
6.710490417E0,-4.126014171E1
6.815102875E0,-4.815354650E1
6.921749000E0,-6.308381954E1
7.027188208E0,-5.399134135E1
7.131807625E0,-4.826910381E1
7.238020292E0,-5.495890857E1
7.343840583E0,-5.779731245E1
7.448487500E0,-5.391229032E1
7.554351708E0,-5.277199767E1
7.660512875E0,-5.159812791E1
7.766968667E0,-4.684797423E1
7.873567708E0,-4.711695271E1
7.980197083E0,-4.830042093E1
8.082189458E0,-4.647866397E1
8.188796750E0,-5.901099244E1
8.293764417E0,-6.447172882E1
8.398857875E0,-4.776312261E1
8.502001958E0,-4.712339753E1
8.608676250E0,-5.171348984E1
8.713738625E0,-4.441240588E1
8.815768500E0,-4.822044568E1
8.919621458E0,-4.812883328E1
9.024347292E0,-5.156422114E1
9.130737500E0,-6.113798037E1
9.235835792E0,-6.544163818E1
9.338354292E0,-6.320326072E1
9.443220875E0,-6.185100169E1
9.549591917E0,-6.199625902E1
9.654879708E0,-4.709871703E1
9.760434250E0,-4.633260066E1
9.866499292E0,-5.841283110E1
9.973045833E0,-5.970866155E1
1.007712813E1,-6.008120823E1
1.018337842E1,-6.059326395E1
1.028998442E1,-4.673282560E1
1.039450917E1,-4.847746941E1
1.050031700E1,-4.961116737E1
1.060696413E1,-4.851084007E1
1.071111513E1,-5.301239621E1
1.081723383E1,-4.861687955E1
1.092383033E1,-5.057433682E1
1.102778454E1,-5.524517053E1
1.113381629E1,-4.990859652E1
1.123744654E1,-4.750156662E1
1.134404483E1,-4.898234186E1
1.145029021E1,-4.402054633E1
1.155695983E1,-4.837163603E1
1.166114838E1,-4.838299020E1
1.176691479E1,-4.786159668E1
1.187349375E1,-5.311227457E1
1.197778150E1,-5.515503646E1
1.208233900E1,-4.727450762E1
1.218499688E1,-4.974672592E1
1.228718996E1,-5.207701627E1
1.239385546E1,-4.659675382E1
1.249925175E1,-5.349157181E1
1.260582604E1,-6.097382074E1
1.271114613E1,-6.386482675E1
1.281625987E1,-6.335295751E1
1.291834808E1,-6.278133147E1
1.302452967E1,-6.187244471E1
1.313108175E1,-6.249282600E1
1.323528771E1,-6.036849263E1
1.333739792E1,-5.971040088E1
1.344414042E1,-6.204335769E1
1.355019321E1,-6.229669660E1
1.365231975E1,-6.255810546E1
1.375896246E1,-6.443579789E1
1.386558696E1,-6.476040541E1
1.396920817E1,-4.830425355E1
1.407577300E1,-5.039770223E1
1.418235808E1,-4.439436956E1
1.428615746E1,-4.955104573E1
1.439275279E1,-4.972155772E1
1.449776892E1,-4.227144155E1
1.460306050E1,-4.279859738E1
1.470972387E1,-4.739677465E1
1.481492942E1,-4.360929083E1
1.492004550E1,-5.000172647E1
1.502452250E1,-4.664169130E1
1.513116779E1,-5.854081776E1
1.523686075E1,-6.220488309E1
1.533908700E1,-5.568024094E1
1.544575904E1,-4.735346690E1
1.555191900E1,-5.507147930E1
1.565403279E1,-5.148491037E1
1.576069371E1,-6.148212079E1
1.586688875E1,-6.466597264E1
1.596891796E1,-4.703545665E1
1.607553233E1,-5.184066742E1
1.617927071E1,-4.743593863E1
1.628572942E1,-4.810204368E1
1.638797992E1,-4.794632475E1
1.649453317E1,-4.676555170E1
1.660112558E1,-4.800997377E1
1.670490662E1,-4.595985307E1
1.680997458E1,-4.428369684E1
1.691656888E1,-4.667207168E1
1.702170558E1,-5.819128198E1
1.712451013E1,-6.367340985E1
1.722967883E1,-6.744119421E1
1.733634092E1,-5.415157299E1
1.744301950E1,-4.646382182E1
1.754956171E1,-4.759181505E1
1.765380629E1,-4.446801322E1
1.775585750E1,-4.441262696E1
1.786239687E1,-4.642941162E1
1.796700771E1,NaN
1.807263554E1,-5.437244068E1
1.817928850E1,-6.042893576E1
1.828599425E1,-5.430070589E1
1.838955058E1,-4.981138159E1
1.849615379E1,-5.054405450E1
1.860291908E1,-5.259892953E1
1.870650325E1,-6.299439791E1
1.881319400E1,-6.710056328E1
1.891983229E1,-6.620016418E1
1.902456283E1,-6.386937459E1
1.912757950E1,-5.740174710E1
1.923427104E1,-6.181593719E1
1.934025312E1,-5.177330737E1
1.944707933E1,-4.645556518E1
1.955380512E1,-4.813989775E1
1.965712671E1,-6.184767894E1
1.975923838E1,-4.937452530E1
1.986604396E1,-4.873735732E1
1.997220596E1,-5.151278243E1
2.007420271E1,-4.965774887E1
2.018084504E1,-4.801769636E1
2.028752362E1,-4.421414029E1
2.039395975E1,-4.424783423E1
2.050062388E1,-5.569363106E1
2.060569967E1,-6.507915667E1
2.071246963E1,-6.549983163E1
2.081638938E1,-6.637559293E1
2.092248163E1,-6.569329804E1
2.102457158E1,-6.623933967E1
2.113130242E1,-6.872571959E1
2.123798221E1,-4.413275293E1
2.134170313E1,-4.290288818E1
2.144845017E1,-5.162745038E1
2.155264267E1,-4.794186729E1
2.165654367E1,-4.575877199E1
2.176186275E1,-4.126234342E1
2.186695933E1,-4.336941747E1
2.197342446E1,-4.321097328E1
2.208010921E1,-5.583732678E1
2.218675167E1,-4.272849463E1
2.229232633E1,-5.547004271E1
2.239902575E1,-4.543241071E1
2.250568183E1,-4.869672204E1
2.260909487E1,-4.852737993E1
2.271569688E1,-5.144413790E1
2.282238108E1,-6.527540865E1
2.292600817E1,-6.574478306E1
2.303278058E1,-6.575785912E1
2.313941046E1,-5.766642788E1
2.324288929E1,-4.807335479E1
2.334962292E1,-4.519323606E1
2.345632546E1,-4.424229676E1
2.355951650E1,-4.858183600E1
2.366617950E1,-4.312772940E1
2.377289821E1,-4.106847474E1
2.387625650E1,-4.295582316E1
2.398296287E1,-5.378571051E1
2.408968075E1,-6.655849175E1
2.419318675E1,-4.981600292E1
2.429990371E1,-6.101644240E1
2.440653204E1,-4.862682965E1
2.451006921E1,-5.537676446E1
2.461679179E1,-5.039604291E1
2.472342513E1,-4.351776497E1
2.482703038E1,-4.491303593E1
2.493374904E1,-5.313384022E1
2.504047529E1,-4.889645011E1
2.514388375E1,-4.595177200E1
2.525030563E1,-4.480968328E1
2.535439250E1,-4.310987282E1
2.546076163E1,-5.294542897E1
2.556703433E1,-6.493788164E1
2.567368304E1,-6.659747248E1
2.577582671E1,-6.541445542E1
2.587792625E1,-6.651990058E1
2.598459087E1,-6.531955075E1
2.609131937E1,-4.578146762E1
2.619468938E1,-4.894840530E1
2.630139567E1,-5.539466782E1
2.640815133E1,-6.387251501E1
2.651158963E1,-6.869675891E1
2.661822979E1,-4.695156616E1
2.672463504E1,-4.765421879E1
2.682865104E1,-5.396555102E1
2.693529525E1,-5.528532526E1
2.704195704E1,-4.788983806E1
2.714559021E1,-4.513109252E1
2.724861692E1,-4.453898106E1
2.735440292E1,-4.734723330E1
2.746027808E1,-4.336697166E1
2.756698050E1,-5.092490761E1
2.767245683E1,-4.502193363E1
2.777900588E1,-4.289614653E1
2.788341650E1,-4.638842300E1
2.799010771E1,-5.761740315E1
2.809400192E1,-5.477985664E1
2.820067921E1,-4.484975029E1
2.830640471E1,-4.498154493E1
2.841282075E1,-5.082988296E1
2.851953333E1,-6.091254743E1
2.862462912E1,-6.631595092E1
2.872964217E1,-6.655164414E1
2.883633292E1,-4.712126246E1
2.894309333E1,-4.836754910E1
2.904665758E1,-5.114570985E1
2.915343112E1,-4.514968858E1
2.926010188E1,-4.430000304E1
2.936361708E1,-5.465850906E1
2.946692592E1,NaN
2.957277604E1,-4.958677120E1
2.967855150E1,-5.242750230E1
2.978064842E1,-5.282505332E1
2.988741767E1,-4.958491860E1
2.999410646E1,-5.168654197E1
3.009760892E1,-6.208171378E1
3.020433375E1,-4.826463960E1
3.030790400E1,-4.661407971E1
3.041259113E1,-5.084894694E1
3.051463229E1,-5.688774401E1
3.062125950E1,-5.263068396E1
3.072464308E1,-5.263357762E1
3.082966067E1,-5.164648406E1
3.093174550E1,-5.022652953E1
3.103844042E1,-5.114266139E1
3.114510563E1,-5.727935210E1
3.125186108E1,-6.233422516E1
3.135446375E1,-6.495769273E1
3.146121083E1,-6.281981901E1
3.156700079E1,-4.819544925E1
3.167364033E1,-4.721473748E1
3.178023979E1,-4.907076521E1
3.188236929E1,-5.323769769E1
3.198456275E1,-5.145816187E1
3.209121538E1,-4.591301228E1
3.219729846E1,-4.723631283E1
3.229944842E1,-4.829491218E1
3.240612333E1,-4.797339762E1
3.251276963E1,-5.743702726E1
3.261632692E1,-6.041897219E1
3.272302246E1,-6.482073071E1
3.282970396E1,-6.449481650E1
3.293297287E1,-4.958106151E1
3.303969029E1,-4.762590617E1
3.314646808E1,-5.279695539E1
3.324993687E1,-5.814017359E1
3.335672829E1,-4.935345748E1
3.346333983E1,-6.302590924E1
3.356676396E1,-6.377406795E1
3.366980162E1,NaN
3.377559708E1,-6.366591227E1
3.388167442E1,-6.400516466E1
3.398379233E1,-6.525325360E1
3.409047058E1,-6.285299736E1
3.419711554E1,-6.483868400E1
3.430074013E1,-6.561441220E1
3.440736658E1,-6.541851026E1
3.451410483E1,-6.379741595E1
3.461747513E1,-6.569110889E1
3.472417558E1,-6.628951504E1
3.483085396E1,-6.418665359E1
3.493735762E1,-3.909058536E1
3.504411129E1,-4.386249884E1
3.514923313E1,-5.008381025E1
3.525124137E1,-6.174383655E1
3.535787967E1,-4.566988112E1
3.546448154E1,-4.735728936E1
3.556796021E1,NaN
3.567403750E1,-4.366084046E1
3.578095796E1,-4.458563634E1
3.588495400E1,-5.012105607E1
3.599157650E1,-5.473038137E1
3.609818267E1,-6.003580543E1
3.619993271E1,-6.621902167E1
3.630177721E1,-6.875925183E1
3.640851587E1,-6.903171943E1
3.651512912E1,-7.125780838E1
3.661926812E1,-5.859668274E1
3.672459817E1,-4.930024843E1
3.682733867E1,-4.896082323E1
3.693327729E1,-5.043485098E1
3.703535125E1,-6.072990057E1
3.714212662E1,-4.810865751E1
3.724893733E1,-5.716403732E1
3.735090225E1,-5.475799143E1
3.745318429E1,-4.851790104E1
3.755986171E1,-4.387954302E1
3.766652358E1,-4.500652994E1
3.776925796E1,-4.482030203E1
3.787589458E1,-5.703522954E1
3.798258983E1,-6.394282707E1
3.808547629E1,-6.494374214E1
3.819220721E1,-6.641717683E1
3.829888408E1,-6.844813371E1
3.840311175E1,-5.853264457E1
3.850979417E1,-4.700213053E1
3.861648946E1,-4.588319225E1
3.872001479E1,-4.659008605E1
3.882463008E1,-5.655804516E1
3.893130237E1,-6.452359492E1
3.903685071E1,-6.801332392E1
3.914360421E1,-5.109821478E1
3.925030387E1,-5.497824500E1
3.935380254E1,-4.980561862E1
3.946060617E1,-4.632487913E1
3.956704383E1,-4.262434107E1
3.967065275E1,-4.674094558E1
3.977729804E1,-5.769386416E1
3.988390733E1,-6.236250039E1
3.998755879E1,-6.062571573E1
4.009420525E1,-4.790294186E1
4.019786696E1,-4.780520819E1
4.030434462E1,-5.106140469E1
4.040600604E1,-4.902201026E1
4.051269600E1,-4.922379527E1
4.061914688E1,-6.082323816E1
4.072466242E1,-5.060272564E1
4.083133117E1,-4.868583440E1
4.093594646E1,-4.947800473E1
4.103815579E1,-4.294947733E1
4.114487850E1,-4.844918788E1
4.125069529E1,-4.696483845E1
4.135507629E1,-4.586166127E1
4.146182617E1,-6.440296880E1
4.156700925E1,-5.992245693E1
4.167192971E1,-4.836444008E1
4.177653312E1,-4.566928392E1
4.188330808E1,-5.684801334E1
4.198867246E1,-5.693188581E1
4.209123942E1,-5.755173743E1
4.219792704E1,-6.070563554E1
4.230362404E1,-6.432710415E1
4.240571054E1,-6.677221757E1
4.251234675E1,-5.266372168E1
4.261901079E1,-4.276111124E1
4.272428204E1,-5.542713863E1
4.283101529E1,-4.586272770E1
4.293728308E1,-4.986034533E1
4.304405346E1,-5.587619550E1
4.314905512E1,-6.222231151E1
4.325406779E1,-6.187597271E1
4.335606658E1,-4.486227461E1
4.346173608E1,NaN
4.356700675E1,-4.922385494E1
4.367284308E1,-4.660930052E1
4.377956150E1,-4.604354919E1
4.388625525E1,-5.280263792E1
4.398971567E1,-5.271871754E1
4.409640396E1,-4.585316348E1
4.420308042E1,-4.719096930E1
4.430666667E1,-5.593046533E1
4.441337046E1,-5.686523891E1
4.452014150E1,-6.565267691E1
4.462364538E1,-6.779494959E1
4.473032067E1,-6.976171613E1
4.483698725E1,-6.777518645E1
4.494039821E1,-6.707244316E1
4.504719658E1,-6.734864362E1
4.515114258E1,-6.805887762E1
4.525525675E1,-6.928350470E1
4.536186825E1,-6.855168300E1
4.546692213E1,NaN
4.557220296E1,-4.987693606E1
4.567416517E1,-5.282128603E1
4.577995271E1,-6.355091791E1
4.588233200E1,-6.794305666E1
4.598830600E1,-6.275841166E1
4.609098158E1,-4.751685462E1
4.619769496E1,-5.183917958E1
4.630432013E1,-5.357679118E1
4.640785896E1,-4.632055244E1
4.651257288E1,-5.024177997E1
