"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.953523751E-1,NaN
3.996935417E-1,-6.687825688E1
5.047900835E-1,-6.527962858E1
6.104381252E-1,-6.799902382E1
7.162645417E-1,-6.281674192E1
8.230127501E-1,-6.543213436E1
9.295517502E-1,-6.441112364E1
1.033211417E0,-6.186571505E1
1.138880125E0,-6.215853611E1
1.244722667E0,-6.478266887E1
1.349949167E0,-6.575199984E1
1.456787292E0,-6.681590484E1
1.561786500E0,-5.500386611E1
1.666606875E0,-4.865341188E1
1.773387208E0,-6.088385095E1
1.878846458E0,-4.200155576E1
1.983294917E0,-3.353963381E1
2.086622042E0,-3.723644705E1
2.192376000E0,-4.332720731E1
2.297613375E0,-5.021545492E1
2.399973458E0,-5.803439214E1
2.506665834E0,-6.578184073E1
2.612408333E0,-4.676402573E1
2.716611292E0,-4.388151347E1
2.823440792E0,-3.907565870E1
2.929111875E0,-4.125400512E1
3.033319500E0,-5.167799675E1
3.140168250E0,-5.817497865E1
3.246079833E0,-6.233165527E1
3.349948000E0,-6.071991043E1
3.451975125E0,-6.095197538E1
3.558451750E0,-6.198446968E1
3.664872958E0,-4.968616878E1
3.771644292E0,-4.020887659E1
3.878513667E0,-3.817844386E1
3.983218167E0,-4.133444177E1
4.090026167E0,-4.113973439E1
4.196975250E0,-4.212327762E1
4.300740875E0,-5.314707739E1
4.407507583E0,-4.353933509E1
4.513957042E0,-4.748217871E1
4.616180958E0,-5.746706895E1
4.723018250E0,-4.445962351E1
4.829807250E0,-3.734659064E1
4.933346000E0,-3.735000704E1
5.040405250E0,-4.572912786E1
5.147266875E0,-5.925526505E1
5.250437292E0,-6.379974431E1
5.355004208E0,-6.262991161E1
5.458281000E0,-6.618330706E1
5.563931458E0,NaN
5.667822375E0,-4.953207960E1
5.771602417E0,-4.325895258E1
5.878361792E0,-4.406193586E1
5.984714333E0,-4.710515426E1
6.087212167E0,-5.173838604E1
6.194070583E0,-6.254909139E1
6.300774083E0,-5.980586636E1
6.404916708E0,-6.363688765E1
6.511719125E0,-4.374156731E1
6.618509750E0,-4.665333082E1
6.721681667E0,-4.019011498E1
6.828400292E0,-3.629818999E1
6.933149583E0,-4.934115693E1
7.038234125E0,-4.248068396E1
7.145030583E0,-4.252465859E1
7.249938583E0,-4.044755066E1
7.354396167E0,-4.127199213E1
7.458348750E0,-4.909331646E1
7.565118708E0,-4.329296447E1
7.671672167E0,-4.088400995E1
7.778461542E0,-5.063609014E1
7.883893750E0,-3.975733116E1
7.987247333E0,-3.898742878E1
8.094066875E0,-4.410075162E1
8.200698000E0,-3.648158809E1
8.304889583E0,-3.662767271E1
8.411704000E0,-3.729418941E1
8.517473292E0,-3.780642170E1
8.621611833E0,-4.089267923E1
8.728325958E0,-5.252306690E1
8.834252708E0,-6.204551082E1
8.938249958E0,-6.193586343E1
9.041226750E0,-6.356312433E1
9.147921917E0,-4.080704064E1
9.253223292E0,-3.801499816E1
9.358168417E0,-3.798095858E1
9.464193542E0,-4.104560632E1
9.570089833E0,-4.360992756E1
9.676816250E0,-4.292876071E1
9.783572667E0,-4.980523143E1
9.886902833E0,-5.276344047E1
9.993655958E0,-5.538799426E1
1.010037254E1,-5.726368214E1
1.020488629E1,-5.156459994E1
1.031164042E1,-3.679560117E1
1.041842967E1,-4.022970064E1
1.052048246E1,-3.598674552E1
1.062730963E1,-3.901240413E1
1.072993133E1,-3.934305494E1
1.083522962E1,-3.997915601E1
1.093721425E1,-5.026235712E1
1.104399779E1,-3.977606595E1
1.115074883E1,-4.447968902E1
1.125761946E1,-3.819144732E1
1.136444167E1,-4.649271709E1
1.147088550E1,-3.719351550E1
1.157741513E1,-3.617371751E1
1.168403958E1,-4.794051028E1
1.178723863E1,-3.400140776E1
1.189392542E1,-3.482781034E1
1.200070338E1,-3.848207521E1
1.210454879E1,-3.967326857E1
1.221136508E1,-5.543711016E1
1.231583633E1,-6.287800452E1
1.241913975E1,-6.782848927E1
1.252146313E1,-6.938770999E1
1.262649183E1,-6.566816753E1
1.273331567E1,-6.661356215E1
1.283618067E1,-6.696243045E1
1.294288046E1,-6.532845930E1
1.304961113E1,-6.865947439E1
1.315518121E1,-4.359186220E1
1.325831058E1,-4.101116666E1
1.336500917E1,-4.655617197E1
1.347005933E1,-6.314727682E1
1.357213338E1,-6.639578502E1
1.367888829E1,-5.504712252E1
1.378560358E1,-4.597371603E1
1.388901042E1,-4.525777961E1
1.399571304E1,-4.390667558E1
1.410076150E1,-4.689731492E1
1.420582696E1,-3.669274447E1
1.431263550E1,-4.254301155E1
1.441709954E1,-3.772791907E1
1.452269854E1,-4.046972332E1
1.462476779E1,-3.607334608E1
1.473155838E1,-4.523009331E1
1.483743004E1,-3.827339237E1
1.493956892E1,-4.446054229E1
1.504644846E1,-4.895334322E1
1.515203817E1,-5.637048897E1
1.525844254E1,-4.316956975E1
1.536550629E1,-5.328071854E1
1.547116858E1,-5.228597874E1
1.557337042E1,-4.976556358E1
1.568014750E1,-5.276644729E1
1.578248204E1,-4.877946597E1
1.588809238E1,-4.216341321E1
1.599030625E1,-4.308892749E1
1.609709704E1,-4.724079588E1
1.620078325E1,-4.437109063E1
1.630720733E1,-5.440176712E1
1.641252917E1,-6.581008567E1
1.651618404E1,-6.792604963E1
1.662207775E1,-6.608647924E1
1.672408683E1,-6.746228972E1
1.683080846E1,-6.708722209E1
1.693451258E1,-5.509109213E1
1.704107742E1,-3.842743684E1
1.714780150E1,-5.239374041E1
1.725450146E1,-5.874344059E1
1.735789679E1,-6.677365847E1
1.746466667E1,-6.842676354E1
1.757147296E1,-3.857467481E1
1.767465929E1,-4.223942834E1
1.778131575E1,-3.956937746E1
1.788802350E1,-4.658346818E1
1.799479913E1,-4.955117248E1
1.810054933E1,-4.424708790E1
1.820636304E1,-6.140943908E1
1.830833279E1,-5.770876660E1
1.841502408E1,-4.391764167E1
1.852175896E1,-4.432262476E1
1.862520788E1,-4.729771587E1
1.873194737E1,-4.571013840E1
1.883467129E1,-4.691734675E1
1.893994096E1,-4.809765207E1
1.904192100E1,-4.467869331E1
1.914860338E1,-4.296378714E1
1.925546571E1,-4.567468266E1
1.935838138E1,-5.153530443E1
1.946516883E1,-6.818321519E1
1.957193442E1,-6.662469190E1
1.967858963E1,-6.871602931E1
1.978534354E1,-6.833723073E1
1.989044271E1,-5.378459841E1
1.999249363E1,-4.862063613E1
2.009642062E1,-4.567866420E1
2.020086363E1,-4.766097762E1
2.030730667E1,-4.569400458E1
2.040936688E1,-4.290886944E1
2.051582213E1,-4.722903207E1
2.062253825E1,-5.626553729E1
2.072620917E1,-4.557924422E1
2.083299233E1,-6.015444140E1
2.093972179E1,-4.746491127E1
2.104314629E1,-4.631179899E1
2.114998796E1,-4.450547843E1
2.125676033E1,-4.753958304E1
2.135997363E1,-5.251040581E1
2.146666096E1,-4.854451371E1
2.157334117E1,-4.488643638E1
2.167681229E1,-4.310744267E1
2.177926025E1,-4.682934496E1
2.188377583E1,-5.308953514E1
2.199059013E1,-5.362959677E1
2.209382729E1,-6.032767422E1
2.220064292E1,-6.505103415E1
2.230759350E1,-6.593494990E1
2.241059058E1,-6.615968388E1
2.251731533E1,-6.734151873E1
2.262403650E1,-6.722557338E1
2.272753213E1,-4.925891480E1
2.283416904E1,-4.524013938E1
2.294098996E1,-4.640805859E1
2.304441917E1,-4.527223343E1
2.315116167E1,-5.102440999E1
2.325800779E1,-6.647349842E1
2.336124238E1,-3.874688193E1
2.346541167E1,-4.716601893E1
2.356898317E1,NaN
2.367477704E1,-4.708914550E1
2.377807446E1,-6.044091662E1
2.388482000E1,-4.591532350E1
2.399153088E1,-5.191617746E1
2.409504000E1,-5.801242282E1
2.420084667E1,-5.855992532E1
2.430754742E1,-4.883782490E1
2.440991075E1,-5.022484012E1
2.451674563E1,-4.418298243E1
2.462345538E1,-4.448735164E1
2.472873013E1,-4.982037487E1
2.483546421E1,-5.719633272E1
2.494219683E1,-6.115279872E1
2.504556296E1,-6.375241308E1
2.515237429E1,-6.624340011E1
2.525827021E1,-6.934418597E1
2.536237821E1,-5.613932964E1
2.546771950E1,NaN
2.557365213E1,-4.239401338E1
2.567930967E1,-3.763644952E1
2.578565975E1,-5.271729503E1
2.589249100E1,-6.107644261E1
2.599608825E1,-5.428122297E1
2.610082450E1,-4.186085641E1
2.620755275E1,-5.224842291E1
2.631095800E1,-5.960508833E1
2.641289608E1,-4.126136426E1
2.651969296E1,-3.760058684E1
2.662654975E1,-3.886109282E1
2.672969887E1,-4.518233874E1
2.683201229E1,-3.757172551E1
2.693888067E1,-4.497054881E1
2.704450025E1,-5.834075967E1
2.714922363E1,-6.287569803E1
2.725593329E1,-6.429081356E1
2.736149271E1,-6.615527522E1
2.746343788E1,-3.613709009E1
2.757019667E1,-3.257046576E1
2.767697479E1,-3.484354240E1
2.778041408E1,-4.338320166E1
2.788719479E1,-4.352099423E1
2.799388996E1,-3.358406625E1
2.809721817E1,-3.942652996E1
2.820007183E1,-3.217335928E1
2.830677163E1,-3.209778582E1
2.841202242E1,-3.896471749E1
2.851416833E1,-3.486713112E1
2.862099517E1,-3.161853165E1
2.872775746E1,-3.390436575E1
2.883100113E1,-4.074924646E1
2.893644950E1,-3.573250477E1
2.904322942E1,-3.667637321E1
2.914930029E1,-3.496624542E1
2.925270554E1,-4.263239938E1
2.935839808E1,-3.888673472E1
2.946479404E1,-4.986514171E1
2.957149550E1,-5.077296167E1
2.967828913E1,-4.058980207E1
2.978157496E1,-4.139406891E1
2.988377371E1,-4.740056261E1
2.999056967E1,-4.380418283E1
3.009625113E1,-4.509724606E1
3.020074104E1,-5.505755468E1
3.030741392E1,-6.628057381E1
3.041310775E1,-6.573353989E1
3.051639192E1,-6.502141893E1
3.062320096E1,-5.921845905E1
3.073006450E1,-4.815543599E1
3.083238900E1,-4.156312939E1
3.093917200E1,-3.987631539E1
3.104585483E1,-4.639371602E1
3.114928900E1,-4.424270769E1
3.125599921E1,-4.457369740E1
3.135833796E1,-4.355283484E1
3.146426421E1,-4.045649346E1
3.156628404E1,NaN
3.167214321E1,-3.714019554E1
3.177882554E1,-4.253453852E1
3.188122375E1,-4.507588174E1
3.198334875E1,-4.911982532E1
3.209004779E1,-6.648572754E1
3.219688563E1,-7.016657470E1
3.230026063E1,-6.741047349E1
3.240704279E1,-6.665333792E1
3.251365683E1,-6.657796954E1
3.261702108E1,-6.763260749E1
3.272099246E1,-7.000299726E1
3.282339554E1,-5.355020441E1
3.292579054E1,-3.926860611E1
3.303197567E1,-3.937851657E1
3.313411458E1,-3.798557615E1
3.324087108E1,-3.941271704E1
3.334763842E1,-4.408543490E1
3.345144571E1,-5.454756740E1
3.355825183E1,-6.431025028E1
3.366498221E1,-6.686695457E1
3.376761092E1,-4.898025624E1
3.387341346E1,-4.327936373E1
3.398016333E1,-4.248625322E1
3.408464446E1,-3.970301897E1
3.419138046E1,-4.098206109E1
3.429807525E1,-4.858018799E1
3.440076204E1,-6.230061796E1
3.450273033E1,-6.509441307E1
3.460946088E1,-4.191421440E1
