"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.436113750E-1,NaN
2.481774169E-1,-7.194199178E1
3.535075418E-1,-6.545135747E1
4.601474584E-1,-6.608048824E1
5.656423750E-1,-6.401090235E1
6.702378751E-1,-6.448999480E1
7.721652084E-1,-6.489352945E1
8.771163335E-1,-5.670734267E1
9.829401667E-1,-4.737456081E1
1.088524333E0,-4.792964515E1
1.195298167E0,-5.079833031E1
1.302000375E0,-4.731356405E1
1.408755333E0,-4.720850701E1
1.510793500E0,NaN
1.616673000E0,-6.096839645E1
1.720181208E0,-6.551288900E1
1.823251583E0,-5.475816895E1
1.929828375E0,-4.489429950E1
2.036176458E0,-4.206430785E1
2.142788959E0,-4.617387473E1
2.248211125E0,-5.081057942E1
2.352997917E0,-5.043311211E1
2.459638583E0,-5.361512395E1
2.565685542E0,-6.140149485E1
2.669956833E0,-6.222393455E1
2.773242292E0,-5.125958970E1
2.879850375E0,-4.765247434E1
2.984849209E0,-6.266268133E1
3.086835250E0,-5.058402972E1
3.193475542E0,-5.092854760E1
3.295994458E0,-5.408789010E1
3.401909333E0,-5.216865971E1
3.505037750E0,-5.292042048E1
3.610878667E0,-5.105509643E1
3.717427917E0,-6.637182005E1
3.820942208E0,-6.101989619E1
3.925075292E0,NaN
4.031062292E0,-5.243125497E1
4.136141000E0,-5.546773095E1
4.241008167E0,-6.404388907E1
4.346772000E0,-5.112499937E1
4.453273292E0,-5.904999824E1
4.555563917E0,-6.137645813E1
4.657881375E0,-5.743385400E1
4.761186959E0,-4.783016206E1
4.867853500E0,-5.057620431E1
4.972895209E0,-6.160271037E1
5.079835083E0,-5.358271591E1
5.186545583E0,-5.723701441E1
5.289876458E0,-5.355907408E1
5.392815583E0,-5.618907420E1
5.499411959E0,-5.265753114E1
5.605012667E0,-5.285868084E1
5.709958334E0,-4.748098740E1
5.816555000E0,-5.541108389E1
5.921826625E0,-6.263458861E1
6.026125000E0,-4.994919672E1
6.132773167E0,-5.243900704E1
6.238709125E0,-5.875253468E1
6.342802125E0,-5.413208327E1
6.449426709E0,-4.802519876E1
6.555567792E0,-4.959229129E1
6.659500250E0,-5.154570114E1
6.761901833E0,-5.672048295E1
6.868311292E0,-6.445129986E1
6.974717375E0,-6.281769688E1
7.076143500E0,-6.170056410E1
7.182754125E0,-6.244680444E1
7.285259208E0,-6.623086884E1
7.391798042E0,-6.658018071E1
7.495058958E0,-6.583605804E1
7.601727167E0,-4.877726837E1
7.706705417E0,-4.727595048E1
7.810041917E0,-4.970444228E1
7.913071500E0,NaN
8.018882542E0,-5.354573059E1
8.123515125E0,-4.134686730E1
8.225719208E0,-4.748027608E1
8.332320458E0,-4.963240419E1
8.438965375E0,-5.391665408E1
8.542558375E0,-4.958393228E1
8.649149042E0,-4.752991777E1
8.755707375E0,-5.375319388E1
8.859438875E0,-5.020660394E1
8.966070167E0,-5.716073950E1
9.068341792E0,-4.962268169E1
9.174287292E0,-5.011461536E1
9.276140875E0,-4.727282572E1
9.378990750E0,-5.153217337E1
9.485712417E0,-5.427571927E1
9.591408208E0,-5.066843200E1
9.693279417E0,-4.909651415E1
9.796142583E0,-4.938177527E1
9.902789375E0,-5.344148325E1
1.000835521E1,-6.418443875E1
1.011008688E1,-5.205208073E1
1.021670521E1,-5.198902528E1
1.032349267E1,-4.896480208E1
1.042540992E1,-5.373819850E1
1.052751808E1,-6.257883335E1
1.063367550E1,-5.929597911E1
1.074034300E1,-6.448227172E1
1.084441608E1,-6.031592569E1
1.095114946E1,-5.219705894E1
1.105787671E1,-6.658343865E1
1.116117096E1,-6.596026725E1
1.126493717E1,-6.444169420E1
1.136755550E1,-6.503788490E1
1.147431483E1,-5.319278472E1
1.157825708E1,-4.793401762E1
1.168487133E1,-5.261029671E1
1.179165454E1,-5.413000145E1
1.189527279E1,-4.894862100E1
1.199848129E1,-4.762159965E1
1.210521354E1,-5.220224966E1
1.221024521E1,-6.220875470E1
1.231228517E1,-6.171398673E1
1.241744833E1,-6.579131167E1
1.252411079E1,-4.412952831E1
1.262918204E1,-4.549612533E1
1.273581608E1,-5.592545807E1
