"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.402987500E-1,NaN
2.458887917E-1,-7.252142200E1
3.509944584E-1,-6.886886237E1
4.576163334E-1,-6.648793194E1
5.642943750E-1,-6.488208674E1
6.695483751E-1,-6.513730972E1
7.762069583E-1,-5.076951998E1
8.819853333E-1,-5.174730392E1
9.870677083E-1,-4.485988746E1
1.093681375E0,-4.390420665E1
1.198992208E0,-4.770390160E1
1.301087333E0,-4.777945271E1
1.407799417E0,-5.053769511E1
1.512830083E0,-4.984214545E1
1.617917417E0,-5.976304407E1
1.724560958E0,-4.318263475E1
1.831184750E0,-4.210161490E1
1.934845792E0,-4.106253283E1
2.041418333E0,-5.776602805E1
2.144048958E0,-5.262449303E1
2.249808292E0,-5.135690530E1
2.351895792E0,-5.175335763E1
2.453644667E0,-5.853332399E1
2.560335458E0,-4.939296523E1
2.667001917E0,-4.925016272E1
2.768920500E0,-5.765736120E1
2.872076125E0,-4.690874122E1
2.978713958E0,-4.294325356E1
3.083935958E0,-4.957570923E1
3.190556292E0,-5.465391637E1
3.297144958E0,-4.653072173E1
3.402832083E0,-5.752337479E1
3.509488708E0,-6.538275303E1
3.611258125E0,-4.364609106E1
3.717762083E0,-3.683311581E1
3.819928792E0,-3.664623503E1
3.925108375E0,NaN
4.030987083E0,-5.411215744E1
4.136868625E0,-5.056556415E1
4.238905042E0,-4.459912232E1
4.345506667E0,-4.565034042E1
4.451856375E0,-4.588559916E1
4.554075292E0,-4.292059016E1
4.660710750E0,-4.323806780E1
4.767481083E0,-4.707229265E1
4.871174625E0,-5.108167107E1
4.974279875E0,-5.720263239E1
5.080946833E0,-6.076766004E1
5.186349750E0,-5.099226631E1
5.291033875E0,-5.484509812E1
5.397659542E0,-5.944423966E1
5.503342167E0,-4.343779082E1
5.607658292E0,-5.004434899E1
5.714262583E0,-5.179611842E1
5.820104625E0,-5.034173644E1
5.925151417E0,-4.645920055E1
6.028554917E0,-4.730781674E1
6.135114667E0,-5.909621934E1
6.241054917E0,-6.122478827E1
6.347691542E0,-6.092845480E1
6.453676958E0,-6.043540447E1
6.557631000E0,-6.412160498E1
6.659302250E0,-6.443896381E1
6.765851917E0,-6.346218677E1
6.872103125E0,-6.486590979E1
6.974318750E0,-7.024547463E1
7.080904958E0,-5.013576720E1
7.186719083E0,-4.566044485E1
7.291012833E0,-4.113611890E1
7.392942917E0,-5.143484861E1
7.495677875E0,-6.176900081E1
7.602294125E0,-5.010232612E1
7.707149750E0,-4.229788906E1
7.809977083E0,-4.492372540E1
7.912840875E0,NaN
8.013906125E0,-4.827895280E1
8.119795250E0,-5.330196601E1
8.224306125E0,-5.195890541E1
8.326624917E0,-5.624070812E1
8.429321208E0,-5.014997889E1
8.533639125E0,-5.453490363E1
8.638366333E0,-5.703986377E1
8.740990208E0,-4.821978694E1
8.847583958E0,-4.605945754E1
8.952999000E0,-4.338147946E1
9.057670125E0,-4.385000231E1
9.164289417E0,-4.175021855E1
9.269433500E0,-4.675726806E1
9.374312875E0,-4.905177686E1
9.481103833E0,-4.900773055E1
9.585960042E0,-4.780990020E1
9.691120625E0,-5.410042032E1
9.797792667E0,-6.555440967E1
9.902502917E0,-4.159142693E1
1.000771746E1,-4.378246610E1
1.011437917E1,-5.354607619E1
1.021927267E1,-4.902752275E1
1.032472046E1,NaN
1.042668912E1,-5.102197352E1
1.053249712E1,-4.108905132E1
1.063789463E1,-4.857920918E1
1.074101458E1,-5.099991594E1
1.084765200E1,-5.661683456E1
1.095224671E1,-4.869795936E1
1.105770050E1,-4.527293929E1
1.116443358E1,-4.285184614E1
1.126926154E1,-4.905806547E1
1.137437683E1,-5.140149029E1
1.147766958E1,-4.692164432E1
1.158285250E1,-4.567411645E1
1.168821883E1,-4.720051831E1
1.179108779E1,-5.473763374E1
1.189781179E1,-4.630146981E1
1.200317321E1,-4.433824266E1
1.210774442E1,-4.800251178E1
1.221444721E1,-5.018778296E1
1.231958137E1,-6.004168730E1
1.242437108E1,-5.581825090E1
1.253106054E1,-6.032303038E1
1.263619688E1,-3.996855503E1
1.273813787E1,-4.668981134E1
1.284475908E1,-4.433753327E1
1.294720917E1,-5.266956780E1
1.305290925E1,-3.942350782E1
1.315526700E1,-4.568621205E1
1.326197083E1,-4.439941402E1
1.336863083E1,-4.748363334E1
1.347146733E1,-5.138798065E1
1.357817183E1,-4.810991637E1
1.368286600E1,-5.462993909E1
1.378629683E1,-5.965811358E1
1.388826129E1,-6.194628623E1
1.399494967E1,-5.160584675E1
1.410168200E1,-4.590883396E1
1.420517992E1,-4.310198829E1
1.431183812E1,-4.334438957E1
1.441854162E1,-4.521925811E1
1.452523837E1,-5.283355524E1
1.463184046E1,-4.766888052E1
1.473656554E1,-4.818593142E1
1.483842496E1,-5.230172671E1
1.494507438E1,-5.023617937E1
1.505180662E1,-6.313208859E1
1.515524746E1,-6.805321790E1
1.526180467E1,-6.734160570E1
1.536849779E1,-4.667613199E1
1.547218113E1,-4.016838466E1
1.557885829E1,-4.796471324E1
1.568286075E1,-4.543502331E1
1.578921150E1,-4.940414141E1
1.589547838E1,-4.829113232E1
1.600214996E1,-4.833832418E1
1.610606046E1,-4.745780017E1
1.621293713E1,-6.191131957E1
1.631960517E1,-4.670455583E1
1.642524408E1,-5.919627590E1
1.653183462E1,-4.941224807E1
1.663780125E1,-4.550149676E1
1.673988137E1,-5.008060843E1
1.684651363E1,-6.033667993E1
1.695318254E1,-5.314247086E1
1.705679075E1,-6.287020104E1
1.716347992E1,-5.138936070E1
1.727015383E1,-4.245895803E1
1.737380921E1,-4.210121500E1
1.748052471E1,-5.787345855E1
1.758283667E1,-5.130204425E1
1.768882837E1,-5.130553853E1
1.779090717E1,-4.826269643E1
1.789776037E1,-6.319879719E1
1.800449413E1,-4.725434817E1
1.810757967E1,-4.218748926E1
1.821423033E1,-4.711972131E1
1.832092671E1,-5.181125575E1
1.842431083E1,-4.500986953E1
1.853091125E1,-6.122784355E1
1.863757050E1,-6.366399278E1
1.874257054E1,-4.311399459E1
1.884924079E1,-4.183312585E1
1.895591983E1,-5.523143022E1
1.906085996E1,-4.984754863E1
1.916754037E1,-4.324515965E1
1.927289679E1,-5.433352455E1
1.937492579E1,-5.222008376E1
1.948159396E1,-3.998523814E1
1.958831113E1,-4.168943798E1
1.969501492E1,-4.204070874E1
1.980077267E1,-4.506165310E1
1.990620779E1,-6.040407403E1
2.001289642E1,-5.790905907E1
2.011953633E1,-6.265234412E1
2.022512408E1,-6.594307949E1
2.033103346E1,-5.764946797E1
2.043762117E1,-6.184012078E1
2.054183725E1,-4.647584504E1
2.064415992E1,-5.030765772E1
