"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.074608335E-1,NaN
3.098407916E-1,-6.944583242E1
4.173972500E-1,-6.098768639E1
5.223964583E-1,-6.554084789E1
6.264930000E-1,-6.561981235E1
7.323122500E-1,-6.599413084E1
8.382291668E-1,-6.540939719E1
9.418294583E-1,-6.583361189E1
1.047511417E0,-6.576130915E1
1.152424292E0,-6.775951482E1
1.255663917E0,-6.787365311E1
1.362275208E0,-6.659373519E1
1.467658958E0,-6.707403173E1
1.572334042E0,-6.224225467E1
1.679009583E0,-6.467953559E1
1.784295583E0,-4.928182482E1
1.888948875E0,-4.493141064E1
1.995564083E0,-4.595156806E1
2.101188292E0,-4.850819639E1
2.205624959E0,-5.462527046E1
2.309972875E0,-6.310666498E1
2.416167625E0,-6.396276934E1
2.522304417E0,-6.789475941E1
2.625052208E0,-6.471931429E1
2.730646875E0,-6.536203690E1
2.833135542E0,-6.770300005E1
2.938957125E0,-4.823998439E1
3.045522708E0,-4.838368882E1
3.152054292E0,-4.512029598E1
3.255709000E0,-4.579353693E1
3.360813375E0,-5.624364328E1
3.466895917E0,-6.448514256E1
3.572271500E0,-6.570003846E1
3.675113208E0,-6.651958454E1
3.781727083E0,-6.365331315E1
3.886336542E0,-6.495009539E1
3.988090792E0,NaN
4.088957750E0,-6.743660223E1
4.195515333E0,-6.726955718E1
4.301521958E0,-4.465378904E1
4.405672542E0,-3.887773518E1
4.509993333E0,-4.245081873E1
4.612029833E0,-4.453814818E1
4.718641083E0,-4.656355914E1
4.822324459E0,-3.953442821E1
4.928969458E0,-4.950485622E1
5.035663000E0,-4.356780330E1
5.138235833E0,-4.496869941E1
5.242180625E0,-4.198359881E1
5.348805875E0,-4.435773070E1
5.455047875E0,-4.721693790E1
5.561773167E0,-4.713503908E1
5.668166750E0,-4.419793319E1
5.771675834E0,-4.832505375E1
5.878391125E0,-4.615666821E1
5.982790208E0,-4.423845174E1
6.088437208E0,-4.238958940E1
6.195250042E0,-4.995386533E1
6.300703917E0,-5.724645001E1
6.405086208E0,-5.785171251E1
6.510058042E0,-5.555628047E1
6.613354375E0,-5.059492406E1
6.718027333E0,-5.141670060E1
6.823219209E0,-4.318527553E1
6.928814042E0,-4.174510091E1
7.034965250E0,-4.724752153E1
7.140239458E0,-5.644879915E1
7.245791417E0,-5.049259117E1
7.351534833E0,-4.343393939E1
7.457225458E0,-4.801908033E1
7.559892583E0,-4.817691174E1
7.666513375E0,-4.757528369E1
7.772157333E0,-4.879555565E1
7.877828667E0,-4.399462903E1
7.984519000E0,-4.936530989E1
8.091067833E0,-5.134980704E1
8.194688875E0,-4.293125046E1
8.296318875E0,-4.596111853E1
8.401553208E0,-5.172829281E1
8.506040375E0,-5.570123080E1
8.610136875E0,-6.154418272E1
8.716803750E0,-6.226453748E1
8.823129292E0,-6.807466794E1
8.925315333E0,-6.919278086E1
9.029836250E0,-5.274869755E1
9.135815708E0,-4.800246031E1
9.242175083E0,-5.323553647E1
9.348888208E0,-4.864377877E1
9.455147458E0,-4.432520420E1
9.559049333E0,-4.056190637E1
9.664293083E0,-5.192245267E1
9.768218042E0,-5.545447480E1
9.873903875E0,-4.943181587E1
9.976242792E0,-5.127794978E1
1.008296950E1,-4.775813132E1
1.018483412E1,-4.586454480E1
1.029108429E1,-4.534270045E1
1.039321833E1,-4.778750721E1
1.049591600E1,-5.280165478E1
1.060254775E1,-5.459126137E1
1.070809750E1,-5.237062096E1
1.081516458E1,-5.041826323E1
1.091900075E1,-5.851601785E1
1.102505850E1,-6.503533174E1
1.112721271E1,-6.629264847E1
1.123393283E1,-6.508971114E1
1.133899650E1,-6.437468315E1
1.144194467E1,-6.342989357E1
1.154412075E1,-6.126307098E1
1.164972654E1,-6.333230569E1
1.175565258E1,-6.528211830E1
1.185904892E1,-4.287342694E1
1.196103492E1,-4.113518697E1
1.206774567E1,-4.287061432E1
1.217352208E1,-4.543405448E1
1.227609225E1,-4.398474776E1
1.238279571E1,-4.637001839E1
1.248901092E1,-4.472204421E1
1.259480675E1,-5.670772289E1
1.270111079E1,-4.912740481E1
1.280750779E1,-4.524868046E1
1.291184608E1,-5.607713357E1
1.301841850E1,-4.925082789E1
1.312217796E1,-5.031406094E1
1.322671696E1,-5.798755994E1
1.332891638E1,-4.277533551E1
1.343563146E1,-5.163718660E1
1.354233242E1,-4.594683455E1
1.364578629E1,-5.613390770E1
1.374913042E1,-4.815323544E1
1.385166663E1,-5.187854235E1
1.395837412E1,-4.237080684E1
1.406311533E1,-4.548453118E1
1.416673758E1,-4.821107393E1
1.427338783E1,-5.653296622E1
1.437799271E1,NaN
1.448013763E1,-5.130055639E1
1.458684546E1,-5.800270760E1
1.469283429E1,-5.163739819E1
1.479506725E1,-4.790707442E1
1.489723779E1,-4.773902809E1
1.500392888E1,-5.453472878E1
1.511008238E1,-6.373087129E1
1.521412854E1,-6.660990914E1
1.531724746E1,-6.357683078E1
1.542390017E1,-6.465602906E1
1.552906675E1,-4.520068169E1
1.563110604E1,-4.647310419E1
1.573779983E1,-4.615486050E1
1.584454463E1,-4.716148745E1
1.595017379E1,-4.876159106E1
1.605250358E1,-5.177507333E1
1.615922533E1,-4.341189212E1
1.626501296E1,-4.770909336E1
1.636881204E1,-4.999199321E1
1.647553738E1,-5.474747713E1
1.658186800E1,-6.409352343E1
1.668462012E1,-6.524253266E1
1.679122388E1,-6.673363648E1
1.689682058E1,-6.894584866E1
1.699944925E1,-6.666499577E1
1.710607954E1,-6.750359922E1
1.721012333E1,-6.848585139E1
1.731378838E1,-7.019095577E1
1.742044683E1,-6.529510941E1
1.752711538E1,-6.324885707E1
1.763061704E1,-6.508827520E1
1.773264108E1,-4.798180801E1
1.783469046E1,-4.270771007E1
1.793944046E1,-4.373144418E1
1.804603246E1,-4.798005336E1
1.815249475E1,-4.499505908E1
1.825922712E1,-3.885705182E1
1.836419113E1,-4.305096740E1
1.847093371E1,-4.432555428E1
1.857767200E1,-4.510660300E1
1.868122717E1,-5.445990289E1
1.878325679E1,-4.846841351E1
1.888996475E1,-4.559593509E1
1.899659300E1,-4.521558544E1
1.910332929E1,-4.631465980E1
1.921003325E1,-4.532776286E1
1.931500587E1,-5.191623209E1
1.941703963E1,-4.557377580E1
1.952378904E1,-5.259572641E1
1.962664813E1,-4.474321722E1
1.973192796E1,-4.638621934E1
1.983867525E1,-5.049428854E1
1.994549521E1,-5.134267516E1
2.005087008E1,-5.439876320E1
2.015750825E1,-5.162605346E1
2.026422033E1,-4.872367684E1
2.037086663E1,-5.020251959E1
2.047763971E1,-4.440989111E1
2.058268700E1,-5.085729159E1
