"Time (s)","Sound pressure level (dB)"
0.000000000E0,-5.703273958E1
2.886618332E-1,NaN
3.930872499E-1,-6.567914430E1
4.976696665E-1,-6.226420969E1
6.005567915E-1,-6.404508340E1
7.073752081E-1,-6.736268426E1
8.128111248E-1,-6.830571607E1
9.166001666E-1,-6.823510958E1
1.023323792E0,-6.849342647E1
1.130068917E0,-6.684376272E1
1.235562333E0,-6.691180952E1
1.342374875E0,-6.379921713E1
1.449201541E0,-6.506919328E1
1.555991333E0,-4.210603897E1
1.662133417E0,-4.228741081E1
1.766146458E0,-4.186233311E1
1.868324458E0,-4.234965362E1
1.970153792E0,-3.948873704E1
2.076801416E0,-4.215931709E1
2.183092583E0,-5.291864201E1
2.284988625E0,-4.388544405E1
2.391770250E0,-5.086463754E1
2.497940833E0,-5.380119530E1
2.600004458E0,-4.265195684E1
2.706700500E0,-5.184495432E1
2.813342167E0,-5.429174844E1
2.916976042E0,-4.112944707E1
3.023603333E0,-4.013774522E1
3.130271125E0,-4.254068073E1
3.233792250E0,-4.613973481E1
3.340554833E0,-4.576237267E1
3.447350000E0,-4.636785438E1
3.552432208E0,-3.591399416E1
3.659135167E0,-4.163421712E1
3.765598458E0,-5.086004167E1
3.870493000E0,-6.136225678E1
3.977262125E0,-5.937248289E1
4.082846625E0,-6.090117523E1
4.185124958E0,-4.277739014E1
4.291925583E0,-3.923987630E1
4.398741500E0,-3.841753948E1
4.502140458E0,-3.692385465E1
4.608956667E0,-4.483046427E1
4.715704833E0,-4.068754365E1
4.819204000E0,-6.237609933E1
4.925942083E0,-3.906101606E1
5.032674000E0,-4.234198616E1
5.135873292E0,-4.183258902E1
5.242197042E0,-4.399989685E1
5.347512000E0,-3.808150086E1
5.451549000E0,-3.910501434E1
5.557073708E0,-3.883961581E1
5.663749791E0,-3.819176175E1
5.768602333E0,-3.720013612E1
5.873540333E0,-3.360016254E1
5.980237250E0,-3.938625482E1
6.085775000E0,-4.774307352E1
6.190250750E0,-3.989781168E1
6.293261416E0,-3.808418987E1
6.400015750E0,-3.734023764E1
6.502924208E0,-3.804585197E1
6.606938167E0,-4.752212040E1
6.713595666E0,-5.073280861E1
6.820018542E0,-5.888503679E1
