"Time (s)","Sound pressure level (dB)"
0.000000000E0,-6.881123157E1
1.357622501E-1,NaN
2.389225001E-1,-6.899471621E1
3.450839168E-1,-6.266514540E1
4.487301668E-1,-3.819846892E1
5.552660835E-1,-4.937369715E1
6.572495834E-1,-5.069346282E1
7.634045836E-1,-5.179548829E1
8.678375834E-1,-5.213438164E1
9.746473751E-1,-5.275632592E1
1.080161708E0,-5.552605187E1
1.182401042E0,-5.888347637E1
1.289080542E0,-6.197642600E1
1.395967250E0,-6.332411007E1
1.498959875E0,-6.436446457E1
1.605365708E0,-6.622094645E1
1.712082708E0,-6.906755739E1
1.815537625E0,-3.455343862E1
1.919105833E0,NaN
2.024962792E0,-3.195623857E1
2.130086042E0,-3.440966642E1
2.232149625E0,-3.901413628E1
2.338788583E0,-4.162301311E1
2.443241250E0,-4.001136044E1
2.548817042E0,-3.390764950E1
2.655591875E0,-3.794415548E1
2.759865833E0,-4.095684963E1
2.865232209E0,-4.506232624E1
2.967781833E0,-5.278419729E1
3.074457458E0,-6.190643398E1
3.179772375E0,-4.130869227E1
3.281727625E0,-4.184291797E1
3.388444875E0,-3.727950747E1
3.493289375E0,-3.636237117E1
3.598577458E0,-5.190692326E1
3.705362375E0,-3.723100435E1
3.809943708E0,-4.328537307E1
3.915411209E0,-4.919364354E1
4.022172875E0,-4.178776262E1
4.126574375E0,-3.559364831E1
4.232070250E0,-4.057201559E1
4.334171084E0,-4.224717167E1
4.440857417E0,-5.286116082E1
4.546710542E0,-6.097130249E1
4.648871125E0,-6.596838736E1
4.755756958E0,-6.648772095E1
4.859959875E0,-3.632921391E1
4.965622875E0,-3.359263415E1
5.072377125E0,-3.281307429E1
5.176573250E0,-3.382480048E1
5.280455000E0,-3.722769682E1
5.382607458E0,-3.865282424E1
5.489374334E0,-5.060612150E1
5.593251125E0,-5.847891575E1
5.697309292E0,-4.361710360E1
5.799380625E0,-3.727505699E1
5.905500875E0,-4.285215374E1
6.009895917E0,-3.661687944E1
6.116141750E0,-3.788012994E1
6.222860250E0,-3.690330750E1
6.327946125E0,-4.568641982E1
6.432955333E0,-5.108603272E1
6.539652500E0,-4.417330852E1
6.643260584E0,-4.349472721E1
6.749784500E0,-4.656166930E1
6.856505083E0,-4.925773994E1
6.963059625E0,-4.591400189E1
7.066440125E0,-4.598203740E1
7.173180625E0,-4.990238280E1
7.276638958E0,-5.473357482E1
7.383212042E0,-3.806700166E1
7.485540292E0,-4.115432457E1
7.592428583E0,-3.858937480E1
7.697887792E0,-3.854125855E1
7.799845833E0,-4.472805036E1
7.905502833E0,-5.762539577E1
8.009913625E0,-6.158786180E1
8.116537917E0,-4.428606186E1
8.219830708E0,-3.968439247E1
8.326457583E0,-3.996132739E1
8.431160042E0,-4.507864066E1
8.533284458E0,-3.800129557E1
8.639881167E0,-4.108986516E1
8.743187750E0,-3.988565003E1
8.847938625E0,-4.943284065E1
8.949922208E0,-4.661135079E1
9.056587250E0,-4.126901241E1
9.163067458E0,-4.690706809E1
9.266541000E0,-4.027732789E1
9.373168333E0,-4.486000507E1
9.476622958E0,-4.062035266E1
9.583262958E0,-4.865763254E1
9.686958750E0,-4.905839658E1
9.793229625E0,-5.593669244E1
9.899886667E0,-4.385973775E1
1.000550133E1,-4.624730635E1
1.010990246E1,-5.342593968E1
1.021454162E1,-6.252195038E1
1.032120942E1,-6.674920224E1
1.042657179E1,-6.852674047E1
1.053311713E1,-6.625568363E1
1.063975675E1,-6.640922328E1
1.074323996E1,-6.700046107E1
1.084981513E1,-4.692603380E1
1.095652221E1,-3.748902601E1
1.106305538E1,-4.091565926E1
1.116973358E1,-4.930426751E1
1.127642854E1,-5.671904650E1
1.138114183E1,-6.117607907E1
1.148311167E1,-6.667364355E1
1.158990713E1,-6.709250586E1
1.169322696E1,-6.999257312E1
1.179759625E1,-3.939672216E1
1.189949604E1,-3.582508436E1
1.200450354E1,-4.718809090E1
1.210992767E1,-4.017270936E1
1.221592929E1,-4.796077440E1
1.232264588E1,-3.902029424E1
1.242652029E1,-4.054845641E1
1.253046000E1,-5.221327458E1
1.263711096E1,-4.468021859E1
1.274322146E1,-4.014557758E1
1.284923863E1,-4.246435695E1
1.295437158E1,-4.701860069E1
1.305992971E1,-4.797320249E1
1.316568400E1,-3.701252181E1
1.327241788E1,-3.886029741E1
1.337656833E1,-3.736260592E1
1.348226429E1,-3.842224418E1
1.358842654E1,-4.117030791E1
1.369328675E1,-4.908167988E1
1.379877871E1,-5.614598928E1
1.390551063E1,-6.055941344E1
1.400994829E1,-6.322804759E1
1.411318546E1,-6.237382653E1
1.421505963E1,-3.277938604E1
1.432171000E1,-3.817618249E1
1.442655208E1,-4.142522140E1
1.453165700E1,-4.631015998E1
1.463368179E1,-3.686865033E1
1.474045325E1,-3.964579569E1
1.484610471E1,-3.699528411E1
1.494802475E1,-3.757076944E1
1.505470863E1,-3.889875918E1
1.515992217E1,-3.864099087E1
1.526407554E1,-4.778796580E1
1.536626392E1,-3.934947210E1
1.547297254E1,-4.140711736E1
1.557937421E1,-4.391052355E1
1.568151483E1,-4.675972944E1
1.578812538E1,-6.029056093E1
1.589245683E1,-6.285421720E1
1.599812171E1,-6.432572312E1
1.610503667E1,-6.394948517E1
1.621183721E1,-5.004259317E1
1.631504250E1,-3.870170336E1
1.642172700E1,-4.633407776E1
1.652836692E1,-6.263244606E1
1.663159642E1,-4.562014329E1
1.673825467E1,-4.605614659E1
1.684495875E1,-3.963840405E1
1.694698721E1,-3.636109998E1
1.704882746E1,-4.265574556E1
1.715549913E1,-3.977473896E1
1.726271729E1,-3.874522678E1
1.736570063E1,-4.232571894E1
1.747242158E1,-5.414635038E1
1.757771933E1,-4.920307975E1
1.768243988E1,-4.062545561E1
1.778906288E1,-4.269763896E1
1.789581750E1,-4.926079248E1
1.799913592E1,-4.307954385E1
1.810557796E1,-4.141066763E1
1.821224913E1,-4.779424192E1
1.831578717E1,-4.197398159E1
1.842241525E1,-4.757494977E1
1.852635229E1,-5.358914320E1
1.863247229E1,-4.946973781E1
1.873915150E1,-4.628027825E1
1.884579892E1,-4.968267127E1
1.894949813E1,-4.208409165E1
1.905614221E1,-4.557935923E1
1.915865700E1,-4.151326531E1
1.926389046E1,-4.067024113E1
1.936606858E1,-4.839208416E1
1.947279650E1,-5.794052531E1
1.957948121E1,-6.040035462E1
1.968274683E1,-6.284604178E1
1.978944421E1,-6.423251117E1
1.989611538E1,-6.635245746E1
1.999873992E1,-6.571372543E1
2.010553925E1,-6.674475609E1
2.021216588E1,-5.719271326E1
2.031608800E1,-3.942665191E1
2.042032313E1,-4.519297969E1
2.052705900E1,-3.990431085E1
2.063315525E1,-4.198131902E1
2.073608842E1,-4.893626434E1
2.084239817E1,-5.296233136E1
2.094799863E1,-4.201811763E1
2.104984367E1,-3.498232934E1
2.115505171E1,-3.805408398E1
2.125981208E1,-4.168637453E1
2.136449158E1,-5.042558523E1
2.146658675E1,-5.921865450E1
2.157324367E1,-6.488572587E1
2.167987375E1,-6.880551831E1
2.178354713E1,-3.957965521E1
2.189023942E1,-3.721161044E1
2.199713858E1,-3.564145179E1
2.210057838E1,-3.711657042E1
2.220548713E1,-3.788306857E1
2.231231238E1,-4.277509473E1
2.241722646E1,-5.711709639E1
2.252387358E1,-6.516114469E1
2.263049992E1,-5.226448474E1
2.273357525E1,-4.175161172E1
2.284025200E1,-3.400701717E1
2.294452700E1,-4.133545731E1
2.305031696E1,-3.783125237E1
2.315698871E1,-4.093965285E1
2.326307925E1,-4.068620120E1
2.336483392E1,-4.171469819E1
2.347152025E1,-4.178009574E1
2.357821483E1,-3.792695227E1
2.368333371E1,-4.443587388E1
2.378998838E1,-4.263061283E1
2.389242308E1,-4.583282588E1
2.399790575E1,-4.342483498E1
2.409982004E1,-4.667631475E1
2.420551429E1,-4.514334536E1
2.431217054E1,-4.550876954E1
2.441634283E1,-5.738399287E1
2.452301421E1,-6.490366394E1
2.462979446E1,-4.642224432E1
2.473311146E1,-4.815646160E1
2.483973467E1,-4.043642268E1
2.494642633E1,-3.951341981E1
2.504977433E1,-3.729581137E1
2.515650629E1,-3.987221853E1
2.526308817E1,-4.070718725E1
2.536647258E1,-4.477363556E1
2.547307804E1,-5.820641772E1
2.557978808E1,-6.389520004E1
2.568297446E1,-6.382009618E1
2.578921300E1,-6.552981294E1
2.589595754E1,-4.582758571E1
2.599955575E1,-3.922535929E1
2.610551154E1,-4.261229721E1
2.621224233E1,-4.009425448E1
2.631442308E1,-4.511079078E1
2.642108575E1,-4.074505973E1
2.652778063E1,-4.996298941E1
2.663253021E1,-4.294321780E1
2.673926425E1,-4.219507756E1
2.684599917E1,-4.531347649E1
2.695270075E1,-5.944744733E1
2.705946246E1,-6.036133843E1
2.716551488E1,-6.288162977E1
2.727226188E1,-6.546102669E1
2.737898238E1,-6.749048626E1
2.748193038E1,-6.807074525E1
2.758852842E1,-6.779640872E1
2.769121100E1,-6.531063656E1
2.779640813E1,-6.371648091E1
2.789842629E1,-6.319584973E1
2.800521246E1,-4.978094330E1
2.811135788E1,-4.616837841E1
2.821503417E1,-3.963294175E1
2.832168421E1,-4.659056485E1
2.842801129E1,-4.010875190E1
2.853145858E1,-4.356155436E1
2.863816538E1,-4.285779888E1
2.874467833E1,-4.746003291E1
2.884790688E1,-4.553793706E1
2.895450696E1,-3.984577194E1
2.905908375E1,-4.529043991E1
2.916458638E1,-4.742013778E1
2.927129663E1,-5.736146156E1
2.937576021E1,-6.077321107E1
2.948121138E1,-6.540900247E1
2.958788300E1,-4.869094413E1
2.969249188E1,-3.967780560E1
2.979787046E1,-4.691515354E1
2.990365921E1,-4.109418676E1
3.000911738E1,-4.295020461E1
3.011451433E1,-4.175343940E1
3.022126346E1,-4.709202736E1
3.032576496E1,-4.098185988E1
3.043131388E1,-4.266341147E1
3.053803046E1,-4.678259955E1
3.064248442E1,-4.147361038E1
3.074611700E1,-4.845657742E1
3.084797846E1,-5.010196986E1
3.095469388E1,-4.577081013E1
3.105911129E1,-5.390279908E1
3.116466992E1,-4.467221050E1
3.127140708E1,-4.708568118E1
3.137579308E1,-4.176068839E1
3.148145204E1,-4.761369645E1
3.158822321E1,-4.855114205E1
3.169242879E1,-4.332412754E1
3.179616654E1,-5.183760112E1
3.189813342E1,-4.717176963E1
3.200490354E1,-5.004324342E1
3.210909150E1,-5.109211635E1
3.221495846E1,-4.747666032E1
3.232156771E1,-4.862212365E1
3.242569654E1,NaN
3.252950567E1,-4.668940806E1
3.263140000E1,-4.635948203E1
3.273806546E1,-5.152675901E1
3.284245567E1,-4.535748839E1
3.294805433E1,-4.814639863E1
3.305480113E1,-6.188356722E1
3.315913817E1,-5.342711247E1
3.326483621E1,-5.689623875E1
3.337165021E1,-5.010123362E1
3.347578321E1,-5.202118861E1
3.358146883E1,-5.371959603E1
3.368816671E1,-5.897239458E1
3.379243775E1,-5.877303709E1
3.389805483E1,-4.429930167E1
3.400441888E1,-3.972092825E1
3.410914521E1,-3.488149711E1
3.421457088E1,-4.053844020E1
3.432130629E1,-4.005348863E1
3.442573083E1,-4.284007025E1
3.453135471E1,-4.251353535E1
