"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
3.370450416E-1,NaN
4.416884165E-1,-7.320617269E1
5.440300833E-1,-5.858595638E1
6.506415415E-1,-6.089606876E1
7.552694166E-1,-6.441649357E1
8.601730415E-1,-6.191255126E1
9.669434165E-1,-6.700454439E1
1.073669417E0,-6.716825384E1
1.178237500E0,-6.477279965E1
1.284520000E0,-4.713963939E1
1.388683917E0,-4.071932611E1
1.493319417E0,-4.495507704E1
1.600165542E0,-4.472316696E1
1.703991375E0,-4.467592718E1
1.810344917E0,-5.318811663E1
1.913447917E0,-4.703940678E1
2.017872000E0,-4.934072989E1
2.123521292E0,-4.293140936E1
2.227631708E0,-4.882403440E1
2.329824000E0,-4.809781002E1
2.436582833E0,-5.127414492E1
2.540220583E0,-6.007402506E1
2.647063083E0,-4.438885469E1
2.753980041E0,-4.425101873E1
2.856945541E0,-4.843507957E1
2.962120833E0,-5.092534916E1
3.068815292E0,-4.535452207E1
3.173546625E0,-4.396803667E1
3.279241916E0,-5.055400417E1
3.381488750E0,-4.739759029E1
3.488145250E0,-4.630925907E1
3.590262917E0,-5.361688107E1
3.696817875E0,-4.482175690E1
3.798831917E0,-4.577150537E1
3.905632167E0,-4.552503036E1
4.011079000E0,-4.702264643E1
4.115999792E0,-4.355299266E1
4.218643666E0,-5.402675396E1
4.323565291E0,-5.912932060E1
4.430206000E0,-4.368406119E1
4.533448792E0,-4.453361836E1
4.640286667E0,-4.572904037E1
4.747791833E0,-5.167370316E1
4.850507958E0,-4.464971450E1
4.956952083E0,-5.119510752E1
5.061040708E0,-5.331795465E1
5.165661917E0,-4.674739407E1
5.267770125E0,-5.672435940E1
5.373589125E0,-4.707978871E1
5.479921750E0,-4.532342754E1
5.584736708E0,-4.669818110E1
5.690291458E0,-4.532628367E1
5.796474458E0,-4.529137415E1
5.901573083E0,-4.577479948E1
6.006889667E0,-4.481696010E1
6.113197917E0,-4.936871388E1
6.218592083E0,-5.303029914E1
6.323554750E0,-6.140887781E1
6.429789125E0,-6.134442521E1
6.536038333E0,-6.190812076E1
6.640271750E0,-4.627835816E1
6.746485708E0,-4.943199892E1
6.851117333E0,-4.156988667E1
6.956923750E0,-4.271771180E1
7.063156333E0,-4.958952552E1
7.168282375E0,-4.239119109E1
7.273550292E0,-4.456238476E1
7.379742667E0,-5.077646296E1
7.485651292E0,-5.819049043E1
7.590250792E0,-4.129228341E1
7.696561125E0,-4.349270011E1
7.802882042E0,-4.621217945E1
7.906885625E0,-4.861315342E1
8.013150583E0,-5.016893367E1
8.118569792E0,-4.417867692E1
8.223530083E0,-4.447555467E1
8.329833125E0,-5.236694928E1
8.436476292E0,-5.175952955E1
8.541363416E0,-4.615216794E1
8.646559166E0,-4.971315828E1
8.753249125E0,-5.816523766E1
8.856551000E0,-4.459898409E1
8.963173375E0,-4.926472721E1
9.065973250E0,-5.649622242E1
9.171712625E0,-4.440361287E1
9.273528958E0,-4.747212149E1
9.379830625E0,-5.608973327E1
9.486525000E0,-5.612322013E1
9.590207417E0,-5.220724756E1
9.696472292E0,-5.229662402E1
9.803153417E0,-4.962706144E1
9.908175375E0,-4.700103020E1
1.001318671E1,-4.562888793E1
1.011862212E1,-4.791363003E1
1.022340750E1,-5.694454165E1
1.033001446E1,-4.356242609E1
1.043670313E1,-4.470841467E1
1.054252600E1,-5.926517753E1
1.064912413E1,-6.051996586E1
1.075572725E1,-6.010256166E1
1.086090708E1,-6.080264467E1
1.096759100E1,-6.215221013E1
1.107359679E1,-6.340672434E1
1.117700896E1,-5.079298260E1
1.128376258E1,-4.344619607E1
1.139034204E1,-4.555525194E1
1.149222083E1,-4.086162188E1
1.159855596E1,-4.294994882E1
1.170520429E1,-4.591559170E1
1.180939267E1,-4.255779284E1
1.191156042E1,-5.149197727E1
1.201811483E1,-4.670692457E1
1.212357146E1,-4.638170978E1
1.222848892E1,-4.739640653E1
1.233284696E1,-5.310676534E1
1.243550021E1,-4.568936997E1
1.254018937E1,-3.985611818E1
1.264387279E1,-4.710386559E1
1.274588508E1,-5.468297346E1
1.285272050E1,-4.228657195E1
1.295671158E1,-4.871053037E1
1.306107983E1,-3.964023802E1
1.316366312E1,-4.247353400E1
1.326856050E1,-4.426462761E1
1.337363200E1,-4.349052939E1
1.348022729E1,-5.088430792E1
1.358252787E1,-3.938212943E1
1.368924958E1,-4.035936471E1
1.379175642E1,-4.372139989E1
1.389757571E1,-4.312750237E1
1.400429575E1,-4.155218071E1
1.410677187E1,-4.310686683E1
1.421262567E1,-4.877914071E1
1.431858858E1,-5.710546693E1
1.442316112E1,-4.713220833E1
1.452965012E1,-4.326900550E1
1.463307221E1,-4.404410672E1
1.473763600E1,-5.297621452E1
1.484019396E1,-5.592884093E1
1.494671454E1,-4.432231630E1
1.505345467E1,-4.193746547E1
1.515686408E1,-4.325245189E1
1.526103454E1,-4.934046921E1
1.536601367E1,-4.645594157E1
1.546886496E1,-4.421023726E1
1.557508375E1,-4.717945910E1
1.568112358E1,-5.098250194E1
1.578330433E1,-4.411503109E1
1.588819733E1,-4.252818315E1
1.599376417E1,-5.602076607E1
1.610032079E1,-5.131827409E1
1.620636725E1,-4.468558494E1
1.631299333E1,-5.147701474E1
1.641866921E1,-4.582923543E1
1.652539004E1,-5.903375481E1
1.663188633E1,-4.510502886E1
1.673471017E1,-4.332379782E1
1.684149025E1,-4.879861752E1
1.694818012E1,-5.293102941E1
1.705164450E1,-5.041495425E1
1.715816296E1,-4.824657620E1
1.726024779E1,-4.577780583E1
1.736690596E1,-4.558331213E1
1.747081712E1,-5.586812309E1
1.757517967E1,-4.013507557E1
1.767973658E1,-4.412042878E1
1.778593596E1,-5.854053721E1
1.789231329E1,-4.687816935E1
1.799898854E1,-5.369173275E1
1.810308117E1,-4.474447305E1
1.820982867E1,-4.795577937E1
1.831648242E1,-5.090189550E1
1.842249058E1,-5.847260607E1
1.852912042E1,-6.516309018E1
1.863516229E1,-6.398673838E1
1.873714542E1,-6.204325014E1
1.884376917E1,-6.330268519E1
1.894612454E1,-6.520676659E1
1.905232842E1,-6.504446148E1
1.915437167E1,-5.116936590E1
1.926082696E1,-3.673386815E1
1.936746462E1,-3.694486451E1
1.947142796E1,-5.231510558E1
1.957807837E1,-3.724925233E1
1.968475192E1,-3.828845971E1
1.978651537E1,-4.623698041E1
1.988874021E1,-4.099098901E1
1.999418554E1,-4.002316160E1
2.010101033E1,-4.137498592E1
2.020564925E1,-4.049157288E1
2.031140633E1,NaN
2.041728450E1,-4.188063987E1
2.052065229E1,-4.436889735E1
2.062272979E1,-4.673158632E1
2.072938312E1,-3.975152658E1
2.083600050E1,-4.110254304E1
2.093780213E1,-4.361231038E1
2.104448108E1,-4.111947349E1
2.114764229E1,-4.506232587E1
2.125009196E1,-5.050829152E1
2.135474267E1,-5.579507344E1
2.146104483E1,-5.973186891E1
2.156775287E1,-5.074124598E1
2.167197379E1,-5.695992784E1
2.177409433E1,-4.490377923E1
2.188079196E1,-4.122838898E1
2.198689833E1,-4.369181948E1
2.209112496E1,-5.284591903E1
2.219775217E1,-3.874939755E1
2.230445321E1,-4.540267909E1
2.240809421E1,-4.334484883E1
2.251479200E1,-4.303362182E1
2.261862971E1,-4.545737929E1
2.272519162E1,-5.399527627E1
2.283184321E1,-6.023746447E1
2.293719708E1,-4.310695004E1
2.304235062E1,-4.041400919E1
2.314878917E1,-4.337840515E1
2.325365525E1,-5.527315815E1
2.335932954E1,-4.102106597E1
2.346601521E1,-4.157180922E1
2.357266875E1,-4.764175054E1
2.367641546E1,-4.232174486E1
2.378309271E1,-4.313856349E1
2.388979217E1,-4.793435637E1
2.399366012E1,-4.309528971E1
2.410050533E1,-4.893502248E1
2.420720933E1,-4.548948909E1
2.431049796E1,-4.276364427E1
2.441710683E1,-4.101116937E1
2.452380454E1,-4.487294610E1
2.462748258E1,-4.905795245E1
2.473402887E1,-4.412201942E1
2.484063887E1,-5.478065583E1
2.494272096E1,-5.666518719E1
2.504931875E1,-4.623737925E1
2.515097208E1,-5.234926204E1
2.525766458E1,-4.478961266E1
2.536101433E1,-3.941470517E1
2.546767892E1,-4.343637123E1
2.557429217E1,-5.361957059E1
2.567976175E1,-4.360718586E1
2.578499675E1,-4.625478282E1
2.589173308E1,-5.193560756E1
2.599626187E1,-6.157421795E1
2.610296837E1,-6.091019908E1
2.620967683E1,-5.995614401E1
2.631369587E1,-6.093621729E1
2.641797167E1,-6.296974670E1
2.652457500E1,-6.746989960E1
2.662839213E1,-4.527912104E1
2.673058596E1,-3.754095936E1
2.683293012E1,-3.896643100E1
2.693958079E1,-3.951577472E1
2.704579071E1,-3.811222251E1
2.714790367E1,-4.032948962E1
2.725458196E1,-3.745704348E1
2.736091612E1,-3.686017011E1
2.746495412E1,-3.921193857E1
2.757163687E1,-3.993817867E1
2.767828462E1,-3.791782878E1
2.778206183E1,-4.814986568E1
2.788873846E1,-4.210151740E1
2.799152704E1,-4.463506978E1
2.809707854E1,-5.219524235E1
2.819928900E1,-4.363758807E1
2.830598533E1,-4.837458667E1
2.841271363E1,-4.376354769E1
2.851860796E1,-4.244532224E1
2.862026825E1,-4.653274164E1
2.872689346E1,-4.829118952E1
2.883331225E1,-4.100937100E1
2.893999350E1,-4.128105398E1
2.904666700E1,-5.215421857E1
2.915037367E1,-4.171180286E1
2.925703850E1,-4.647837793E1
2.936101962E1,-5.204368271E1
2.946741950E1,-4.386374988E1
2.957412375E1,-4.544785008E1
2.967979962E1,-4.721878542E1
2.978446675E1,-5.568645560E1
2.989111450E1,-4.637936757E1
2.999777896E1,-4.791832198E1
3.010157150E1,-5.970187070E1
3.020334592E1,-6.161626735E1
3.031002742E1,-4.226460157E1
3.041653217E1,-5.568266874E1
3.051858692E1,-5.400842357E1
3.062530033E1,-6.088226541E1
3.073195479E1,-6.479315834E1
3.083388058E1,-4.785005732E1
3.093598904E1,-4.351208861E1
3.104226596E1,-4.328918771E1
3.114455633E1,-4.280085682E1
3.125111458E1,-4.488445272E1
3.135316408E1,-5.142983364E1
3.145979508E1,-6.187703784E1
3.156648812E1,-6.528426592E1
3.167032304E1,-6.465436989E1
3.177699479E1,-5.411971019E1
3.188363900E1,-5.996281207E1
3.198750696E1,-6.296442729E1
3.209422300E1,-4.418922913E1
3.220095146E1,-5.287465766E1
3.230457808E1,-6.511826357E1
3.241118592E1,-5.273110087E1
3.251788613E1,-4.296223009E1
3.262160162E1,-4.427449699E1
3.272815063E1,-4.338437462E1
3.283408179E1,-4.032915120E1
3.293875967E1,-4.179459829E1
3.304537862E1,-4.847591058E1
3.315221525E1,-4.211221533E1
3.325584717E1,-4.423537242E1
3.336107283E1,-5.666152758E1
3.346770992E1,-4.216475483E1
3.357291950E1,-4.269228193E1
3.367958896E1,-4.705945882E1
3.378627683E1,-4.976621339E1
3.389003012E1,-5.942444068E1
3.399666212E1,-5.311900654E1
3.410331771E1,-4.192663148E1
3.420721450E1,-4.199006426E1
3.431397408E1,-4.679376779E1
3.441861112E1,-4.425121937E1
3.452223821E1,-4.415851554E1
3.462887187E1,-4.587989852E1
3.473341646E1,-5.013750580E1
3.483925412E1,-4.797132104E1
3.494151854E1,-4.447508660E1
3.504812796E1,-5.083896209E1
3.515483283E1,-4.670769661E1
3.526104496E1,-4.875246674E1
3.536777217E1,-4.621851178E1
3.547350842E1,-4.332588873E1
3.557564871E1,-4.731768162E1
3.567976233E1,-4.590282444E1
3.578647892E1,-4.587943954E1
3.589075742E1,-4.551921767E1
3.599280583E1,-4.867196317E1
