"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.864618334E-1,NaN
3.932342501E-1,-6.938985836E1
4.974801249E-1,-6.004387759E1
6.032888333E-1,-6.678335016E1
7.052394585E-1,-6.431755753E1
8.120493335E-1,-6.533545172E1
9.163149167E-1,-6.476576829E1
1.020310875E0,-6.575654909E1
1.125899458E0,-6.898238029E1
1.232950375E0,-7.033769283E1
1.339386500E0,-6.985245630E1
1.446197458E0,-5.764619332E1
1.550544833E0,-4.445479199E1
1.656416958E0,-4.639743600E1
1.762717208E0,-4.581663525E1
1.867083583E0,-4.420568381E1
1.973409375E0,-4.805612365E1
2.080007708E0,-5.513930009E1
2.183832500E0,-5.714874569E1
2.288335625E0,-5.445774669E1
2.395016708E0,-6.523065402E1
2.500438208E0,-6.536420073E1
2.605461750E0,-6.084640925E1
2.712191125E0,-4.836069330E1
2.817154833E0,-4.475901745E1
2.922733750E0,-4.538099072E1
3.029386417E0,-4.754608658E1
3.133791583E0,-5.177800616E1
3.239828750E0,-5.257358692E1
3.341987458E0,-4.545136733E1
3.448580500E0,-5.173822932E1
3.555001667E0,-5.495931140E1
3.658985125E0,-5.188187578E1
3.765716042E0,-5.670005273E1
3.872420625E0,-5.165611523E1
3.976446375E0,-4.724338581E1
4.083204042E0,-5.183065103E1
4.189958292E0,-5.153245576E1
4.293459375E0,-4.748212232E1
4.397454792E0,-4.750606546E1
4.500500417E0,-4.953933306E1
4.605872333E0,-5.271198030E1
4.710815500E0,-5.120227958E1
4.817174625E0,-5.318737202E1
4.923817042E0,-5.654671906E1
5.027951708E0,-4.906599352E1
5.133937833E0,-5.039852369E1
5.240672625E0,-4.971347724E1
5.345048500E0,-5.193250974E1
5.450491000E0,-4.800159021E1
5.555025333E0,-5.270522056E1
5.660338542E0,-5.460515889E1
5.767055417E0,-5.639587560E1
5.873662667E0,-4.918858878E1
5.977338542E0,-5.207663259E1
6.083786583E0,-4.938633006E1
6.190351292E0,-5.477871976E1
6.296616792E0,-5.073591573E1
6.400483042E0,-5.615917984E1
6.502393167E0,-5.022689431E1
6.608142333E0,-5.112971173E1
6.713891958E0,-5.232876953E1
6.817100333E0,-5.323302026E1
6.923766625E0,-5.689591768E1
7.028958750E0,-5.748921843E1
7.133863625E0,-5.852353864E1
7.240580542E0,-6.369334784E1
7.345997500E0,-5.321841365E1
7.450424458E0,-5.247572857E1
7.555063750E0,-5.021909704E1
7.658187958E0,-5.193788858E1
7.762992167E0,-6.219445439E1
7.867063750E0,NaN
7.968727708E0,-6.473552837E1
8.074852208E0,-6.497597582E1
8.180079250E0,-6.545259743E1
8.283840333E0,-6.606367818E1
8.389515208E0,-6.955715596E1
8.491564750E0,-5.925114216E1
8.597239125E0,-5.012441272E1
8.700461958E0,-5.085850854E1
8.807065583E0,-5.286654678E1
8.913765958E0,-4.287421300E1
9.016363167E0,-4.108756558E1
9.118539167E0,-5.325481966E1
9.224967917E0,-4.612961841E1
9.331094458E0,-5.481394719E1
9.433309417E0,-4.348798303E1
9.539965042E0,-4.421739368E1
9.646648083E0,-4.493216905E1
9.750279000E0,-5.189873829E1
9.855033833E0,-4.950141048E1
9.958203667E0,NaN
1.006408671E1,-4.851803748E1
1.016712492E1,-5.197166524E1
1.027380946E1,-5.227202169E1
1.038055108E1,-4.765399219E1
1.048376733E1,-4.689285703E1
1.059034421E1,-5.376412424E1
1.069700629E1,-5.029229960E1
1.080044892E1,-4.953224530E1
1.090403275E1,-5.249888666E1
1.101060604E1,-5.207103127E1
1.111709950E1,-4.893686885E1
1.122378846E1,-4.632092706E1
1.133053312E1,-5.079550671E1
1.143282350E1,-5.089842271E1
1.153482942E1,-5.900322811E1
1.164152708E1,-5.562462469E1
1.174826917E1,-5.571049271E1
1.185501992E1,-5.280399004E1
1.196071967E1,-5.174166871E1
1.206651008E1,-5.082510916E1
1.216846421E1,-4.962609476E1
1.227517058E1,-5.060644678E1
1.238182071E1,-5.223527465E1
1.248855933E1,-5.491557851E1
1.259523921E1,-5.288828331E1
1.270013788E1,-5.338030910E1
1.280217475E1,-5.332887482E1
1.290887992E1,-5.237260497E1
1.301557421E1,-5.384805044E1
1.311903642E1,-5.341687795E1
1.322243188E1,-5.164719377E1
1.332913754E1,-6.578430063E1
1.343384475E1,-6.935279952E1
1.353648446E1,-6.627385072E1
1.364314646E1,-6.799893276E1
1.374985000E1,-6.810864691E1
1.385499154E1,-6.601190204E1
1.396172096E1,-6.415166004E1
1.406746325E1,-4.884780662E1
1.416955517E1,-5.061711280E1
1.427618442E1,-4.840910082E1
1.437783642E1,-5.737462707E1
1.448436963E1,-6.581588671E1
1.458651400E1,-6.689075015E1
1.468862250E1,-6.561015682E1
1.479522713E1,-6.696819788E1
1.490137904E1,-6.706773019E1
1.500351704E1,-4.520741986E1
1.511020213E1,-4.242655520E1
1.521683171E1,-4.505174699E1
1.532042417E1,-4.536470075E1
1.542713046E1,-5.002413065E1
1.553380425E1,-5.295206826E1
1.563750629E1,-5.659022341E1
1.574423596E1,-5.095081722E1
1.584757504E1,-5.386805296E1
1.595215225E1,-4.927920918E1
1.605438213E1,-4.636938718E1
1.616114125E1,-4.668658234E1
1.626778008E1,-4.510650814E1
1.637117033E1,-5.646530717E1
1.647513612E1,-4.524555399E1
1.657921558E1,-4.468355342E1
1.668588975E1,-4.407486112E1
1.678820763E1,-4.282272010E1
1.689175933E1,-5.318392987E1
1.699737892E1,-5.083559474E1
1.710295058E1,-5.286257279E1
1.720962450E1,-4.696299210E1
1.731637067E1,-5.456243897E1
1.742185471E1,-5.410782672E1
1.752399079E1,-5.632034283E1
1.762585579E1,-4.993929694E1
1.773222542E1,-4.933252491E1
1.783684204E1,-5.291459609E1
1.793891333E1,-6.243941555E1
1.804370654E1,-5.271299137E1
1.815045008E1,-5.472065091E1
1.825495217E1,-6.040716140E1
1.836173554E1,-5.703333273E1
1.846849129E1,-5.072405052E1
1.857259829E1,-5.224693304E1
