"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.466640418E-1,NaN
2.484857501E-1,-7.243878007E1
3.543932918E-1,-6.978728211E1
4.611899583E-1,-6.539627895E1
5.658183750E-1,-6.386998547E1
6.725642083E-1,-6.747742107E1
7.770901250E-1,-6.032175467E1
8.830008334E-1,-4.189232084E1
9.885673751E-1,-4.334545352E1
1.095243000E0,-4.238832432E1
1.200131167E0,-3.911568277E1
1.303131500E0,-4.849325436E1
1.409867250E0,-5.481039528E1
1.515194625E0,-4.917662615E1
1.617378667E0,-4.703759543E1
1.724063250E0,-4.591291301E1
1.830698500E0,-4.617379239E1
1.934230375E0,-4.052470870E1
2.037954750E0,-4.258222425E1
2.144690375E0,-4.128486493E1
2.251166000E0,-4.408475041E1
2.357331292E0,-4.054076907E1
2.463900250E0,-4.833832899E1
2.568092667E0,-4.946279567E1
2.673532667E0,-4.967849361E1
2.780232667E0,-5.220230156E1
2.884921583E0,-4.674977536E1
2.991630625E0,-4.423528328E1
3.098358417E0,-5.213094302E1
3.203345292E0,-5.009663448E1
3.310037542E0,-4.549106762E1
3.416710500E0,-4.481712160E1
3.518992375E0,-4.254288986E1
3.625810000E0,-5.210110434E1
3.731294875E0,-4.556344973E1
3.835674792E0,-4.664295593E1
3.942357333E0,-4.956240735E1
4.045630917E0,-5.063084886E1
4.150731458E0,-5.212445521E1
4.252789500E0,-5.045387854E1
4.358825458E0,-4.926714277E1
4.465482917E0,-4.873733192E1
4.569703542E0,-4.711578599E1
4.676397958E0,-4.805006269E1
4.783149833E0,-5.010949461E1
4.886767458E0,-5.216180644E1
4.991926750E0,-5.553047498E1
5.098695708E0,-5.445622302E1
5.203151000E0,-6.613595284E1
5.310135833E0,-6.302866034E1
5.415070792E0,-6.259035174E1
5.520592583E0,-5.605465066E1
5.626906708E0,-3.801589141E1
5.731579042E0,-3.857198523E1
5.837453208E0,-5.079551467E1
5.944070333E0,-4.989523490E1
6.047531417E0,-4.299539059E1
6.152321583E0,-4.554718990E1
6.254392042E0,-4.393121537E1
6.361063917E0,-4.090546213E1
6.464971375E0,-4.434907692E1
6.569291750E0,-4.420047726E1
6.675996833E0,-4.315672654E1
6.781671542E0,-4.821464832E1
6.888128000E0,-4.340038381E1
6.994833500E0,-4.967295908E1
7.098359792E0,-4.392155938E1
7.202991833E0,-4.690689001E1
7.307305042E0,-4.746255759E1
7.412666792E0,-5.133766079E1
7.515072458E0,-4.558625903E1
7.620048750E0,-4.627265975E1
7.722177375E0,-5.531978189E1
7.828815542E0,-5.062535673E1
7.931623750E0,-4.334073787E1
8.037974000E0,-5.001179300E1
8.144651958E0,-4.994419899E1
8.248353833E0,-4.965620892E1
8.353793500E0,-5.122208166E1
8.460482167E0,-5.084948227E1
8.564962625E0,-4.280283751E1
8.670801458E0,-4.801335964E1
8.772841542E0,-4.820013439E1
8.879505083E0,-4.974171281E1
8.981656500E0,-5.744127980E1
9.087857792E0,-5.381065688E1
9.189898875E0,-4.508704343E1
9.296593375E0,-4.618443645E1
9.403172583E0,-5.585716409E1
9.506911958E0,-4.395873468E1
9.613608250E0,-4.795052842E1
9.720326958E0,-5.032983627E1
9.827017000E0,-5.143136227E1
9.931624583E0,-5.206617210E1
1.003805596E1,-6.466718336E1
1.014071342E1,-5.079903283E1
1.024553929E1,-5.123648544E1
1.034946667E1,-4.141300293E1
1.045533983E1,-4.516476805E1
1.055756517E1,-4.821557365E1
1.066416521E1,-4.546072895E1
1.076609308E1,-4.996039158E1
1.087242821E1,-5.169547077E1
1.097449104E1,-5.074411439E1
1.108115604E1,-5.360327586E1
1.118783879E1,-5.000469981E1
1.129145208E1,-5.514939086E1
1.139831221E1,-6.362014532E1
1.150313217E1,-6.503634119E1
1.160829679E1,-6.410731202E1
1.171505829E1,-6.641466603E1
1.182177613E1,-4.435632547E1
