"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.452759167E-1,NaN
2.493533748E-1,-7.133529535E1
3.545859165E-1,-6.543740788E1
4.602137916E-1,-6.436290658E1
5.666938333E-1,-6.197816888E1
6.734534998E-1,-6.475772364E1
7.768017498E-1,-6.573095565E1
8.819595831E-1,-6.865317553E1
9.839952916E-1,-6.875503538E1
1.090032833E0,-6.769983113E1
1.193501458E0,-4.448781542E1
1.299052167E0,-4.248550126E1
1.401065292E0,-5.063875048E1
1.507779917E0,-4.465591813E1
1.610151042E0,-3.697578260E1
1.716263292E0,-4.677683127E1
1.818210708E0,NaN
1.924020417E0,-4.627018778E1
2.026774667E0,-3.795948597E1
2.133199125E0,-4.315367858E1
2.235113083E0,-4.740545249E1
2.341802958E0,-5.598603007E1
2.445488417E0,-6.155646787E1
2.552000417E0,-6.438414694E1
2.658657208E0,-6.700798319E1
2.762133500E0,-6.771052893E1
2.866922500E0,-6.807900053E1
2.968929792E0,-4.526839701E1
3.075652958E0,-3.637595486E1
3.178747500E0,-4.114032736E1
3.283859500E0,-4.448924334E1
3.385875875E0,-4.649845044E1
3.492693375E0,-4.330614869E1
3.595502916E0,-3.931795562E1
3.701079125E0,-4.658031783E1
3.805620917E0,-4.076141117E1
3.910150583E0,-4.847980103E1
4.012122208E0,-5.564374270E1
4.118329042E0,-4.003061484E1
4.220410750E0,-4.068760353E1
4.326958667E0,-5.176398687E1
4.429576167E0,-5.674222796E1
4.535578208E0,-4.395860006E1
4.637841875E0,-4.090379093E1
4.743454917E0,-4.917715020E1
4.846260458E0,-5.242786811E1
4.952960958E0,-4.238756063E1
5.055235500E0,-4.555669333E1
5.161944916E0,-3.987300964E1
5.267794166E0,-4.081319557E1
5.372367500E0,-4.040681225E1
5.477211667E0,-4.532230613E1
5.579569833E0,-4.981283974E1
5.684392500E0,-4.515748873E1
5.789542875E0,-5.409322075E1
5.894849250E0,-4.583087522E1
6.001040250E0,-4.235609843E1
6.106618583E0,-5.276733240E1
6.212826208E0,-4.928558796E1
6.317745917E0,-5.526197775E1
6.423843958E0,-4.508242503E1
6.529539792E0,-4.716743434E1
6.634373417E0,-5.073903012E1
6.738897125E0,-5.114832206E1
6.843421875E0,-5.323986200E1
6.946196375E0,-6.333276901E1
7.051065750E0,-4.926113479E1
7.155996958E0,-4.552719540E1
7.258168250E0,-4.678090958E1
7.362926792E0,-4.970561533E1
7.467746417E0,-4.854445824E1
7.573179667E0,-5.666521998E1
7.679544042E0,-5.325034596E1
7.784440250E0,-3.973776328E1
7.890240833E0,-4.880889856E1
7.993796792E0,-5.162590146E1
8.096279250E0,-4.675649280E1
8.201068792E0,-4.682359798E1
8.306692041E0,-5.111480511E1
8.412885750E0,-5.337507995E1
8.517775083E0,-4.908287964E1
8.623795666E0,-4.813967219E1
8.729607125E0,-4.968611657E1
8.834396708E0,-4.477274801E1
8.940815833E0,-4.860318670E1
9.046290667E0,-4.785769701E1
9.152240125E0,-5.410558930E1
9.257781875E0,-5.601369814E1
9.362864333E0,-5.295750178E1
9.467714292E0,-6.273332156E1
9.574339500E0,-6.379989674E1
9.679602708E0,-6.380191842E1
9.784387917E0,-6.447402221E1
9.891127083E0,-6.780653722E1
9.996243167E0,-5.036740386E1
1.010102679E1,-4.723947811E1
1.020778250E1,-4.273873880E1
1.031292613E1,-4.231846414E1
1.041955329E1,-4.646481174E1
