"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.296138750E-1,NaN
3.310692501E-1,-7.085710410E1
4.349633334E-1,-6.699393382E1
5.418303334E-1,-6.440472715E1
6.483831666E-1,-6.620198444E1
7.551655418E-1,-6.647069453E1
8.614394583E-1,-6.565091518E1
9.669069585E-1,-6.752770243E1
1.070547625E0,-6.584451796E1
1.175151292E0,-6.894092888E1
1.280228333E0,-6.098274810E1
1.382448125E0,-4.791444938E1
1.489330167E0,-3.483762279E1
1.591812708E0,-3.360214956E1
1.697385917E0,-3.598197174E1
1.803925292E0,-4.130413773E1
1.908273958E0,-4.088155484E1
2.009034708E0,NaN
2.114259958E0,-4.849530607E1
2.216385708E0,-4.626480647E1
2.323080042E0,-5.516232452E1
2.425137500E0,-4.245719271E1
2.531252667E0,-4.744713508E1
2.633248750E0,-3.949660991E1
2.739465250E0,-3.728191116E1
2.841829042E0,-4.275197271E1
2.948216750E0,-4.458138999E1
3.050174292E0,-5.049088716E1
3.156822583E0,-4.882885737E1
3.261623458E0,-5.917802713E1
3.367015250E0,-6.382923254E1
3.473721167E0,-6.668016199E1
3.580540542E0,-6.886226140E1
3.683977708E0,-4.960491002E1
3.791029250E0,-4.203718080E1
3.897751833E0,-4.085246654E1
4.004028167E0,-4.080692486E1
4.108460458E0,-4.435442696E1
4.215004333E0,-4.695399895E1
4.318325958E0,-4.767007598E1
4.425165250E0,-4.440247464E1
4.531958625E0,-4.483158319E1
4.635466292E0,-4.692450843E1
4.741845458E0,-4.800716189E1
4.848584292E0,-4.520390803E1
4.952594958E0,-4.605016740E1
5.058507250E0,-4.581537289E1
5.164999708E0,-4.690601378E1
5.269681792E0,-4.841354862E1
5.375224292E0,-4.350644054E1
5.481794375E0,-4.291606217E1
5.586296458E0,-4.409736361E1
5.691678875E0,-5.040017811E1
5.798041917E0,-6.068646918E1
5.903513292E0,-6.299513166E1
6.008444042E0,-6.247837231E1
6.114975167E0,-6.447632629E1
