"Time (s)","Sound pressure level (dB)"
0.000000000E0,-7.118384902E1
1.418180000E-1,NaN
2.465928334E-1,-7.308206277E1
3.508639168E-1,-6.599774466E1
4.575792085E-1,-6.662677854E1
5.638650835E-1,-6.578159934E1
6.684035000E-1,-6.630652678E1
7.702260835E-1,-6.594584134E1
8.756122501E-1,-6.475394937E1
9.812680418E-1,-6.431172560E1
1.085072375E0,-6.666956680E1
1.186802208E0,-6.650738455E1
1.293515083E0,-4.735190201E1
1.398529417E0,-4.283784937E1
1.501773958E0,-4.402341896E1
1.608220792E0,-5.696987884E1
1.714984458E0,-4.494807581E1
1.817413084E0,-4.724827584E1
1.924100959E0,-4.734086444E1
2.030773750E0,-4.786555336E1
2.134148917E0,-4.853111498E1
2.236391708E0,-5.746628535E1
2.341833083E0,-5.045438151E1
2.448442375E0,-5.548347988E1
2.551236958E0,-4.727864167E1
2.652968084E0,-5.127354460E1
2.759689500E0,-5.494439650E1
2.866152042E0,-5.226386184E1
2.968248292E0,-5.220149650E1
3.074980458E0,-6.219265514E1
3.181777208E0,-6.442410181E1
3.284339583E0,-6.708726359E1
3.386297292E0,-6.441837695E1
3.492967375E0,-6.475661910E1
3.597318042E0,-4.632670149E1
3.701860792E0,-4.557060217E1
3.808695334E0,-3.879331859E1
3.915464083E0,-3.827571984E1
4.019773833E0,-4.080530317E1
4.124039125E0,-4.147140728E1
4.230813875E0,-4.062431499E1
4.336451417E0,-5.070515552E1
4.441844292E0,-4.774233279E1
4.548886125E0,-5.638418911E1
4.653837333E0,-4.045772332E1
4.756485458E0,-5.099563290E1
4.863267625E0,-5.062469697E1
4.968867500E0,-4.179623785E1
5.075666667E0,-4.423421492E1
5.182438250E0,-5.966254387E1
5.287135667E0,-6.367442231E1
5.391490208E0,-4.770600808E1
5.498288709E0,-4.729306104E1
5.604848042E0,-5.308201941E1
5.708126750E0,-4.056892176E1
5.814881292E0,-4.731446126E1
5.920024334E0,-5.890675363E1
6.024616875E0,-6.386594551E1
6.126181333E0,-5.062357692E1
6.232770833E0,-4.185701015E1
6.337119917E0,-4.556090335E1
6.441359125E0,-4.621930320E1
6.548081125E0,-5.535272227E1
6.654153667E0,-5.764612805E1
6.757969417E0,-6.331910429E1
6.860638167E0,-4.797353165E1
6.967301000E0,-4.805107112E1
7.073407583E0,-4.983430113E1
7.180066917E0,-4.419428953E1
7.284378792E0,-5.745667544E1
7.390283333E0,-6.243376220E1
7.497018208E0,-6.283021042E1
7.603746917E0,-6.472425877E1
7.708071917E0,-6.281375342E1
7.814733042E0,-4.372332366E1
7.920428292E0,-4.322994461E1
8.024608167E0,-4.780171952E1
8.128578709E0,-5.846779885E1
8.234336375E0,-4.417043675E1
8.340619125E0,-4.506799861E1
8.442554125E0,-4.991996973E1
8.549295000E0,-5.619849669E1
8.655380958E0,-4.386570121E1
8.757630458E0,-5.216439738E1
8.864389625E0,-6.161280054E1
8.970443042E0,-4.607830439E1
9.074659583E0,-4.102905650E1
9.181419417E0,-4.984611873E1
9.287126833E0,-4.297935356E1
9.391404208E0,-4.626799004E1
9.494248208E0,-5.028529228E1
9.601021583E0,-4.747729527E1
9.706013375E0,-5.372511581E1
9.808066958E0,-4.452326051E1
9.911610708E0,-5.572677051E1
1.001827196E1,-4.645024600E1
1.012466092E1,-4.559025142E1
1.023109550E1,-4.960616701E1
