"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
2.702395418E-1,NaN
3.753023751E-1,-6.999688063E1
4.807000002E-1,-6.549762008E1
5.837827085E-1,-6.085308160E1
6.894504584E-1,-5.697449267E1
7.953333333E-1,-6.229717700E1
8.996547083E-1,-6.356621088E1
1.005200417E0,-6.286360346E1
1.112031125E0,-6.433620927E1
1.214044667E0,-6.427626433E1
1.320776833E0,-6.505753319E1
1.425564042E0,-6.540883740E1
1.531834375E0,-6.362836690E1
1.638554792E0,-6.586971455E1
1.745217792E0,-6.622377151E1
1.847110000E0,-6.403720867E1
1.953804125E0,-6.495853644E1
2.058799667E0,-6.408601983E1
2.163826417E0,-6.333159218E1
2.270495792E0,-4.007126152E1
2.375045458E0,-5.073322969E1
2.480438000E0,-4.890995015E1
2.585959458E0,-3.598824375E1
2.691819042E0,-3.577207035E1
2.796959333E0,-3.754357473E1
2.902963458E0,-4.344530011E1
3.008826833E0,-5.156461182E1
3.113640792E0,-5.434834330E1
3.220319375E0,-6.197577817E1
3.325244125E0,-4.087057249E1
3.431743333E0,-3.791833768E1
3.538634000E0,-3.827684425E1
3.644987000E0,-3.656474015E1
3.751960750E0,-3.645692577E1
3.858872583E0,-4.017507779E1
3.963425417E0,-3.635491166E1
4.070243958E0,-3.745282746E1
4.175580792E0,-3.836185181E1
4.280022208E0,-3.920446067E1
4.386817083E0,-4.303135311E1
4.492184875E0,-4.078601296E1
4.596594500E0,-4.049881860E1
4.703337125E0,-5.532225887E1
4.808916125E0,-3.933839379E1
4.913136458E0,-4.847768965E1
5.019836500E0,-4.169080860E1
5.125515542E0,-4.134337528E1
5.231831042E0,-3.773727706E1
5.338684833E0,-3.926839355E1
5.444337209E0,-5.339492262E1
5.546207417E0,-5.964882196E1
5.653009709E0,-4.056169381E1
5.758804000E0,-4.111951345E1
5.862646625E0,-4.727363917E1
5.969379875E0,-5.182175648E1
6.074760250E0,-3.721904457E1
6.177995542E0,-3.571664287E1
6.280087792E0,-4.836904494E1
6.386751208E0,-4.078726449E1
6.492196333E0,-5.235986281E1
6.598806417E0,-4.413887612E1
6.705524625E0,-4.106361241E1
6.810083250E0,-4.375754429E1
6.912045583E0,-5.642667255E1
7.016633167E0,-6.532787057E1
7.123326083E0,-4.681960575E1
7.228520167E0,-4.490047152E1
7.331843958E0,-4.250971162E1
7.438554208E0,-3.951013015E1
7.545065167E0,-4.624751603E1
7.651722250E0,-4.293546185E1
7.758423833E0,-4.174512468E1
7.864561292E0,-4.414510511E1
7.971156125E0,-5.729983798E1
8.076007625E0,-6.379252182E1
8.178411208E0,-6.405752270E1
8.281479208E0,-5.614851525E1
8.388194667E0,-4.786715501E1
8.493720167E0,-4.372057862E1
8.600399125E0,-3.380902703E1
8.707058083E0,-3.854060405E1
8.812258167E0,-4.854848972E1
8.919127833E0,-4.157351381E1
9.025507250E0,-4.207952771E1
9.131821625E0,-5.081391921E1
9.235251708E0,-4.553860744E1
9.342062792E0,-3.838280106E1
9.446137250E0,-4.735242063E1
9.549918334E0,-4.067834469E1
9.656585375E0,-4.228512715E1
9.761176875E0,-4.307302088E1
9.863157458E0,-5.134395117E1
9.965691542E0,-4.413217883E1
1.007239671E1,-4.587947617E1
1.017795312E1,-4.727945057E1
1.028350883E1,-4.775083723E1
1.038937342E1,-3.622000958E1
1.049482979E1,-3.554791264E1
1.059691029E1,-3.790661107E1
1.070367679E1,-4.780120229E1
1.080887892E1,-4.001022944E1
1.091396396E1,-3.925568747E1
1.102080275E1,-4.557552233E1
1.112550708E1,-5.217444357E1
1.123180012E1,-5.207938012E1
1.133848875E1,-5.504410456E1
1.144216375E1,-5.796389755E1
1.154551692E1,-6.090354080E1
1.164743158E1,-6.191230792E1
1.175245788E1,NaN
1.185828117E1,-6.828360627E1
1.196223879E1,-3.986058628E1
1.206436750E1,-3.365667977E1
1.216991317E1,-4.278069761E1
1.227553387E1,-5.118933989E1
1.237933604E1,-5.809923978E1
1.248609883E1,-6.219499257E1
1.259215221E1,-6.288817848E1
1.269619492E1,-6.295844143E1
1.279819292E1,-6.522969700E1
1.290487008E1,-6.581306819E1
1.301149738E1,-6.536469935E1
1.311498771E1,-6.652970247E1
1.322167996E1,-6.624200214E1
1.332496183E1,-5.149995175E1
1.342993171E1,-3.643664837E1
1.353182146E1,-3.614482331E1
1.363853496E1,-4.342042395E1
1.374516146E1,-3.842610924E1
1.384861792E1,-4.126802473E1
1.395501400E1,-3.918322137E1
1.406055767E1,-3.791917901E1
1.416548467E1,-4.039822572E1
1.426756804E1,-3.731035390E1
1.437429413E1,-3.836206765E1
1.448055838E1,-3.614722258E1
1.458262133E1,-4.179609372E1
1.468929313E1,-3.705642052E1
1.479588921E1,-3.925863662E1
1.489947621E1,-5.144912448E1
1.500621379E1,-4.201522800E1
1.511285025E1,-4.825263138E1
1.521585358E1,-4.433766543E1
1.531858913E1,-5.240941316E1
1.542484704E1,-3.645529021E1
1.552773029E1,-3.614797274E1
1.563307217E1,-3.985428208E1
