"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,2.020323882E-7
2.083767452E-2,1.909471326E-7
4.167534903E-2,1.912755661E-7
6.251302355E-2,1.916272400E-7
8.335069806E-2,1.887829308E-7
1.041883726E-1,1.879508012E-7
1.250260471E-1,1.853922499E-7
1.458637216E-1,1.832960578E-7
1.667013961E-1,1.836818051E-7
1.875390706E-1,1.798881336E-7
2.083767452E-1,1.771389147E-7
2.292144197E-1,1.775224511E-7
2.500520942E-1,1.739917919E-7
2.708897687E-1,1.725973999E-7
2.917274432E-1,1.711397663E-7
3.125651177E-1,1.677828710E-7
3.334027922E-1,1.664536641E-7
3.542404668E-1,1.640640668E-7
3.750781413E-1,1.614742349E-7
3.959158158E-1,1.609319955E-7
4.167534903E-1,1.585126609E-7
4.375911648E-1,1.563316242E-7
4.584288393E-1,1.550786581E-7
4.792665139E-1,1.523822705E-7
5.001041884E-1,1.511240528E-7
5.209418629E-1,1.497886568E-7
5.417795374E-1,1.476341363E-7
5.626172119E-1,1.466235003E-7
5.834548864E-1,1.445115206E-7
6.042925610E-1,1.431052973E-7
6.251302355E-1,1.415073387E-7
6.459679100E-1,1.398341105E-7
6.668055845E-1,1.383609773E-7
6.876432590E-1,1.371597654E-7
7.084809335E-1,1.349479767E-7
7.293186080E-1,1.340160481E-7
7.501562826E-1,1.321307061E-7
7.709939571E-1,1.305609444E-7
7.918316316E-1,1.295357833E-7
8.126693061E-1,1.275479618E-7
8.335069806E-1,1.261869696E-7
8.543446551E-1,1.249056412E-7
8.751823297E-1,1.226075012E-7
8.960200042E-1,1.219030182E-7
9.168576787E-1,1.199951175E-7
9.376953532E-1,1.187027911E-7
9.585330277E-1,1.173125573E-7
9.793707022E-1,1.153348857E-7
1.000208377E0,1.140423307E-7
1.021046051E0,1.126814064E-7
1.041883726E0,1.101111503E-7
1.062721400E0,1.090712285E-7
1.083559075E0,1.072927544E-7
1.104396749E0,1.050836746E-7
1.125234424E0,1.038257873E-7
1.146072098E0,1.012073836E-7
1.166909773E0,9.965288970E-8
1.187747447E0,9.814349158E-8
1.208585122E0,9.512059777E-8
1.229422796E0,9.384258491E-8
1.250260471E0,9.136431642E-8
1.271098145E0,8.900154018E-8
1.291935820E0,8.720151354E-8
1.312773494E0,8.422521969E-8
1.333611169E0,8.226020696E-8
1.354448844E0,7.975937006E-8
1.375286518E0,7.686795007E-8
1.396124193E0,7.485330558E-8
1.416961867E0,7.253235469E-8
1.437799542E0,6.958658808E-8
1.458637216E0,6.795799789E-8
1.479474891E0,6.505295077E-8
1.500312565E0,6.257924338E-8
1.521150240E0,6.077692515E-8
1.541987914E0,5.791541559E-8
1.562825589E0,5.625759956E-8
1.583663263E0,5.375805242E-8
1.604500938E0,5.132942073E-8
1.625338612E0,5.017544748E-8
1.646176287E0,4.728400267E-8
1.667013961E0,4.506555496E-8
1.687851636E0,4.332889962E-8
1.708689310E0,4.091759217E-8
1.729526985E0,3.932700594E-8
1.750364659E0,3.720866714E-8
1.771202334E0,3.433133518E-8
1.792040008E0,3.344779633E-8
1.812877683E0,3.083007726E-8
