"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,2.434628550E-7
2.083767452E-2,2.341671760E-7
4.167534903E-2,2.272652246E-7
6.251302355E-2,2.179980163E-7
8.335069806E-2,2.059156931E-7
1.041883726E-1,1.925790568E-7
1.250260471E-1,1.795525427E-7
1.458637216E-1,1.672655733E-7
1.667013961E-1,1.564548073E-7
1.875390706E-1,1.470750986E-7
2.083767452E-1,1.401831017E-7
2.292144197E-1,1.373279767E-7
2.500520942E-1,1.365231753E-7
2.708897687E-1,1.372651187E-7
2.917274432E-1,1.400595510E-7
3.125651177E-1,1.445077866E-7
3.334027922E-1,1.497048477E-7
3.542404668E-1,1.562499530E-7
3.750781413E-1,1.621258880E-7
3.959158158E-1,1.666428476E-7
4.167534903E-1,1.707215595E-7
4.375911648E-1,1.726489647E-7
4.584288393E-1,1.727498120E-7
4.792665139E-1,1.713729068E-7
5.001041884E-1,1.684488757E-7
5.209418629E-1,1.635043565E-7
5.417795374E-1,1.581482883E-7
5.626172119E-1,1.514348458E-7
5.834548864E-1,1.443875915E-7
6.042925610E-1,1.370502365E-7
6.251302355E-1,1.296527934E-7
6.459679100E-1,1.234600965E-7
6.668055845E-1,1.183338307E-7
6.876432590E-1,1.146050355E-7
7.084809335E-1,1.129692720E-7
7.293186080E-1,1.127080130E-7
7.501562826E-1,1.128309811E-7
7.709939571E-1,1.141866393E-7
7.918316316E-1,1.167718529E-7
8.126693061E-1,1.187415743E-7
8.335069806E-1,1.204933799E-7
8.543446551E-1,1.217719433E-7
8.751823297E-1,1.219958192E-7
8.960200042E-1,1.211169640E-7
9.168576787E-1,1.196261915E-7
9.376953532E-1,1.169051720E-7
9.585330277E-1,1.138346924E-7
9.793707022E-1,1.094749798E-7
1.000208377E0,1.049660513E-7
1.021046051E0,1.005487294E-7
1.041883726E0,9.594877300E-8
1.062721400E0,9.218877612E-8
1.083559075E0,8.927495788E-8
1.104396749E0,8.649548054E-8
1.125234424E0,8.452056526E-8
1.146072098E0,8.302804542E-8
1.166909773E0,8.174868436E-8
1.187747447E0,8.097636739E-8
1.208585122E0,8.019979671E-8
1.229422796E0,7.903139329E-8
1.250260471E0,7.794325079E-8
1.271098145E0,7.623049196E-8
1.291935820E0,7.472595820E-8
1.312773494E0,7.251595674E-8
1.333611169E0,7.015399673E-8
1.354448844E0,6.750190617E-8
1.375286518E0,6.471865625E-8
1.396124193E0,6.112589025E-8
1.416961867E0,5.813562709E-8
1.437799542E0,5.505590862E-8
1.458637216E0,5.231433830E-8
1.479474891E0,4.965392883E-8
1.500312565E0,4.811124173E-8
1.521150240E0,4.679644735E-8
1.541987914E0,4.650602433E-8
1.562825589E0,4.649477661E-8
1.583663263E0,4.716683573E-8
1.604500938E0,4.796123930E-8
1.625338612E0,4.870154371E-8
1.646176287E0,4.941118998E-8
1.667013961E0,5.016908428E-8
1.687851636E0,4.968987819E-8
1.708689310E0,4.862340806E-8
1.729526985E0,4.681924629E-8
1.750364659E0,4.381916159E-8
1.771202334E0,3.966624322E-8
1.792040008E0,3.532703696E-8
1.812877683E0,2.964700316E-8
1.833715357E0,2.371710180E-8
1.854553032E0,1.750139168E-8
1.875390706E0,1.151280798E-8
1.896228381E0,6.184424911E-9
1.917066055E0,1.731096825E-9
1.937903730E0,-2.032606078E-9
1.958741404E0,-4.581212554E-9
1.979579079E0,-6.180973159E-9
2.000416753E0,-6.554301410E-9
2.021254428E0,-6.244000021E-9
2.042092103E0,-4.851117077E-9
2.062929777E0,-3.563631243E-9
2.083767452E0,-1.650620648E-9
2.104605126E0,5.628763805E-11
2.125442801E0,1.624164720E-9
2.146280475E0,2.737259558E-9
2.167118150E0,3.502177459E-9
2.187955824E0,3.214104297E-9
2.208793499E0,2.245967521E-9
2.229631173E0,4.435341901E-10
2.250468848E0,-2.183606062E-9
2.271306522E0,-5.774358790E-9
2.292144197E0,-9.983817715E-9
2.312981871E0,-1.482687784E-8
2.333819546E0,-2.025606734E-8
2.354657220E0,-2.600271704E-8
2.375494895E0,-3.122454696E-8
2.396332569E0,-3.631124343E-8
2.417170244E0,-4.062984206E-8
2.438007918E0,-4.436539937E-8
2.458845593E0,-4.645115555E-8
