"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,2.127290160E-7
2.083767452E-2,1.424085174E-7
4.167534903E-2,6.561146186E-8
6.251302355E-2,3.454028280E-8
8.335069806E-2,2.990718356E-8
1.041883726E-1,8.393420883E-8
1.250260471E-1,1.254802726E-7
1.458637216E-1,1.237874016E-7
1.667013961E-1,1.075619269E-7
1.875390706E-1,5.787729508E-8
2.083767452E-1,2.741568677E-8
2.292144197E-1,4.615346085E-8
2.500520942E-1,6.748937575E-8
2.708897687E-1,1.016715536E-7
2.917274432E-1,1.157698565E-7
3.125651177E-1,8.075277135E-8
3.334027922E-1,5.799780186E-8
3.542404668E-1,4.790051167E-8
3.750781413E-1,4.391413804E-8
3.959158158E-1,6.616461529E-8
4.167534903E-1,8.113514710E-8
4.375911648E-1,8.298846113E-8
4.584288393E-1,7.293846298E-8
4.792665139E-1,4.718590568E-8
5.001041884E-1,4.049186194E-8
5.209418629E-1,5.076497949E-8
5.417795374E-1,6.082449397E-8
5.626172119E-1,7.220667044E-8
5.834548864E-1,6.655404424E-8
6.042925610E-1,5.256731295E-8
6.251302355E-1,4.249310562E-8
6.459679100E-1,3.402735151E-8
6.668055845E-1,4.256269176E-8
6.876432590E-1,5.564862405E-8
7.084809335E-1,5.916165101E-8
7.293186080E-1,5.459563429E-8
7.501562826E-1,3.402044732E-8
7.709939571E-1,2.376348838E-8
7.918316316E-1,3.490210556E-8
8.126693061E-1,4.475786453E-8
8.335069806E-1,5.286351285E-8
8.543446551E-1,4.687396029E-8
8.751823297E-1,2.963183438E-8
8.960200042E-1,2.750113140E-8
9.168576787E-1,3.080844842E-8
9.376953532E-1,3.767243883E-8
9.585330277E-1,5.035430387E-8
9.793707022E-1,4.686945028E-8
1.000208377E0,3.575439869E-8
1.021046051E0,2.810473167E-8
1.041883726E0,1.975403805E-8
1.062721400E0,2.751039421E-8
1.083559075E0,3.840822943E-8
1.104396749E0,4.022638622E-8
1.125234424E0,4.212596103E-8
1.146072098E0,3.101804673E-8
1.166909773E0,1.803102540E-8
1.187747447E0,2.024934440E-8
1.208585122E0,2.252653662E-8
1.229422796E0,2.877611924E-8
1.250260471E0,3.752110031E-8
1.271098145E0,3.423411293E-8
1.291935820E0,2.886097502E-8
1.312773494E0,1.744563592E-8
1.333611169E0,5.292374251E-9
1.354448844E0,1.083009157E-8
1.375286518E0,2.025793821E-8
1.396124193E0,2.826612223E-8
1.416961867E0,3.161576410E-8
1.437799542E0,2.231611098E-8
1.458637216E0,1.377412305E-8
1.479474891E0,9.594454047E-9
1.500312565E0,8.061613301E-9
1.521150240E0,1.302275429E-8
1.541987914E0,1.827232820E-8
1.562825589E0,1.857205043E-8
1.583663263E0,1.648740621E-8
1.604500938E0,9.146995611E-9
1.625338612E0,4.385223660E-9
1.646176287E0,4.386744353E-9
1.667013961E0,5.523216421E-9
1.687851636E0,8.413085407E-9
1.708689310E0,9.514571449E-9
1.729526985E0,8.230467001E-9
1.750364659E0,8.773311429E-9
1.771202334E0,5.580627084E-9
1.792040008E0,8.542721283E-10
1.812877683E0,-1.271997329E-9
