"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,7.883520603E-5
2.083767452E-2,7.880178392E-5
4.167534903E-2,7.873110468E-5
6.251302355E-2,7.861095861E-5
8.335069806E-2,7.843999681E-5
1.041883726E-1,7.821586550E-5
1.250260471E-1,7.794345688E-5
1.458637216E-1,7.762600221E-5
1.667013961E-1,7.726154438E-5
1.875390706E-1,7.684613310E-5
2.083767452E-1,7.638537844E-5
2.292144197E-1,7.588149815E-5
2.500520942E-1,7.533161989E-5
2.708897687E-1,7.473820023E-5
2.917274432E-1,7.410177095E-5
3.125651177E-1,7.342626277E-5
3.334027922E-1,7.271074186E-5
3.542404668E-1,7.195870571E-5
3.750781413E-1,7.116926319E-5
3.959158158E-1,7.034572828E-5
4.167534903E-1,6.948959951E-5
4.375911648E-1,6.860167998E-5
4.584288393E-1,6.768388487E-5
4.792665139E-1,6.673789704E-5
5.001041884E-1,6.576596507E-5
5.209418629E-1,6.477100277E-5
5.417795374E-1,6.375235619E-5
5.626172119E-1,6.271353124E-5
5.834548864E-1,6.165669326E-5
6.042925610E-1,6.058385521E-5
6.251302355E-1,5.949576575E-5
6.459679100E-1,5.839533013E-5
6.668055845E-1,5.728487494E-5
6.876432590E-1,5.616515739E-5
7.084809335E-1,5.503845891E-5
7.293186080E-1,5.390697627E-5
7.501562826E-1,5.277283341E-5
7.709939571E-1,5.163784809E-5
7.918316316E-1,5.050271739E-5
8.126693061E-1,4.937132925E-5
8.335069806E-1,4.824318849E-5
8.543446551E-1,4.712097154E-5
8.751823297E-1,4.600616311E-5
8.960200042E-1,4.490053769E-5
9.168576787E-1,4.380579769E-5
9.376953532E-1,4.272245685E-5
9.585330277E-1,4.165318137E-5
9.793707022E-1,4.059701136E-5
1.000208377E0,3.955712086E-5
1.021046051E0,3.853325080E-5
1.041883726E0,3.752673555E-5
1.062721400E0,3.653883253E-5
1.083559075E0,3.557032694E-5
1.104396749E0,3.462048667E-5
1.125234424E0,3.369247680E-5
1.146072098E0,3.278569266E-5
1.166909773E0,3.190119562E-5
1.187747447E0,3.103764452E-5
1.208585122E0,3.019662359E-5
1.229422796E0,2.937878925E-5
1.250260471E0,2.858233206E-5
1.271098145E0,2.780762812E-5
1.291935820E0,2.705572219E-5
1.312773494E0,2.632552456E-5
1.333611169E0,2.561752449E-5
1.354448844E0,2.493006261E-5
1.375286518E0,2.426365300E-5
1.396124193E0,2.361837335E-5
1.416961867E0,2.299140807E-5
1.437799542E0,2.238358452E-5
1.458637216E0,2.179333889E-5
1.479474891E0,2.121965490E-5
1.500312565E0,2.066185698E-5
1.521150240E0,2.011860147E-5
1.541987914E0,1.958887149E-5
1.562825589E0,1.907168853E-5
1.583663263E0,1.856643501E-5
1.604500938E0,1.807101627E-5
1.625338612E0,1.758417590E-5
1.646176287E0,1.710508034E-5
1.667013961E0,1.663092378E-5
1.687851636E0,1.616068113E-5
1.708689310E0,1.569397609E-5
1.729526985E0,1.522818099E-5
1.750364659E0,1.476173533E-5
1.771202334E0,1.429378165E-5
1.792040008E0,1.382254207E-5
1.812877683E0,1.334588964E-5
1.833715357E0,1.286427215E-5
1.854553032E0,1.237433379E-5
1.875390706E0,1.187564077E-5
1.896228381E0,1.136598312E-5
1.917066055E0,1.084496099E-5
1.937903730E0,1.031025810E-5
1.958741404E0,9.760557434E-6
1.979579079E0,9.194595242E-6
2.000416753E0,8.611356583E-6
2.021254428E0,8.009674945E-6
2.042092103E0,7.387867450E-6
2.062929777E0,6.745145845E-6
2.083767452E0,6.081219168E-6
2.104605126E0,5.395499905E-6
2.125442801E0,4.685153212E-6
2.146280475E0,3.950830969E-6
2.167118150E0,3.191998254E-6
2.187955824E0,2.407383559E-6
2.208793499E0,1.597277936E-6
2.229631173E0,7.597218755E-7
2.250468848E0,-1.049363543E-7
2.271306522E0,-9.965169416E-7
2.292144197E0,-1.914384189E-6
2.312981871E0,-2.860968925E-6
2.333819546E0,-3.834021414E-6
2.354657220E0,-4.833642451E-6
2.375494895E0,-5.859379210E-6
2.396332569E0,-6.912499785E-6
2.417170244E0,-7.991201422E-6
2.438007918E0,-9.094995369E-6
2.458845593E0,-1.022348336E-5
2.479683267E0,-1.137736545E-5
2.500520942E0,-1.255414075E-5
2.521358616E0,-1.375291211E-5
2.542196291E0,-1.497351787E-5
2.563033965E0,-1.621462551E-5
2.583871640E0,-1.747433934E-5
2.604709314E0,-1.875147741E-5
2.625546989E0,-2.004489582E-5
2.646384663E0,-2.135466760E-5
2.667222338E0,-2.267705085E-5
2.688060013E0,-2.401244247E-5
2.708897687E0,-2.535802135E-5
2.729735362E0,-2.671423805E-5
2.750573036E0,-2.807658964E-5
2.771410711E0,-2.944470609E-5
2.792248385E0,-3.081718436E-5
2.813086060E0,-3.219191744E-5
