"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,8.610310033E-8
2.083767452E-2,7.693706440E-8
4.167534903E-2,7.805581818E-8
6.251302355E-2,7.744441312E-8
8.335069806E-2,7.647972048E-8
1.041883726E-1,7.541440388E-8
1.250260471E-1,7.358089425E-8
1.458637216E-1,7.298611603E-8
1.667013961E-1,7.278309243E-8
1.875390706E-1,7.141811493E-8
2.083767452E-1,6.956979632E-8
2.292144197E-1,6.923894247E-8
2.500520942E-1,6.833005581E-8
2.708897687E-1,6.731903849E-8
2.917274432E-1,6.613947025E-8
3.125651177E-1,6.492671050E-8
3.334027922E-1,6.352655627E-8
3.542404668E-1,6.297944780E-8
3.750781413E-1,6.161452536E-8
3.959158158E-1,6.111412368E-8
4.167534903E-1,5.996022296E-8
4.375911648E-1,5.951655986E-8
4.584288393E-1,5.832851064E-8
4.792665139E-1,5.792779624E-8
5.001041884E-1,5.621222040E-8
5.209418629E-1,5.634179758E-8
5.417795374E-1,5.517159614E-8
5.626172119E-1,5.475466491E-8
5.834548864E-1,5.366365766E-8
6.042925610E-1,5.320368092E-8
6.251302355E-1,5.224153431E-8
6.459679100E-1,5.175646033E-8
6.668055845E-1,5.098971563E-8
6.876432590E-1,5.007162925E-8
7.084809335E-1,4.934407286E-8
7.293186080E-1,4.885407460E-8
7.501562826E-1,4.785148682E-8
7.709939571E-1,4.720552088E-8
7.918316316E-1,4.645954099E-8
8.126693061E-1,4.587815110E-8
8.335069806E-1,4.499696759E-8
8.543446551E-1,4.401130288E-8
8.751823297E-1,4.347287723E-8
8.960200042E-1,4.224077459E-8
9.168576787E-1,4.179907306E-8
9.376953532E-1,4.078566119E-8
9.585330277E-1,3.971990870E-8
9.793707022E-1,3.880105776E-8
1.000208377E0,3.793610806E-8
1.021046051E0,3.688025634E-8
1.041883726E0,3.613041420E-8
1.062721400E0,3.476388506E-8
1.083559075E0,3.414077915E-8
1.104396749E0,3.318054935E-8
1.125234424E0,3.209569932E-8
1.146072098E0,3.068850182E-8
1.166909773E0,2.986789189E-8
1.187747447E0,2.854386859E-8
1.208585122E0,2.755375382E-8
1.229422796E0,2.628800877E-8
1.250260471E0,2.511938099E-8
1.271098145E0,2.423679056E-8
1.291935820E0,2.275587839E-8
1.312773494E0,2.191311383E-8
