"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.641627188E-5
2.083767452E-2,1.299409066E-5
4.167534903E-2,1.576442365E-5
6.251302355E-2,1.392819800E-5
8.335069806E-2,1.425012788E-5
1.041883726E-1,1.513679804E-5
1.250260471E-1,1.275338738E-5
1.458637216E-1,1.571171962E-5
1.667013961E-1,1.209854997E-5
1.875390706E-1,1.511046481E-5
2.083767452E-1,1.249926822E-5
2.292144197E-1,1.350483231E-5
2.500520942E-1,1.346085002E-5
2.708897687E-1,1.167827108E-5
2.917274432E-1,1.408818781E-5
3.125651177E-1,1.052677293E-5
3.334027922E-1,1.368134802E-5
3.542404668E-1,1.049555640E-5
3.750781413E-1,1.218992460E-5
3.959158158E-1,1.128443903E-5
4.167534903E-1,1.025071278E-5
4.375911648E-1,1.204683406E-5
4.584288393E-1,8.790421055E-6
4.792665139E-1,1.195380053E-5
5.001041884E-1,8.422798880E-6
5.209418629E-1,1.073447939E-5
5.417795374E-1,9.053909763E-6
5.626172119E-1,8.854607037E-6
5.834548864E-1,9.949784531E-6
6.042925610E-1,7.215020989E-6
6.251302355E-1,1.022021561E-5
6.459679100E-1,6.567873490E-6
6.668055845E-1,9.385387424E-6
6.876432590E-1,7.034540809E-6
7.084809335E-1,7.694010067E-6
7.293186080E-1,8.031504633E-6
7.501562826E-1,5.964530314E-6
7.709939571E-1,8.639830446E-6
7.918316316E-1,5.055815631E-6
8.126693061E-1,8.203614268E-6
8.335069806E-1,5.303380792E-6
8.543446551E-1,6.755912001E-6
8.751823297E-1,6.298863021E-6
8.960200042E-1,4.994036700E-6
9.168576787E-1,7.152296736E-6
9.376953532E-1,3.820490268E-6
9.585330277E-1,7.074792526E-6
9.793707022E-1,3.760314337E-6
1.000208377E0,5.884951895E-6
1.021046051E0,4.618996341E-6
1.041883726E0,4.117372397E-6
1.062721400E0,5.598686546E-6
1.083559075E0,2.674592687E-6
1.104396749E0,5.819197342E-6
1.125234424E0,2.240788214E-6
1.146072098E0,4.880415870E-6
1.166909773E0,2.840192067E-6
1.187747447E0,3.128021134E-6
1.208585122E0,3.811829059E-6
1.229422796E0,1.422616939E-6
1.250260471E0,4.242863192E-6
1.271098145E0,5.803403283E-7
1.291935820E0,3.553883701E-6
1.312773494E0,8.387524137E-7
1.333611169E0,1.878649110E-6
1.354448844E0,1.710276252E-6
1.375286518E0,-2.286737265E-8
1.396124193E0,2.296640288E-6
1.416961867E0,-1.254231714E-6
1.437799542E0,1.875710044E-6
1.458637216E0,-1.366634954E-6
1.479474891E0,3.671338973E-7
1.500312565E0,-6.419670722E-7
1.521150240E0,-1.610476608E-6
1.541987914E0,8.557624784E-8
1.562825589E0,-3.138338290E-6
1.583663263E0,-2.227919168E-8
1.604500938E0,-3.591841416E-6
1.625338612E0,-1.259232141E-6
1.646176287E0,-3.040478413E-6
1.667013961E0,-3.184486473E-6
1.687851636E0,-2.201306522E-6
1.708689310E0,-4.901982222E-6
1.729526985E0,-1.967250819E-6
1.750364659E0,-5.645518870E-6
1.771202334E0,-2.831725101E-6
1.792040008E0,-5.267090672E-6
1.812877683E0,-4.561737523E-6
1.833715357E0,-4.333958618E-6
1.854553032E0,-6.348306261E-6
1.875390706E0,-3.755981233E-6
1.896228381E0,-7.327028563E-6
1.917066055E0,-4.192938856E-6
1.937903730E0,-7.142219831E-6
1.958741404E0,-5.631716316E-6
1.979579079E0,-6.173605319E-6
2.000416753E0,-7.388806034E-6
2.021254428E0,-5.294259320E-6
2.042092103E0,-8.560348301E-6
2.062929777E0,-5.297055533E-6
2.083767452E0,-8.599802535E-6
2.104605126E0,-6.384498480E-6
2.125442801E0,-7.678995289E-6
2.146280475E0,-8.039265690E-6
2.167118150E0,-6.571145541E-6
2.187955824E0,-9.357220869E-6
2.208793499E0,-6.157698917E-6
2.229631173E0,-9.634749535E-6
2.250468848E0,-6.847732438E-6
2.271306522E0,-8.826057876E-6
2.292144197E0,-8.320274042E-6
2.312981871E0,-7.573477439E-6
2.333819546E0,-9.728766860E-6
2.354657220E0,-6.789130546E-6
2.375494895E0,-1.025233438E-5
2.396332569E0,-7.070595420E-6
2.417170244E0,-9.633595145E-6
2.438007918E0,-8.309400614E-6
2.458845593E0,-8.344098875E-6
2.479683267E0,-9.767033313E-6
2.500520942E0,-7.281032924E-6
2.521358616E0,-1.055446258E-5
2.542196291E0,-7.186189904E-6
2.563033965E0,-1.021067781E-5
2.583871640E0,-8.167408190E-6
2.604709314E0,-9.003828832E-6
2.625546989E0,-9.631491587E-6
2.646384663E0,-7.757478789E-6
2.667222338E0,-1.066857040E-5
2.688060013E0,-7.320552932E-6
2.708897687E0,-1.064390163E-5
2.729735362E0,-8.012048827E-6
2.750573036E0,-9.607669723E-6
2.771410711E0,-9.415625332E-6
2.792248385E0,-8.264451738E-6
2.813086060E0,-1.065018372E-5
2.833923734E0,-7.513702063E-6
2.854761409E0,-1.094053409E-5
2.875599083E0,-7.864785213E-6
2.896436758E0,-1.012024903E-5
2.917274432E0,-9.108291411E-6
2.938112107E0,-8.737553254E-6
2.958949781E0,-1.044780637E-5
2.979787456E0,-7.692894652E-6
3.000625130E0,-1.101491371E-5
3.021462805E0,-7.658729492E-6
3.042300479E0,-1.043087907E-5
3.063138154E0,-8.640633310E-6
3.083975828E0,-9.051469048E-6
3.104813503E0,-9.971862037E-6
3.125651177E0,-7.734981075E-6
3.146488852E0,-1.074553276E-5
3.167326526E0,-7.284840444E-6
3.188164201E0,-1.039938055E-5
3.209001875E0,-7.925328794E-6
3.229839550E0,-9.083326814E-6
3.250677224E0,-9.155394445E-6
3.271514899E0,-7.558677200E-6
3.292352573E0,-1.007558971E-5
3.313190248E0,-6.704239235E-6
3.334027922E0,-9.972943948E-6
3.354865597E0,-6.946913559E-6
3.375703272E0,-8.777299404E-6
3.396540946E0,-7.985750041E-6
3.417378621E0,-7.112774873E-6
3.438216295E0,-8.985648151E-6
3.459053970E0,-5.887010379E-6
3.479891644E0,-9.118859951E-6
3.500729319E0,-5.708249577E-6
3.521566993E0,-8.100344106E-6
3.542404668E0,-6.488780240E-6
3.563242342E0,-6.383070052E-6
3.584080017E0,-7.504778822E-6
3.604917691E0,-4.856406021E-6
3.625755366E0,-7.866084547E-6
3.646593040E0,-4.276767977E-6
3.667430715E0,-7.099972290E-6
3.688268389E0,-4.775884815E-6
3.709106064E0,-5.457758233E-6
3.729943738E0,-5.779591194E-6
3.750781413E0,-3.753937942E-6
3.771619087E0,-6.385273388E-6
3.792456762E0,-2.840664536E-6
3.813294436E0,-5.951272080E-6
3.834132111E0,-3.062231802E-6
3.854969785E0,-4.510433572E-6
3.875807460E0,-4.028859272E-6
3.896645134E0,-2.753493248E-6
3.917482809E0,-4.872834392E-6
3.938320483E0,-1.583775339E-6
3.959158158E0,-4.814335482E-6
3.979995832E0,-1.533033541E-6
4.000833507E0,-3.666760676E-6
4.021671181E0,-2.413487581E-6
4.042508856E0,-1.961039197E-6
4.063346531E0,-3.444296829E-6
4.084184205E0,-6.008756102E-7
4.105021880E0,-3.759303704E-6
4.125859554E0,-2.720696396E-7
4.146697229E0,-2.963008742E-6
4.167534903E0,-1.001904881E-6
