"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.157518127E-6
2.083767452E-2,1.149460678E-6
4.167534903E-2,1.145425637E-6
6.251302355E-2,1.138926938E-6
8.335069806E-2,1.131473622E-6
1.041883726E-1,1.122205828E-6
1.250260471E-1,1.112891817E-6
1.458637216E-1,1.105993066E-6
1.667013961E-1,1.099336121E-6
1.875390706E-1,1.091927218E-6
2.083767452E-1,1.085045240E-6
2.292144197E-1,1.078988446E-6
2.500520942E-1,1.072492637E-6
2.708897687E-1,1.065701702E-6
2.917274432E-1,1.058664104E-6
3.125651177E-1,1.051692076E-6
3.334027922E-1,1.044379567E-6
3.542404668E-1,1.037202054E-6
3.750781413E-1,1.029436103E-6
3.959158158E-1,1.021818455E-6
4.167534903E-1,1.014051491E-6
4.375911648E-1,1.005884116E-6
4.584288393E-1,9.976622527E-7
4.792665139E-1,9.897032623E-7
5.001041884E-1,9.814521432E-7
5.209418629E-1,9.734776476E-7
5.417795374E-1,9.653657896E-7
5.626172119E-1,9.576561936E-7
5.834548864E-1,9.494447223E-7
6.042925610E-1,9.415298388E-7
6.251302355E-1,9.327047198E-7
6.459679100E-1,9.243236923E-7
6.668055845E-1,9.155606042E-7
6.876432590E-1,9.066318788E-7
7.084809335E-1,8.977433738E-7
7.293186080E-1,8.887600580E-7
7.501562826E-1,8.799082511E-7
7.709939571E-1,8.707455454E-7
7.918316316E-1,8.613429338E-7
8.126693061E-1,8.518575395E-7
8.335069806E-1,8.416373846E-7
8.543446551E-1,8.311420898E-7
8.751823297E-1,8.201369872E-7
8.960200042E-1,8.089678933E-7
9.168576787E-1,7.977089206E-7
9.376953532E-1,7.860299854E-7
9.585330277E-1,7.745414521E-7
9.793707022E-1,7.627431955E-7
1.000208377E0,7.508108189E-7
1.021046051E0,7.384480413E-7
1.041883726E0,7.259045777E-7
1.062721400E0,7.130865735E-7
1.083559075E0,7.000552504E-7
1.104396749E0,6.870225571E-7
1.125234424E0,6.734315829E-7
1.146072098E0,6.599960215E-7
1.166909773E0,6.460029519E-7
1.187747447E0,6.321015713E-7
1.208585122E0,6.179973398E-7
1.229422796E0,6.033823073E-7
1.250260471E0,5.885842747E-7
1.271098145E0,5.737090521E-7
1.291935820E0,5.589071590E-7
1.312773494E0,5.440396415E-7
1.333611169E0,5.290708646E-7
1.354448844E0,5.145086155E-7
1.375286518E0,5.003067232E-7
1.396124193E0,4.858440097E-7
1.416961867E0,4.712669360E-7
1.437799542E0,4.567248427E-7
1.458637216E0,4.418410881E-7
1.479474891E0,4.265977310E-7
1.500312565E0,4.108034724E-7
1.521150240E0,3.953020045E-7
1.541987914E0,3.793691074E-7
1.562825589E0,3.636441139E-7
1.583663263E0,3.478063979E-7
1.604500938E0,3.323488595E-7
1.625338612E0,3.167323150E-7
1.646176287E0,3.011389427E-7
1.667013961E0,2.858594013E-7
1.687851636E0,2.706325908E-7
1.708689310E0,2.558004378E-7
1.729526985E0,2.411082987E-7
1.750364659E0,2.268007447E-7
1.771202334E0,2.123693978E-7
1.792040008E0,1.982342030E-7
1.812877683E0,1.841898373E-7
1.833715357E0,1.702448575E-7
1.854553032E0,1.559930717E-7
1.875390706E0,1.420858148E-7
1.896228381E0,1.278575957E-7
1.917066055E0,1.138872202E-7
1.937903730E0,9.988973779E-8
1.958741404E0,8.563596171E-8
1.979579079E0,7.198381215E-8
2.000416753E0,5.800037037E-8
2.021254428E0,4.432881586E-8
2.042092103E0,3.071641292E-8
2.062929777E0,1.720618952E-8
2.083767452E0,3.676346325E-9
2.104605126E0,-9.919308835E-9
2.125442801E0,-2.298511251E-8
2.146280475E0,-3.643539330E-8
2.167118150E0,-4.947254533E-8
2.187955824E0,-6.240654709E-8
2.208793499E0,-7.492940497E-8
2.229631173E0,-8.732741693E-8
2.250468848E0,-9.999113461E-8
2.271306522E0,-1.120001262E-7
2.292144197E0,-1.238700725E-7
2.312981871E0,-1.360515502E-7
2.333819546E0,-1.478967266E-7
2.354657220E0,-1.597588797E-7
2.375494895E0,-1.714406658E-7
2.396332569E0,-1.833427264E-7
2.417170244E0,-1.951588046E-7
2.438007918E0,-2.066193722E-7
2.458845593E0,-2.174660092E-7
2.479683267E0,-2.283399618E-7
2.500520942E0,-2.388910064E-7
2.521358616E0,-2.489933399E-7
2.542196291E0,-2.585437472E-7
2.563033965E0,-2.680289419E-7
2.583871640E0,-2.774427078E-7
2.604709314E0,-2.867306139E-7
2.625546989E0,-2.957234110E-7
2.646384663E0,-3.053059950E-7
2.667222338E0,-3.145589838E-7
2.688060013E0,-3.243879671E-7
2.708897687E0,-3.337136189E-7
2.729735362E0,-3.434304355E-7
2.750573036E0,-3.527059047E-7
2.771410711E0,-3.621745268E-7
2.792248385E0,-3.712671736E-7
2.813086060E0,-3.803217941E-7
2.833923734E0,-3.886816058E-7
2.854761409E0,-3.971510577E-7
2.875599083E0,-4.050839678E-7
2.896436758E0,-4.127157688E-7
2.917274432E0,-4.200996279E-7
2.938112107E0,-4.273187429E-7
