"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,4.060028975E-7
2.083767452E-2,3.985319287E-7
4.167534903E-2,3.968643451E-7
6.251302355E-2,3.958045225E-7
8.335069806E-2,3.946735737E-7
1.041883726E-1,3.917653568E-7
1.250260471E-1,3.896563123E-7
1.458637216E-1,3.893276175E-7
1.667013961E-1,3.888784832E-7
1.875390706E-1,3.870894253E-7
2.083767452E-1,3.854981342E-7
2.292144197E-1,3.853308744E-7
2.500520942E-1,3.847064421E-7
2.708897687E-1,3.835951732E-7
2.917274432E-1,3.817848506E-7
3.125651177E-1,3.808252942E-7
3.334027922E-1,3.795955178E-7
3.542404668E-1,3.782297054E-7
3.750781413E-1,3.766847306E-7
3.959158158E-1,3.758415461E-7
4.167534903E-1,3.747996644E-7
4.375911648E-1,3.734985485E-7
4.584288393E-1,3.719475867E-7
4.792665139E-1,3.708311257E-7
5.001041884E-1,3.695747717E-7
5.209418629E-1,3.681979410E-7
5.417795374E-1,3.667928319E-7
5.626172119E-1,3.653369874E-7
5.834548864E-1,3.636318937E-7
6.042925610E-1,3.619346743E-7
6.251302355E-1,3.599932718E-7
6.459679100E-1,3.584795142E-7
6.668055845E-1,3.573628089E-7
6.876432590E-1,3.559281610E-7
7.084809335E-1,3.549556412E-7
7.293186080E-1,3.535398219E-7
7.501562826E-1,3.520760992E-7
7.709939571E-1,3.503145521E-7
7.918316316E-1,3.488291977E-7
8.126693061E-1,3.471262823E-7
8.335069806E-1,3.451483418E-7
8.543446551E-1,3.431560669E-7
8.751823297E-1,3.414080189E-7
8.960200042E-1,3.397896250E-7
9.168576787E-1,3.384695685E-7
9.376953532E-1,3.369221489E-7
9.585330277E-1,3.358242633E-7
9.793707022E-1,3.346651730E-7
1.000208377E0,3.331733996E-7
1.021046051E0,3.311879912E-7
1.041883726E0,3.293752670E-7
1.062721400E0,3.277298450E-7
1.083559075E0,3.259258287E-7
1.104396749E0,3.239493845E-7
1.125234424E0,3.220219506E-7
1.146072098E0,3.201386512E-7
1.166909773E0,3.185486390E-7
1.187747447E0,3.165365736E-7
1.208585122E0,3.145802224E-7
1.229422796E0,3.129530653E-7
1.250260471E0,3.114020460E-7
1.271098145E0,3.092773109E-7
1.291935820E0,3.070844539E-7
1.312773494E0,3.049999840E-7
1.333611169E0,3.028546564E-7
1.354448844E0,3.004531202E-7
1.375286518E0,2.982827115E-7
1.396124193E0,2.961495595E-7
1.416961867E0,2.943744941E-7
1.437799542E0,2.923012299E-7
1.458637216E0,2.904220171E-7
1.479474891E0,2.889049673E-7
1.500312565E0,2.872617994E-7
1.521150240E0,2.855340049E-7
1.541987914E0,2.839022375E-7
1.562825589E0,2.820005335E-7
1.583663263E0,2.800611579E-7
1.604500938E0,2.779929855E-7
1.625338612E0,2.759483938E-7
1.646176287E0,2.737360435E-7
1.667013961E0,2.715363704E-7
1.687851636E0,2.692657037E-7
1.708689310E0,2.674688161E-7
1.729526985E0,2.650308699E-7
1.750364659E0,2.632271878E-7
1.771202334E0,2.612137608E-7
1.792040008E0,2.589191345E-7
1.812877683E0,2.565081319E-7
1.833715357E0,2.544451543E-7
1.854553032E0,2.519963964E-7
1.875390706E0,2.501109287E-7
1.896228381E0,2.478227814E-7
1.917066055E0,2.458729182E-7
1.937903730E0,2.439524990E-7
1.958741404E0,2.420912277E-7
1.979579079E0,2.397190657E-7
2.000416753E0,2.376480205E-7
2.021254428E0,2.355040127E-7
2.042092103E0,2.331174482E-7
2.062929777E0,2.306858876E-7
2.083767452E0,2.284962288E-7
2.104605126E0,2.260364879E-7
2.125442801E0,2.236865150E-7
2.146280475E0,2.214043447E-7
2.167118150E0,2.195656433E-7
2.187955824E0,2.172667458E-7
2.208793499E0,2.153261839E-7
2.229631173E0,2.133165284E-7
2.250468848E0,2.110993866E-7
2.271306522E0,2.086676770E-7
2.292144197E0,2.062750428E-7
2.312981871E0,2.036535726E-7
2.333819546E0,2.015355828E-7
2.354657220E0,1.988825747E-7
2.375494895E0,1.964102866E-7
2.396332569E0,1.941347373E-7
2.417170244E0,1.917100877E-7
2.438007918E0,1.892426391E-7
2.458845593E0,1.871413346E-7
2.479683267E0,1.849235377E-7
2.500520942E0,1.828763316E-7
2.521358616E0,1.806966828E-7
2.542196291E0,1.787044372E-7
2.563033965E0,1.766649428E-7
2.583871640E0,1.746253728E-7
2.604709314E0,1.725084323E-7
2.625546989E0,1.702734234E-7
2.646384663E0,1.681658062E-7
2.667222338E0,1.663624784E-7
2.688060013E0,1.641939045E-7
2.708897687E0,1.620902127E-7
2.729735362E0,1.603233215E-7
2.750573036E0,1.586009625E-7
2.771410711E0,1.564075145E-7
2.792248385E0,1.543666169E-7
2.813086060E0,1.521651321E-7
2.833923734E0,1.499597079E-7
2.854761409E0,1.475500167E-7
2.875599083E0,1.456882567E-7
2.896436758E0,1.434534484E-7
2.917274432E0,1.414810895E-7
2.938112107E0,1.393331734E-7
2.958949781E0,1.373900738E-7
2.979787456E0,1.350745706E-7
3.000625130E0,1.328782886E-7
3.021462805E0,1.304881961E-7
3.042300479E0,1.285965568E-7
3.063138154E0,1.263828552E-7
3.083975828E0,1.240823168E-7
3.104813503E0,1.219531969E-7
3.125651177E0,1.200210423E-7
3.146488852E0,1.179770751E-7
3.167326526E0,1.159863284E-7
3.188164201E0,1.139889129E-7
3.209001875E0,1.124593057E-7
3.229839550E0,1.103772638E-7
3.250677224E0,1.083320275E-7
3.271514899E0,1.066098571E-7
3.292352573E0,1.048482232E-7
3.313190248E0,1.027866270E-7
3.334027922E0,1.007118985E-7
3.354865597E0,9.891472871E-8
3.375703272E0,9.710212536E-8
3.396540946E0,9.503888787E-8
3.417378621E0,9.301754970E-8
3.438216295E0,9.132085012E-8
3.459053970E0,8.987905968E-8
3.479891644E0,8.784002145E-8
3.500729319E0,8.638499430E-8
3.521566993E0,8.465040453E-8
3.542404668E0,8.291727813E-8
3.563242342E0,8.085163559E-8
3.584080017E0,7.907246612E-8
3.604917691E0,7.726475097E-8
3.625755366E0,7.528190811E-8
3.646593040E0,7.352394027E-8
3.667430715E0,7.172694404E-8
3.688268389E0,7.018844190E-8
3.709106064E0,6.868393164E-8
3.729943738E0,6.721726462E-8
3.750781413E0,6.577435445E-8
3.771619087E0,6.447357258E-8
3.792456762E0,6.275012728E-8
3.813294436E0,6.102815429E-8
3.834132111E0,5.950477375E-8
3.854969785E0,5.813349817E-8
3.875807460E0,5.675678387E-8
3.896645134E0,5.516990997E-8
3.917482809E0,5.368311330E-8
3.938320483E0,5.250247698E-8
3.959158158E0,5.093182956E-8
3.979995832E0,4.930675101E-8
4.000833507E0,4.788711926E-8
4.021671181E0,4.643028137E-8
4.042508856E0,4.503306582E-8
4.063346531E0,4.302144018E-8
4.084184205E0,4.127575530E-8
4.105021880E0,3.997686471E-8
4.125859554E0,3.849871389E-8
4.146697229E0,3.681406201E-8
4.167534903E0,3.565568477E-8
4.188372578E0,3.448303341E-8
4.209210252E0,3.341560282E-8
4.230047927E0,3.190240718E-8
4.250885601E0,3.080335231E-8
4.271723276E0,2.949647565E-8
