"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,2.505938503E-5
2.083767452E-2,2.501205221E-5
4.167534903E-2,2.491507713E-5
6.251302355E-2,2.476754615E-5
8.335069806E-2,2.456264177E-5
1.041883726E-1,2.429969201E-5
1.250260471E-1,2.399257578E-5
1.458637216E-1,2.364626190E-5
1.667013961E-1,2.325581327E-5
1.875390706E-1,2.282289984E-5
2.083767452E-1,2.235809073E-5
2.292144197E-1,2.186476646E-5
2.500520942E-1,2.134356818E-5
2.708897687E-1,2.080325118E-5
2.917274432E-1,2.025057901E-5
3.125651177E-1,1.968966920E-5
3.334027922E-1,1.912465495E-5
3.542404668E-1,1.855807123E-5
3.750781413E-1,1.799334495E-5
3.959158158E-1,1.743380323E-5
4.167534903E-1,1.688195182E-5
4.375911648E-1,1.633973458E-5
4.584288393E-1,1.580901884E-5
4.792665139E-1,1.529334567E-5
5.001041884E-1,1.479496507E-5
5.209418629E-1,1.431123319E-5
5.417795374E-1,1.384148563E-5
5.626172119E-1,1.338709605E-5
5.834548864E-1,1.294672437E-5
6.042925610E-1,1.251727075E-5
6.251302355E-1,1.209695946E-5
6.459679100E-1,1.168653524E-5
6.668055845E-1,1.128542201E-5
6.876432590E-1,1.089119487E-5
7.084809335E-1,1.050116755E-5
7.293186080E-1,1.011654981E-5
7.501562826E-1,9.735124061E-6
7.709939571E-1,9.353964021E-6
7.918316316E-1,8.970963331E-6
8.126693061E-1,8.588835966E-6
8.335069806E-1,8.204250847E-6
8.543446551E-1,7.816270013E-6
8.751823297E-1,7.425373621E-6
8.960200042E-1,7.033149955E-6
9.168576787E-1,6.638245643E-6
9.376953532E-1,6.240191669E-6
9.585330277E-1,5.839527324E-6
9.793707022E-1,5.438327774E-6
1.000208377E0,5.034515038E-6
1.021046051E0,4.631388753E-6
1.041883726E0,4.228805045E-6
1.062721400E0,3.827258060E-6
1.083559075E0,3.427938890E-6
1.104396749E0,3.033504204E-6
1.125234424E0,2.642346211E-6
1.146072098E0,2.255075041E-6
1.166909773E0,1.873716384E-6
1.187747447E0,1.500463363E-6
1.208585122E0,1.132897546E-6
1.229422796E0,7.717077147E-7
1.250260471E0,4.183998104E-7
1.271098145E0,7.334396190E-8
1.291935820E0,-2.651898770E-7
1.312773494E0,-5.971932505E-7
1.333611169E0,-9.203026452E-7
1.354448844E0,-1.236853419E-6
1.375286518E0,-1.548037931E-6
1.396124193E0,-1.852218390E-6
1.416961867E0,-2.148776887E-6
1.437799542E0,-2.440220661E-6
1.458637216E0,-2.726761479E-6
1.479474891E0,-3.006182639E-6
1.500312565E0,-3.281571428E-6
1.521150240E0,-3.552444552E-6
1.541987914E0,-3.818359890E-6
1.562825589E0,-4.080142333E-6
1.583663263E0,-4.336514110E-6
1.604500938E0,-4.586821653E-6
1.625338612E0,-4.830502947E-6
1.646176287E0,-5.069672485E-6
1.667013961E0,-5.302534999E-6
1.687851636E0,-5.527339484E-6
1.708689310E0,-5.745781201E-6
1.729526985E0,-5.958341607E-6
1.750364659E0,-6.161266393E-6
1.771202334E0,-6.354282969E-6
1.792040008E0,-6.537692045E-6
1.812877683E0,-6.711947141E-6
1.833715357E0,-6.873145579E-6
1.854553032E0,-7.023266433E-6
1.875390706E0,-7.161619478E-6
1.896228381E0,-7.288593361E-6
1.917066055E0,-7.403239223E-6
1.937903730E0,-7.506115677E-6
1.958741404E0,-7.596330997E-6
1.979579079E0,-7.675646722E-6
2.000416753E0,-7.742984406E-6
2.021254428E0,-7.799044750E-6
2.042092103E0,-7.844140047E-6
2.062929777E0,-7.879767758E-6
2.083767452E0,-7.905646406E-6
2.104605126E0,-7.922058141E-6
2.125442801E0,-7.929994256E-6
2.146280475E0,-7.929434266E-6
2.167118150E0,-7.921873451E-6
2.187955824E0,-7.907858196E-6
2.208793499E0,-7.886896295E-6
2.229631173E0,-7.863833011E-6
2.250468848E0,-7.835484188E-6
2.271306522E0,-7.805290613E-6
2.292144197E0,-7.772007620E-6
2.312981871E0,-7.737471050E-6
2.333819546E0,-7.701549582E-6
2.354657220E0,-7.666371435E-6
2.375494895E0,-7.630666504E-6
2.396332569E0,-7.596091350E-6
2.417170244E0,-7.562958663E-6
2.438007918E0,-7.531392270E-6
2.458845593E0,-7.500320423E-6
2.479683267E0,-7.472659766E-6
2.500520942E0,-7.446944658E-6
2.521358616E0,-7.423217747E-6
2.542196291E0,-7.402567514E-6
2.563033965E0,-7.386604292E-6
2.583871640E0,-7.373801456E-6
2.604709314E0,-7.365113871E-6
2.625546989E0,-7.361023391E-6
2.646384663E0,-7.362226724E-6
2.667222338E0,-7.366815786E-6
2.688060013E0,-7.376723188E-6
2.708897687E0,-7.393306253E-6
2.729735362E0,-7.415417335E-6
2.750573036E0,-7.443839481E-6
2.771410711E0,-7.480078399E-6
2.792248385E0,-7.523881232E-6
2.813086060E0,-7.573123283E-6
2.833923734E0,-7.629361184E-6
2.854761409E0,-7.693025254E-6
2.875599083E0,-7.762703110E-6
2.896436758E0,-7.836452856E-6
2.917274432E0,-7.916706147E-6
2.938112107E0,-8.004233577E-6
2.958949781E0,-8.096178884E-6
2.979787456E0,-8.192166345E-6
3.000625130E0,-8.292090151E-6
3.021462805E0,-8.395018114E-6
3.042300479E0,-8.499028492E-6
3.063138154E0,-8.603444256E-6
3.083975828E0,-8.706558577E-6
3.104813503E0,-8.808757883E-6
3.125651177E0,-8.907440689E-6
3.146488852E0,-9.001332647E-6
3.167326526E0,-9.090467132E-6
3.188164201E0,-9.172618283E-6
3.209001875E0,-9.245581178E-6
3.229839550E0,-9.309736244E-6
3.250677224E0,-9.362819877E-6
3.271514899E0,-9.404115247E-6
3.292352573E0,-9.433181779E-6
3.313190248E0,-9.448782647E-6
3.334027922E0,-9.450230523E-6
3.354865597E0,-9.437406238E-6
3.375703272E0,-9.408091934E-6
3.396540946E0,-9.364385824E-6
3.417378621E0,-9.305514612E-6
3.438216295E0,-9.230744122E-6
3.459053970E0,-9.141195353E-6
3.479891644E0,-9.036681639E-6
3.500729319E0,-8.917989898E-6
3.521566993E0,-8.787264389E-6
3.542404668E0,-8.642417429E-6
3.563242342E0,-8.486454542E-6
3.584080017E0,-8.319292255E-6
3.604917691E0,-8.144265961E-6
3.625755366E0,-7.959934522E-6
3.646593040E0,-7.767759868E-6
3.667430715E0,-7.569945375E-6
3.688268389E0,-7.367832697E-6
3.709106064E0,-7.160759742E-6
3.729943738E0,-6.950621204E-6
