"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,3.181630746E-7
2.083767452E-2,2.471825982E-7
4.167534903E-2,2.929046377E-7
6.251302355E-2,2.717941748E-7
8.335069806E-2,2.650043821E-7
1.041883726E-1,2.893791131E-7
1.250260471E-1,2.479522994E-7
1.458637216E-1,2.922749836E-7
1.667013961E-1,2.483871512E-7
1.875390706E-1,2.841711856E-7
2.083767452E-1,2.555712466E-7
2.292144197E-1,2.672851061E-7
2.500520942E-1,2.684957467E-7
2.708897687E-1,2.490757732E-7
2.917274432E-1,2.787026588E-7
3.125651177E-1,2.348682646E-7
3.334027922E-1,2.799334898E-7
3.542404668E-1,2.346146239E-7
3.750781413E-1,2.636435543E-7
3.959158158E-1,2.499951466E-7
4.167534903E-1,2.370471189E-7
4.375911648E-1,2.667653567E-7
4.584288393E-1,2.198611289E-7
4.792665139E-1,2.677364266E-7
5.001041884E-1,2.195536419E-7
5.209418629E-1,2.519380672E-7
5.417795374E-1,2.325337285E-7
5.626172119E-1,2.274635876E-7
5.834548864E-1,2.455963204E-7
6.042925610E-1,2.088374239E-7
6.251302355E-1,2.497451798E-7
6.459679100E-1,2.023289994E-7
6.668055845E-1,2.405568317E-7
6.876432590E-1,2.089933183E-7
7.084809335E-1,2.194212400E-7
7.293186080E-1,2.222428839E-7
7.501562826E-1,1.952481416E-7
7.709939571E-1,2.319505507E-7
7.918316316E-1,1.811191631E-7
8.126693061E-1,2.269375490E-7
8.335069806E-1,1.850919485E-7
8.543446551E-1,2.053269796E-7
8.751823297E-1,2.001249359E-7
8.960200042E-1,1.797243085E-7
9.168576787E-1,2.108172798E-7
9.376953532E-1,1.636650080E-7
9.585330277E-1,2.074896189E-7
9.793707022E-1,1.630065314E-7
1.000208377E0,1.896770125E-7
1.021046051E0,1.728312012E-7
1.041883726E0,1.659624671E-7
1.062721400E0,1.833664132E-7
1.083559075E0,1.455152293E-7
1.104396749E0,1.868999802E-7
1.125234424E0,1.368216081E-7
1.146072098E0,1.756778601E-7
1.166909773E0,1.440108573E-7
1.187747447E0,1.503819894E-7
1.208585122E0,1.593810698E-7
1.229422796E0,1.244611160E-7
1.250260471E0,1.665420893E-7
1.271098145E0,1.131208100E-7
1.291935820E0,1.561913267E-7
1.312773494E0,1.195818579E-7
1.333611169E0,1.317874538E-7
1.354448844E0,1.333545748E-7
1.375286518E0,1.079277743E-7
1.396124193E0,1.396434868E-7
1.416961867E0,9.467685162E-8
1.437799542E0,1.349766142E-7
1.458637216E0,9.288101695E-8
1.479474891E0,1.185326086E-7
1.500312565E0,1.024025415E-7
1.521150240E0,9.328041794E-8
1.541987914E0,1.157330876E-7
1.562825589E0,7.210920254E-8
1.583663263E0,1.174525124E-7
1.604500938E0,6.735613544E-8
1.625338612E0,1.025462680E-7
1.646176287E0,7.767261836E-8
1.667013961E0,7.705609077E-8
1.687851636E0,9.209870452E-8
1.708689310E0,5.433965204E-8
1.729526985E0,9.744986655E-8
1.750364659E0,4.672806353E-8
1.771202334E0,8.577036485E-8
1.792040008E0,5.424232884E-8
1.812877683E0,6.294341546E-8
1.833715357E0,6.781222144E-8
1.854553032E0,4.076903614E-8
1.875390706E0,7.503474183E-8
1.896228381E0,2.806803323E-8
1.917066055E0,7.058705062E-8
1.937903730E0,2.961732417E-8
1.958741404E0,5.177607308E-8
1.979579079E0,4.261181819E-8
2.000416753E0,2.721307140E-8
2.021254428E0,5.513932631E-8
2.042092103E0,9.499609103E-9
2.062929777E0,5.484640066E-8
2.083767452E0,7.926545879E-9
2.104605126E0,3.854236557E-8
2.125442801E0,2.017865578E-8
2.146280475E0,1.373051430E-8
2.167118150E0,3.384116060E-8
2.187955824E0,-6.099518178E-9
2.208793499E0,3.696680005E-8
2.229631173E0,-1.173252119E-8
2.250468848E0,2.477730911E-8
2.271306522E0,-3.360583505E-9
2.292144197E0,2.444870691E-9
2.312981871E0,1.092680318E-8
2.333819546E0,-1.982239046E-8
2.354657220E0,1.847444343E-8
2.375494895E0,-3.011395572E-8
2.396332569E0,1.122139339E-8
2.417170244E0,-2.593725417E-8
2.438007918E0,-8.567650616E-9
2.458845593E0,-1.216050284E-8
2.479683267E0,-3.246457989E-8
2.500520942E0,-8.568963689E-10
2.521358616E0,-4.757209246E-8
2.542196291E0,-2.598067464E-9
2.563033965E0,-4.735945547E-8
2.583871640E0,-1.987784151E-8
2.604709314E0,-3.417864203E-8
2.625546989E0,-4.411607687E-8
2.646384663E0,-2.091898382E-8
2.667222338E0,-6.268068045E-8
2.688060013E0,-1.827952337E-8
2.708897687E0,-6.646970865E-8
2.729735362E0,-3.160672248E-8
2.750573036E0,-5.562517604E-8
2.771410711E0,-5.490871959E-8
2.792248385E0,-4.051093521E-8
2.813086060E0,-7.572540932E-8
2.833923734E0,-3.436408573E-8
2.854761409E0,-8.334588070E-8
2.875599083E0,-4.333167060E-8
2.896436758E0,-7.601738187E-8
2.917274432E0,-6.436598147E-8
2.938112107E0,-6.155684402E-8
2.958949781E0,-8.634767847E-8
2.979787456E0,-5.136672963E-8
3.000625130E0,-9.848336174E-8
3.021462805E0,-5.501365463E-8
3.042300479E0,-9.526785577E-8
3.063138154E0,-7.260633225E-8
3.083975828E0,-8.147711179E-8
3.104813503E0,-9.587576436E-8
3.125651177E0,-6.768431875E-8
3.146488852E0,-1.121525528E-7
3.167326526E0,-6.660519299E-8
3.188164201E0,-1.126020499E-7
3.209001875E0,-8.093786526E-8
3.229839550E0,-1.000894075E-7
3.250677224E0,-1.037929329E-7
3.271514899E0,-8.444706768E-8
3.292352573E0,-1.224013064E-7
3.313190248E0,-7.943994936E-8
3.334027922E0,-1.269543206E-7
3.354865597E0,-8.933489456E-8
3.375703272E0,-1.173556805E-7
3.396540946E0,-1.096028287E-7
3.417378621E0,-1.020989492E-7
3.438216295E0,-1.305095377E-7
3.459053970E0,-9.204618340E-8
3.479891644E0,-1.402638536E-7
3.500729319E0,-9.729304964E-8
3.521566993E0,-1.341854633E-7
3.542404668E0,-1.156644304E-7
3.563242342E0,-1.188215906E-7
3.584080017E0,-1.374664720E-7
3.604917691E0,-1.056927335E-7
3.625755366E0,-1.505465024E-7
3.646593040E0,-1.055139142E-7
3.667430715E0,-1.484601497E-7
3.688268389E0,-1.201917815E-7
3.709106064E0,-1.340576583E-7
3.729943738E0,-1.412202249E-7
3.750781413E0,-1.182410769E-7
3.771619087E0,-1.575354617E-7
3.792456762E0,-1.123207696E-7
3.813294436E0,-1.594352840E-7
3.834132111E0,-1.223648106E-7
3.854969785E0,-1.467633205E-7
3.875807460E0,-1.426734108E-7
3.896645134E0,-1.291754304E-7
3.917482809E0,-1.613780895E-7
3.938320483E0,-1.194688318E-7
3.959158158E0,-1.667473473E-7
3.979995832E0,-1.245256482E-7
4.000833507E0,-1.571028810E-7
4.021671181E0,-1.420284109E-7
4.042508856E0,-1.390129360E-7
4.063346531E0,-1.609707646E-7
4.084184205E0,-1.252685503E-7
4.105021880E0,-1.705376471E-7
4.125859554E0,-1.244938672E-7
4.146697229E0,-1.646659684E-7
4.167534903E0,-1.385771548E-7
4.188372578E0,-1.474594076E-7
4.209210252E0,-1.584899155E-7
4.230047927E0,-1.298981255E-7
4.250885601E0,-1.719449237E-7
4.271723276E0,-1.241802618E-7
4.292560950E0,-1.688994237E-7
4.313398625E0,-1.349582321E-7
4.334236299E0,-1.526075068E-7
4.355073974E0,-1.538378144E-7
4.375911648E0,-1.340351739E-7
4.396749323E0,-1.688472201E-7
4.417586997E0,-1.248339664E-7
4.438424672E0,-1.702168138E-7
4.459262346E0,-1.300848059E-7
4.480100021E0,-1.577004352E-7
4.500937695E0,-1.466063048E-7
4.521775370E0,-1.381360890E-7
4.542613044E0,-1.637316713E-7
4.563450719E0,-1.238429294E-7
4.584288393E0,-1.698138607E-7
