"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,3.985546452E-7
2.083767452E-2,3.910097378E-7
4.167534903E-2,3.913985026E-7
6.251302355E-2,3.880768943E-7
8.335069806E-2,3.860976774E-7
1.041883726E-1,3.798723967E-7
1.250260471E-1,3.750077000E-7
1.458637216E-1,3.689547176E-7
1.667013961E-1,3.635522230E-7
1.875390706E-1,3.555288452E-7
2.083767452E-1,3.472656898E-7
2.292144197E-1,3.389773027E-7
2.500520942E-1,3.296757427E-7
2.708897687E-1,3.194749660E-7
2.917274432E-1,3.082940423E-7
3.125651177E-1,2.970572565E-7
3.334027922E-1,2.853355112E-7
3.542404668E-1,2.728527855E-7
3.750781413E-1,2.592810227E-7
3.959158158E-1,2.462901152E-7
4.167534903E-1,2.320998087E-7
4.375911648E-1,2.180253625E-7
4.584288393E-1,2.026571957E-7
4.792665139E-1,1.878834604E-7
5.001041884E-1,1.720772507E-7
5.209418629E-1,1.569396538E-7
5.417795374E-1,1.399995932E-7
5.626172119E-1,1.243511736E-7
5.834548864E-1,1.075015968E-7
6.042925610E-1,9.157979290E-8
6.251302355E-1,7.429591671E-8
6.459679100E-1,5.790779809E-8
6.668055845E-1,4.111296941E-8
6.876432590E-1,2.480029766E-8
7.084809335E-1,7.883999286E-9
7.293186080E-1,-8.554877039E-9
7.501562826E-1,-2.469334166E-8
7.709939571E-1,-4.100850086E-8
7.918316316E-1,-5.686230854E-8
8.126693061E-1,-7.251581552E-8
8.335069806E-1,-8.739797132E-8
8.543446551E-1,-1.026499867E-7
8.751823297E-1,-1.167378985E-7
8.960200042E-1,-1.312136988E-7
9.168576787E-1,-1.443007568E-7
9.376953532E-1,-1.579924603E-7
9.585330277E-1,-1.701187824E-7
9.793707022E-1,-1.825400084E-7
1.000208377E0,-1.936547320E-7
1.021046051E0,-2.048680313E-7
1.041883726E0,-2.145692706E-7
1.062721400E0,-2.245118876E-7
1.083559075E0,-2.329147922E-7
1.104396749E0,-2.414862344E-7
1.125234424E0,-2.483071605E-7
1.146072098E0,-2.553715941E-7
1.166909773E0,-2.609491647E-7
1.187747447E0,-2.665122004E-7
1.208585122E0,-2.704867531E-7
1.229422796E0,-2.742468984E-7
1.250260471E0,-2.769342690E-7
1.271098145E0,-2.792672637E-7
1.291935820E0,-2.802129082E-7
1.312773494E0,-2.806397155E-7
1.333611169E0,-2.800986073E-7
1.354448844E0,-2.790511898E-7
1.375286518E0,-2.769968560E-7
1.396124193E0,-2.740032478E-7
1.416961867E0,-2.705289361E-7
1.437799542E0,-2.660769501E-7
1.458637216E0,-2.613637683E-7
1.479474891E0,-2.550262131E-7
1.500312565E0,-2.488016045E-7
1.521150240E0,-2.414927120E-7
1.541987914E0,-2.338244354E-7
1.562825589E0,-2.248244232E-7
1.583663263E0,-2.157926058E-7
1.604500938E0,-2.060411685E-7
1.625338612E0,-1.958716142E-7
1.646176287E0,-1.847228318E-7
1.667013961E0,-1.733698409E-7
1.687851636E0,-1.616994265E-7
1.708689310E0,-1.494490453E-7
1.729526985E0,-1.365989794E-7
1.750364659E0,-1.233016979E-7
1.771202334E0,-1.100993153E-7
1.792040008E0,-9.607874556E-8
1.812877683E0,-8.234172054E-8
1.833715357E0,-6.762366419E-8
1.854553032E0,-5.352920318E-8
1.875390706E0,-3.884188562E-8
1.896228381E0,-2.430556122E-8
1.917066055E0,-9.254671905E-9
1.937903730E0,5.062421796E-9
1.958741404E0,2.015306057E-8
1.979579079E0,3.455553152E-8
2.000416753E0,4.949314254E-8
2.021254428E0,6.355014147E-8
2.042092103E0,7.832597154E-8
2.062929777E0,9.183779635E-8
2.083767452E0,1.061551194E-7
2.104605126E0,1.190810568E-7
2.125442801E0,1.327059338E-7
2.146280475E0,1.448390013E-7
2.167118150E0,1.578948745E-7
2.187955824E0,1.690726374E-7
2.208793499E0,1.809700235E-7
2.229631173E0,1.913827209E-7
2.250468848E0,2.021734180E-7
2.271306522E0,2.116651420E-7
2.292144197E0,2.209299695E-7
2.312981871E0,2.294735922E-7
2.333819546E0,2.375957254E-7
2.354657220E0,2.448015266E-7
2.375494895E0,2.513241342E-7
2.396332569E0,2.574930991E-7
2.417170244E0,2.625617847E-7
2.438007918E0,2.672424460E-7
2.458845593E0,2.706307633E-7
2.479683267E0,2.740517647E-7
2.500520942E0,2.760426181E-7
2.521358616E0,2.776022000E-7
2.542196291E0,2.781733912E-7
2.563033965E0,2.782936022E-7
2.583871640E0,2.773781765E-7
2.604709314E0,2.758918121E-7
2.625546989E0,2.735804896E-7
2.646384663E0,2.702569365E-7
2.667222338E0,2.667222536E-7
2.688060013E0,2.618489882E-7
2.708897687E0,2.566932419E-7
2.729735362E0,2.503855456E-7
2.750573036E0,2.438379268E-7
2.771410711E0,2.359409058E-7
2.792248385E0,2.281532726E-7
2.813086060E0,2.189494454E-7
2.833923734E0,2.096797696E-7
2.854761409E0,1.994813863E-7
2.875599083E0,1.890764618E-7
2.896436758E0,1.776574239E-7
2.917274432E0,1.661697315E-7
2.938112107E0,1.539126995E-7
2.958949781E0,1.414312700E-7
2.979787456E0,1.280343559E-7
3.000625130E0,1.149309265E-7
3.021462805E0,1.006754701E-7
3.042300479E0,8.677589084E-8
3.063138154E0,7.184093841E-8
3.083975828E0,5.755941876E-8
3.104813503E0,4.241212168E-8
3.125651177E0,2.730497590E-8
3.146488852E0,1.206552535E-8
3.167326526E0,-3.168861127E-9
3.188164201E0,-1.879038992E-8
3.209001875E0,-3.405361149E-8
3.229839550E0,-4.981122149E-8
3.250677224E0,-6.520621716E-8
3.271514899E0,-8.055087778E-8
3.292352573E0,-9.594367996E-8
3.313190248E0,-1.109678574E-7
3.334027922E0,-1.258190705E-7
3.354865597E0,-1.403938165E-7
3.375703272E0,-1.546750492E-7
3.396540946E0,-1.686197983E-7
3.417378621E0,-1.821040985E-7
3.438216295E0,-1.952926173E-7
3.459053970E0,-2.079763493E-7
3.479891644E0,-2.203065361E-7
3.500729319E0,-2.320171438E-7
3.521566993E0,-2.433669970E-7
3.542404668E0,-2.540533328E-7
3.563242342E0,-2.642298352E-7
3.584080017E0,-2.736414082E-7
3.604917691E0,-2.826110128E-7
