"Time (ms)","Recording (a.u.)"
0.000000000E0,-7.305151667E-5
2.083767452E-2,-1.770774834E-4
4.167534903E-2,-1.380685135E-4
6.251302355E-2,-1.206129964E-4
8.335069806E-2,-2.494169166E-4
1.041883726E-1,-3.274111077E-4
1.250260471E-1,-3.184447414E-4
1.458637216E-1,-1.388906676E-4
1.667013961E-1,3.720659879E-5
1.875390706E-1,3.405527968E-5
2.083767452E-1,-2.309192350E-4
2.292144197E-1,-5.255693104E-4
2.500520942E-1,-7.190069882E-4
2.708897687E-1,-6.569338730E-4
2.917274432E-1,-3.028917708E-4
3.125651177E-1,-5.183194298E-4
3.334027922E-1,-5.995665560E-4
3.542404668E-1,-3.082409385E-4
3.750781413E-1,-5.596760893E-4
3.959158158E-1,-3.439680731E-4
4.167534903E-1,-7.741611626E-5
4.375911648E-1,-2.638916485E-4
4.584288393E-1,-2.489653416E-4
4.792665139E-1,-3.353126231E-4
5.001041884E-1,-2.308210969E-4
5.209418629E-1,-2.028298477E-4
5.417795374E-1,-2.729354310E-4
5.626172119E-1,-2.294295700E-4
5.834548864E-1,-4.507126578E-4
6.042925610E-1,-4.893839359E-4
6.251302355E-1,-3.218815255E-4
6.459679100E-1,-4.358304432E-5
6.668055845E-1,1.445958042E-4
6.876432590E-1,5.043561396E-5
7.084809335E-1,-1.583341800E-4
7.293186080E-1,-4.824549833E-4
7.501562826E-1,-3.875176772E-4
7.709939571E-1,-2.564315801E-4
7.918316316E-1,-4.613274941E-4
8.126693061E-1,-2.779463248E-4
8.335069806E-1,-2.070116898E-4
8.543446551E-1,-3.205933317E-4
8.751823297E-1,-1.409667748E-4
8.960200042E-1,-1.334549888E-4
9.168576787E-1,-1.985739218E-4
9.376953532E-1,-2.784851531E-4
9.585330277E-1,-2.114210947E-4
9.793707022E-1,-1.832568669E-4
1.000208377E0,-3.803499567E-4
1.021046051E0,-2.380959631E-4
1.041883726E0,-2.744012163E-4
1.062721400E0,-3.935260174E-4
1.083559075E0,-3.872254747E-4
1.104396749E0,-3.562342608E-4
1.125234424E0,-1.470797433E-4
1.146072098E0,-8.152830560E-5
1.166909773E0,9.721357492E-5
1.187747447E0,-2.597755520E-5
1.208585122E0,-2.990083885E-4
1.229422796E0,-2.719263430E-4
1.250260471E0,-3.186316753E-4
1.271098145E0,-1.977179199E-4
1.291935820E0,-1.347640646E-4
1.312773494E0,-6.689062866E-5
1.333611169E0,7.974296750E-6
1.354448844E0,-6.810249033E-5
1.375286518E0,1.773310396E-5
1.396124193E0,2.038717139E-5
1.416961867E0,-2.575980034E-6
1.437799542E0,-7.306913176E-5
1.458637216E0,-2.579748980E-4
1.479474891E0,-2.684216597E-4
1.500312565E0,-1.806921937E-4
1.521150240E0,-9.229032730E-5
1.541987914E0,5.457179213E-5
1.562825589E0,1.226472668E-4
1.583663263E0,4.304663889E-5
1.604500938E0,6.048491196E-5
1.625338612E0,2.250460602E-5
1.646176287E0,-1.266108302E-4
1.667013961E0,-1.577706134E-4
1.687851636E0,-1.283477468E-5
1.708689310E0,1.421995112E-4
1.729526985E0,2.239100577E-4
1.750364659E0,3.993106075E-4
1.771202334E0,2.394776966E-4
1.792040008E0,-9.735839558E-5
1.812877683E0,-1.826690423E-4
1.833715357E0,-2.071759227E-4
1.854553032E0,-1.039418421E-4
1.875390706E0,6.813789514E-5
1.896228381E0,2.605197078E-4
1.917066055E0,1.157408406E-4
1.937903730E0,-1.034677407E-4
1.958741404E0,-1.659769259E-5
1.979579079E0,-1.004952937E-4
2.000416753E0,8.783070371E-6
2.021254428E0,2.355279576E-4
2.042092103E0,3.104382195E-4
2.062929777E0,2.949479385E-4
2.083767452E0,1.546418498E-4
2.104605126E0,1.640473783E-5
2.125442801E0,-3.533188428E-4
2.146280475E0,-2.981337602E-4
2.167118150E0,-1.336509013E-5
2.187955824E0,8.398726641E-5
2.208793499E0,4.549724399E-4
2.229631173E0,4.693902738E-4
2.250468848E0,3.443906317E-4
2.271306522E0,1.970268786E-4
2.292144197E0,-5.502290151E-5
2.312981871E0,-1.554590926E-5
2.333819546E0,-9.984975623E-5
2.354657220E0,-1.158502055E-4
2.375494895E0,1.450433920E-4
2.396332569E0,3.616368340E-4
2.417170244E0,3.608344123E-4
2.438007918E0,3.670277656E-4
2.458845593E0,3.100768081E-4
2.479683267E0,2.947184839E-5
2.500520942E0,1.855081791E-5
2.521358616E0,1.401834888E-4
2.542196291E0,3.040138690E-4
2.563033965E0,5.715228035E-4
2.583871640E0,6.084453780E-4
2.604709314E0,5.156763946E-4
2.625546989E0,3.480948217E-4
2.646384663E0,1.429111289E-4
2.667222338E0,2.738851472E-4
2.688060013E0,3.950996324E-4
2.708897687E0,3.402063157E-4
2.729735362E0,5.835135235E-4
2.750573036E0,4.849022953E-4
2.771410711E0,2.143861784E-4
2.792248385E0,3.496604622E-4
2.813086060E0,3.935912682E-4
2.833923734E0,4.561335372E-4
2.854761409E0,4.791435786E-4
2.875599083E0,4.503939708E-4
2.896436758E0,4.506148398E-4
2.917274432E0,4.538784269E-4
2.938112107E0,5.473627243E-4
2.958949781E0,5.019670934E-4
2.979787456E0,4.783829500E-4
3.000625130E0,5.292216083E-4
3.021462805E0,6.151932757E-4
3.042300479E0,6.127331872E-4
3.063138154E0,5.853938637E-4
3.083975828E0,6.563415518E-4
3.104813503E0,4.257420078E-4
3.125651177E0,4.490930878E-4
3.146488852E0,6.949348608E-4
3.167326526E0,6.603006041E-4
3.188164201E0,8.341998910E-4
3.209001875E0,8.463859558E-4
3.229839550E0,6.378730759E-4
3.250677224E0,5.715012667E-4
3.271514899E0,5.087878089E-4
3.292352573E0,6.545021897E-4
3.313190248E0,8.575114771E-4
3.334027922E0,9.524388006E-4
3.354865597E0,9.693227476E-4
3.375703272E0,8.963486180E-4
