"Time (ms)","Recording (a.u.)"
0.000000000E0,4.243460135E-4
2.083767452E-2,3.769747855E-4
4.167534903E-2,3.997077583E-4
6.251302355E-2,4.163550329E-4
8.335069806E-2,4.207361490E-4
1.041883726E-1,4.259773414E-4
1.250260471E-1,4.135915078E-4
1.458637216E-1,3.544348292E-4
1.667013961E-1,3.107811208E-4
1.875390706E-1,3.074076958E-4
2.083767452E-1,2.606910421E-4
2.292144197E-1,2.513420477E-4
2.500520942E-1,2.855414641E-4
2.708897687E-1,2.830873127E-4
2.917274432E-1,2.897602972E-4
3.125651177E-1,2.728729451E-4
3.334027922E-1,2.563596354E-4
3.542404668E-1,2.436906798E-4
3.750781413E-1,1.916194742E-4
3.959158158E-1,2.053746430E-4
4.167534903E-1,2.137636329E-4
4.375911648E-1,1.401873305E-4
4.584288393E-1,1.120476009E-4
4.792665139E-1,1.220959675E-4
5.001041884E-1,8.786181570E-5
5.209418629E-1,2.868582851E-5
5.417795374E-1,2.850433702E-5
5.626172119E-1,6.169387780E-5
5.834548864E-1,5.049438187E-5
6.042925610E-1,6.973827112E-5
6.251302355E-1,1.340121671E-4
6.459679100E-1,1.557129435E-4
6.668055845E-1,1.458717743E-4
6.876432590E-1,1.361501927E-4
7.084809335E-1,1.246043248E-4
7.293186080E-1,1.130548189E-4
7.501562826E-1,9.199461783E-5
7.709939571E-1,8.216826245E-5
7.918316316E-1,9.764145216E-5
8.126693061E-1,8.997453551E-5
8.335069806E-1,7.863374776E-5
8.543446551E-1,9.710640006E-5
8.751823297E-1,1.075543405E-4
8.960200042E-1,1.147367293E-4
9.168576787E-1,1.285176695E-4
9.376953532E-1,1.257644035E-4
9.585330277E-1,1.186717200E-4
9.793707022E-1,1.212586358E-4
1.000208377E0,1.276071998E-4
1.021046051E0,1.517420606E-4
1.041883726E0,1.403443312E-4
1.062721400E0,1.046120233E-4
1.083559075E0,8.886664727E-5
1.104396749E0,4.785832061E-5
1.125234424E0,4.448863911E-5
1.146072098E0,7.058228948E-5
1.166909773E0,7.162268594E-5
1.187747447E0,7.039574848E-5
1.208585122E0,5.809736103E-5
1.229422796E0,2.977720396E-5
1.250260471E0,9.818717444E-6
1.271098145E0,2.718688120E-5
1.291935820E0,8.201192941E-6
1.312773494E0,-1.394520950E-6
1.333611169E0,3.947010919E-5
1.354448844E0,3.956672117E-6
1.375286518E0,5.307586434E-6
1.396124193E0,6.438161654E-5
1.416961867E0,5.280772166E-5
1.437799542E0,8.509945474E-5
1.458637216E0,1.305097830E-4
1.479474891E0,1.193386270E-4
1.500312565E0,1.093604951E-4
1.521150240E0,5.934671935E-5
1.541987914E0,3.502533218E-5
1.562825589E0,4.058866762E-5
1.583663263E0,9.866288565E-6
1.604500938E0,3.081854447E-5
1.625338612E0,5.029463500E-5
1.646176287E0,2.416677125E-5
1.667013961E0,3.882851161E-5
1.687851636E0,4.607323353E-5
1.708689310E0,7.251989882E-5
1.729526985E0,1.338402217E-4
1.750364659E0,1.206090819E-4
1.771202334E0,1.113605540E-4
1.792040008E0,1.380287576E-4
1.812877683E0,1.140177992E-4
1.833715357E0,8.224416524E-5
1.854553032E0,7.805772475E-5
1.875390706E0,9.788837633E-5
1.896228381E0,1.027379403E-4
1.917066055E0,7.020160410E-5
1.937903730E0,3.813003059E-5
1.958741404E0,5.484094436E-5
1.979579079E0,6.947803195E-5
2.000416753E0,9.314759154E-6
2.021254428E0,4.249957055E-5
2.042092103E0,9.866195614E-5
2.062929777E0,2.317581311E-5
2.083767452E0,1.186304871E-5
2.104605126E0,5.450889512E-5
2.125442801E0,3.430127981E-5
2.146280475E0,3.115228537E-5
2.167118150E0,5.520653212E-5
2.187955824E0,2.709832734E-5
2.208793499E0,-8.450311725E-6
2.229631173E0,-3.131902486E-5
2.250468848E0,-6.335745275E-5
2.271306522E0,-2.610293632E-5
2.292144197E0,-1.543329563E-5
2.312981871E0,-3.782250133E-5
2.333819546E0,-1.878991861E-5
