"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.595368376E-6
2.083767452E-2,-1.019341582E-6
4.167534903E-2,6.949030975E-7
6.251302355E-2,-2.662516697E-7
8.335069806E-2,2.288983496E-7
1.041883726E-1,6.699581107E-7
1.250260471E-1,-1.083051030E-6
1.458637216E-1,1.325995824E-6
1.667013961E-1,-8.934219049E-7
1.875390706E-1,1.072960390E-6
2.083767452E-1,-7.410992582E-7
2.292144197E-1,3.348766830E-7
2.500520942E-1,5.815039663E-7
2.708897687E-1,-7.168310285E-7
2.917274432E-1,1.031098046E-6
3.125651177E-1,-1.069432749E-6
3.334027922E-1,1.370054156E-6
3.542404668E-1,-8.419816159E-7
3.750781413E-1,4.477725711E-7
3.959158158E-1,1.686753554E-7
4.167534903E-1,-3.339274627E-7
4.375911648E-1,9.560292237E-7
4.584288393E-1,-1.150707322E-6
4.792665139E-1,1.345702048E-6
5.001041884E-1,-9.142654875E-7
5.209418629E-1,7.602506127E-7
5.417795374E-1,-2.227056807E-7
5.626172119E-1,-1.184502607E-7
5.834548864E-1,8.065097365E-7
6.042925610E-1,-9.966250552E-7
6.251302355E-1,1.268033954E-6
6.459679100E-1,-1.063155396E-6
6.668055845E-1,1.012576953E-6
6.876432590E-1,-4.910416346E-7
7.084809335E-1,1.307591746E-7
7.293186080E-1,5.305595188E-7
7.501562826E-1,-8.008643003E-7
7.709939571E-1,1.190276592E-6
7.918316316E-1,-1.135749444E-6
8.126693061E-1,1.167737470E-6
8.335069806E-1,-7.353838486E-7
8.543446551E-1,4.019955360E-7
8.751823297E-1,2.387777588E-7
8.960200042E-1,-5.699786173E-7
9.168576787E-1,1.039145682E-6
9.376953532E-1,-1.129206979E-6
9.585330277E-1,1.262235943E-6
9.793707022E-1,-9.320957703E-7
1.000208377E0,6.520635800E-7
1.021046051E0,-7.027868747E-8
1.041883726E0,-3.022120187E-7
1.062721400E0,8.424211770E-7
1.083559075E0,-1.057338090E-6
1.104396749E0,1.277217191E-6
1.125234424E0,-1.076093196E-6
1.146072098E0,8.776430649E-7
1.166909773E0,-3.678080254E-7
1.187747447E0,-2.539410147E-8
1.208585122E0,5.950868438E-7
1.229422796E0,-9.159403316E-7
1.250260471E0,1.225564707E-6
1.271098145E0,-1.156870468E-6
1.291935820E0,1.045838101E-6
1.312773494E0,-6.458770223E-7
1.333611169E0,2.643742797E-7
1.354448844E0,3.214246950E-7
1.375286518E0,-7.292769226E-7
1.396124193E0,1.094517720E-6
1.416961867E0,-1.160105744E-6
1.437799542E0,1.173971181E-6
1.458637216E0,-8.946416573E-7
1.479474891E0,5.191541400E-7
1.500312565E0,4.585522704E-8
1.521150240E0,-4.770592019E-7
1.541987914E0,8.896658914E-7
1.562825589E0,-1.120000053E-6
1.583663263E0,1.248284728E-6
1.604500938E0,-1.060782131E-6
1.625338612E0,7.304653671E-7
1.646176287E0,-2.622863586E-7
1.667013961E0,-1.751113351E-7
1.687851636E0,6.666986821E-7
1.708689310E0,-1.033026237E-6
1.729526985E0,1.221420376E-6
1.750364659E0,-1.144178166E-6
1.771202334E0,9.341785647E-7
1.792040008E0,-5.744956355E-7
1.812877683E0,1.010507718E-7
1.833715357E0,4.308954030E-7
1.854553032E0,-8.530110181E-7
1.875390706E0,1.102190409E-6
1.896228381E0,-1.194809929E-6
1.917066055E0,1.107844601E-6
1.937903730E0,-8.205264500E-7
1.958741404E0,3.498052340E-7
1.979579079E0,1.393272428E-7
2.000416753E0,-6.011950540E-7
2.021254428E0,9.495642590E-7
2.042092103E0,-1.197658053E-6
2.062929777E0,1.189820952E-6
2.083767452E0,-9.981738998E-7
2.104605126E0,6.031908157E-7
2.125442801E0,-1.798548826E-7
2.146280475E0,-3.395865423E-7
2.167118150E0,7.614287908E-7
2.187955824E0,-1.111390174E-6
2.208793499E0,1.186837093E-6
2.229631173E0,-1.137742791E-6
2.250468848E0,8.361821777E-7
2.271306522E0,-4.705553467E-7
2.292144197E0,-7.485291724E-8
2.312981871E0,5.154948905E-7
2.333819546E0,-9.483253701E-7
2.354657220E0,1.125488131E-6
2.375494895E0,-1.224534959E-6
2.396332569E0,1.009846883E-6
2.417170244E0,-7.236611025E-7
2.438007918E0,2.039548709E-7
2.458845593E0,2.266539182E-7
2.479683267E0,-7.404493957E-7
2.500520942E0,1.010481411E-6
2.521358616E0,-1.235330427E-6
2.542196291E0,1.116755907E-6
2.563033965E0,-9.447798573E-7
2.583871640E0,4.768915318E-7
2.604709314E0,-6.585496473E-8
2.625546989E0,-4.962235721E-7
2.646384663E0,8.286086361E-7
2.667222338E0,-1.170628621E-6
2.688060013E0,1.165342544E-6
2.708897687E0,-1.110489893E-6
2.729735362E0,7.127749365E-7
2.750573036E0,-3.566642251E-7
2.771410711E0,-2.179873534E-7
2.792248385E0,6.016044436E-7
2.813086060E0,-1.045666028E-6
2.833923734E0,1.140197621E-6
2.854761409E0,-1.209710531E-6
2.875599083E0,9.139263000E-7
2.896436758E0,-6.320783011E-7
2.917274432E0,6.372884491E-8
2.938112107E0,3.420820379E-7
2.958949781E0,-8.538656477E-7
2.979787456E0,1.048387242E-6
3.000625130E0,-1.249818693E-6
3.021462805E0,1.061807370E-6
3.042300479E0,-8.615430206E-7
3.063138154E0,3.403320495E-7
3.083975828E0,5.216407409E-8
3.104813503E0,-6.162582101E-7
3.125651177E0,9.043606859E-7
3.146488852E0,-1.217959584E-6
3.167326526E0,1.137372485E-6
3.188164201E0,-1.046303335E-6
3.209001875E0,6.039169855E-7
3.229839550E0,-2.386409336E-7
3.250677224E0,-3.536555091E-7
3.271514899E0,7.017121447E-7
3.292352573E0,-1.109949322E-6
3.313190248E0,1.149223160E-6
3.334027922E0,-1.178977907E-6
3.354865597E0,8.234836918E-7
3.375703272E0,-5.113858522E-7
3.396540946E0,-6.738139916E-8
3.417378621E0,4.527762507E-7
3.438216295E0,-9.469786396E-7
3.459053970E0,1.096913296E-6
3.479891644E0,-1.239040760E-6
3.500729319E0,9.931210149E-7
3.521566993E0,-7.642210624E-7
3.542404668E0,2.221202329E-7
3.563242342E0,1.827019898E-7
3.584080017E0,-7.311576477E-7
3.604917691E0,9.710316975E-7
3.625755366E0,-1.230895184E-6
3.646593040E0,1.109053557E-6
3.667430715E0,-9.724808290E-7
3.688268389E0,4.881427656E-7
3.709106064E0,-1.015367284E-7
3.729943738E0,-4.687345913E-7
3.750781413E0,7.924537106E-7
3.771619087E0,-1.160274085E-6
3.792456762E0,1.157101344E-6
3.813294436E0,-1.119175401E-6
3.834132111E0,7.290496415E-7
3.854969785E0,-3.876600451E-7
3.875807460E0,-1.861117167E-7
3.896645134E0,5.729190412E-7
3.917482809E0,-1.020890484E-6
3.938320483E0,1.131146306E-6
3.959158158E0,-1.206706579E-6
3.979995832E0,9.305830128E-7
4.000833507E0,-6.489620622E-7
4.021671181E0,1.026007373E-7
4.042508856E0,3.158024670E-7
4.063346531E0,-8.208189770E-7
4.084184205E0,1.040574764E-6
4.105021880E0,-1.229175437E-6
4.125859554E0,1.075213329E-6
4.146697229E0,-8.726670651E-7
4.167534903E0,3.836022528E-7
