"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.711039416E-7
2.083767452E-2,1.634889331E-7
4.167534903E-2,1.623001370E-7
6.251302355E-2,1.619722751E-7
8.335069806E-2,1.608859748E-7
1.041883726E-1,1.597232783E-7
1.250260471E-1,1.579283359E-7
1.458637216E-1,1.566069527E-7
1.667013961E-1,1.564522807E-7
1.875390706E-1,1.543855240E-7
2.083767452E-1,1.526546581E-7
2.292144197E-1,1.522316661E-7
2.500520942E-1,1.501786828E-7
2.708897687E-1,1.488145303E-7
2.917274432E-1,1.476235794E-7
3.125651177E-1,1.455447953E-7
3.334027922E-1,1.440082839E-7
3.542404668E-1,1.418910735E-7
3.750781413E-1,1.403054402E-7
3.959158158E-1,1.392024340E-7
4.167534903E-1,1.374439231E-7
4.375911648E-1,1.352740680E-7
4.584288393E-1,1.333249275E-7
4.792665139E-1,1.312749566E-7
5.001041884E-1,1.296730185E-7
5.209418629E-1,1.276719399E-7
5.417795374E-1,1.254006143E-7
5.626172119E-1,1.235743885E-7
5.834548864E-1,1.216870916E-7
6.042925610E-1,1.197107709E-7
6.251302355E-1,1.176055404E-7
6.459679100E-1,1.154031505E-7
6.668055845E-1,1.132570679E-7
6.876432590E-1,1.109913007E-7
7.084809335E-1,1.088650823E-7
7.293186080E-1,1.069873665E-7
7.501562826E-1,1.047059540E-7
7.709939571E-1,1.023600354E-7
7.918316316E-1,1.002448865E-7
8.126693061E-1,9.837591067E-8
8.335069806E-1,9.593131224E-8
8.543446551E-1,9.367394708E-8
8.751823297E-1,9.122302661E-8
8.960200042E-1,8.922782902E-8
9.168576787E-1,8.689380612E-8
9.376953532E-1,8.453608155E-8
9.585330277E-1,8.232938576E-8
9.793707022E-1,8.006552546E-8
1.000208377E0,7.803060321E-8
1.021046051E0,7.564628897E-8
1.041883726E0,7.322901174E-8
1.062721400E0,7.092897033E-8
1.083559075E0,6.882626824E-8
1.104396749E0,6.642486105E-8
1.125234424E0,6.416255237E-8
1.146072098E0,6.169339817E-8
1.166909773E0,5.940813257E-8
1.187747447E0,5.745472893E-8
1.208585122E0,5.537971622E-8
1.229422796E0,5.306318902E-8
1.250260471E0,5.076356421E-8
1.271098145E0,4.853273456E-8
1.291935820E0,4.661330421E-8
1.312773494E0,4.454757503E-8
1.333611169E0,4.254075434E-8
1.354448844E0,4.028997835E-8
1.375286518E0,3.857827691E-8
1.396124193E0,3.679403034E-8
1.416961867E0,3.467602081E-8
1.437799542E0,3.259117187E-8
1.458637216E0,3.068008899E-8
1.479474891E0,2.909038940E-8
1.500312565E0,2.745963639E-8
1.521150240E0,2.512364306E-8
1.541987914E0,2.314748461E-8
1.562825589E0,2.149985265E-8
1.583663263E0,1.982037391E-8
1.604500938E0,1.785031648E-8
1.625338612E0,1.626994109E-8
1.646176287E0,1.435412508E-8
1.667013961E0,1.270742298E-8
1.687851636E0,1.106614101E-8
1.708689310E0,9.583660661E-9
1.729526985E0,8.117334113E-9
1.750364659E0,6.658877416E-9
1.771202334E0,5.043758630E-9
1.792040008E0,4.060756088E-9
1.812877683E0,2.735871217E-9
1.833715357E0,1.286102715E-9
1.854553032E0,-1.660604888E-10
1.875390706E0,-1.038691610E-9
1.896228381E0,-1.997725489E-9
1.917066055E0,-3.010379554E-9
1.937903730E0,-4.108741148E-9
1.958741404E0,-4.889740368E-9
1.979579079E0,-5.745894091E-9
2.000416753E0,-6.604589661E-9
2.021254428E0,-7.638310514E-9
2.042092103E0,-8.880047849E-9
2.062929777E0,-9.701524458E-9
2.083767452E0,-1.062004966E-8
2.104605126E0,-1.144799388E-8
2.125442801E0,-1.234488095E-8
2.146280475E0,-1.364485721E-8
2.167118150E0,-1.436132728E-8
2.187955824E0,-1.521061023E-8
2.208793499E0,-1.584220571E-8
2.229631173E0,-1.662012905E-8
2.250468848E0,-1.744661744E-8
2.271306522E0,-1.798657670E-8
2.292144197E0,-1.832739567E-8
2.312981871E0,-1.971269657E-8
2.333819546E0,-2.048989129E-8
2.354657220E0,-2.127715410E-8
2.375494895E0,-2.171098550E-8
2.396332569E0,-2.243702192E-8
2.417170244E0,-2.314050282E-8
2.438007918E0,-2.378780421E-8
2.458845593E0,-2.419887153E-8
2.479683267E0,-2.496266812E-8
2.500520942E0,-2.544779235E-8
2.521358616E0,-2.583957369E-8
2.542196291E0,-2.651979853E-8
2.563033965E0,-2.724830414E-8
2.583871640E0,-2.739653852E-8
2.604709314E0,-2.801996023E-8
2.625546989E0,-2.844538898E-8
2.646384663E0,-2.931962107E-8
2.667222338E0,-2.961314749E-8
2.688060013E0,-2.978756797E-8
2.708897687E0,-3.027635960E-8
2.729735362E0,-3.082081309E-8
2.750573036E0,-3.128808914E-8
2.771410711E0,-3.165479024E-8
2.792248385E0,-3.191466418E-8
2.813086060E0,-3.218323408E-8
2.833923734E0,-3.271470227E-8
2.854761409E0,-3.322882251E-8
2.875599083E0,-3.343412084E-8
2.896436758E0,-3.366847997E-8
2.917274432E0,-3.403804141E-8
2.938112107E0,-3.473179538E-8
2.958949781E0,-3.495758672E-8
2.979787456E0,-3.537585903E-8
3.000625130E0,-3.589412415E-8
3.021462805E0,-3.630617507E-8
3.042300479E0,-3.671620184E-8
