"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,2.318743517E-4
2.083767452E-2,2.875174880E-5
4.167534903E-2,-1.848222150E-4
6.251302355E-2,-4.395588996E-5
8.335069806E-2,1.412349451E-4
1.041883726E-1,6.636276441E-5
1.250260471E-1,-8.792096526E-5
1.458637216E-1,-3.625401551E-5
1.667013961E-1,8.809216163E-5
1.875390706E-1,2.045365584E-5
2.083767452E-1,-7.307478548E-5
2.292144197E-1,8.387605456E-6
2.500520942E-1,7.904518813E-5
2.708897687E-1,5.164381536E-6
2.917274432E-1,-6.068693657E-5
3.125651177E-1,-2.600131177E-6
3.334027922E-1,6.504192926E-5
3.542404668E-1,1.075583624E-5
3.750781413E-1,-5.277360617E-5
3.959158158E-1,3.955221200E-6
4.167534903E-1,6.177830958E-5
4.375911648E-1,1.174285108E-5
4.584288393E-1,-4.810780266E-5
4.792665139E-1,-1.505722313E-5
5.001041884E-1,4.636741304E-5
5.209418629E-1,2.616049751E-5
5.417795374E-1,-2.897261366E-5
5.626172119E-1,-1.247647526E-5
5.834548864E-1,3.185629812E-5
6.042925610E-1,1.138566111E-5
6.251302355E-1,-2.944115784E-5
6.459679100E-1,-4.918550423E-6
6.668055845E-1,4.043008202E-5
6.876432590E-1,1.546710387E-5
7.084809335E-1,-3.961578873E-5
7.293186080E-1,-2.119987128E-5
7.501562826E-1,4.150463647E-5
7.709939571E-1,3.252536373E-5
7.918316316E-1,-3.258124520E-5
8.126693061E-1,-3.153455382E-5
8.335069806E-1,2.900644229E-5
8.543446551E-1,3.001809255E-5
8.751823297E-1,-2.628327580E-5
8.960200042E-1,-2.992183318E-5
9.168576787E-1,2.374549696E-5
9.376953532E-1,3.245069590E-5
9.585330277E-1,-1.920008723E-5
9.793707022E-1,-3.344963455E-5
1.000208377E0,1.299085573E-5
1.021046051E0,2.859546261E-5
1.041883726E0,-1.250247167E-5
1.062721400E0,-2.790853667E-5
1.083559075E0,9.230492996E-6
1.104396749E0,2.446923011E-5
1.125234424E0,-1.180969595E-5
1.146072098E0,-2.956152555E-5
1.166909773E0,6.552044150E-6
1.187747447E0,3.012828411E-5
1.208585122E0,-3.807510252E-6
1.229422796E0,-3.465706319E-5
1.250260471E0,-8.781942370E-6
1.271098145E0,2.254686124E-5
1.291935820E0,6.030036122E-6
1.312773494E0,-1.690817707E-5
1.333611169E0,-5.364573381E-6
1.354448844E0,4.445028185E-6
1.375286518E0,-1.052139173E-5
1.396124193E0,-1.151875286E-5
1.416961867E0,1.159517566E-5
1.437799542E0,9.912887048E-6
1.458637216E0,-2.238922113E-5
1.479474891E0,-2.252766427E-5
1.500312565E0,1.352514214E-5
1.521150240E0,1.570307603E-5
1.541987914E0,-1.698507251E-5
1.562825589E0,-2.020425346E-5
1.583663263E0,4.895632948E-6
1.604500938E0,6.065990247E-6
1.625338612E0,-1.369395965E-5
1.646176287E0,-9.860947777E-6
1.667013961E0,6.713723109E-6
1.687851636E0,-4.202309419E-6
1.708689310E0,-1.798754822E-5
1.729526985E0,-1.433026065E-6
1.750364659E0,1.196383082E-5
1.771202334E0,-6.669420603E-6
1.792040008E0,-2.524159998E-5
1.812877683E0,-9.346874294E-6
1.833715357E0,1.590440946E-5
1.854553032E0,7.621055725E-6
1.875390706E0,-1.793562389E-5
1.896228381E0,-1.977546741E-5
1.917066055E0,-1.806320311E-6
1.937903730E0,8.866941983E-6
1.958741404E0,2.041744853E-6
1.979579079E0,-1.122889631E-5
2.000416753E0,-1.297822162E-5
2.021254428E0,-4.215168943E-6
2.042092103E0,5.418449396E-7
2.062929777E0,-1.059557630E-6
2.083767452E0,-2.240778958E-6
2.104605126E0,-3.338894294E-6
2.125442801E0,-7.956322257E-6
2.146280475E0,-8.709068246E-6
2.167118150E0,4.642789793E-8
2.187955824E0,5.121153796E-6
2.208793499E0,-3.509825428E-6
2.229631173E0,-1.296246610E-5
2.250468848E0,-5.399398799E-6
2.271306522E0,9.388414509E-6
2.292144197E0,3.962507491E-6
2.312981871E0,-1.479614439E-5
2.333819546E0,-1.384967099E-5
2.354657220E0,7.035374659E-6
2.375494895E0,1.422636135E-5
2.396332569E0,-5.530413705E-6
2.417170244E0,-1.985317730E-5
2.438007918E0,-4.249019936E-6
2.458845593E0,1.306422289E-5
2.479683267E0,4.043808588E-6
2.500520942E0,-1.116484726E-5
2.521358616E0,-6.664807479E-6
2.542196291E0,4.142258227E-6
2.563033965E0,-7.421372473E-7
2.583871640E0,-6.446103988E-6
2.604709314E0,3.971281178E-6
2.625546989E0,6.822478042E-6
2.646384663E0,-9.241194432E-6
2.667222338E0,-1.130887082E-5
2.688060013E0,1.016102039E-5
2.708897687E0,1.464491367E-5
2.729735362E0,-1.252162723E-5
2.750573036E0,-2.196057474E-5
2.771410711E0,1.063795119E-5
2.792248385E0,2.661568783E-5
2.813086060E0,-6.827227532E-6
2.833923734E0,-2.720523055E-5
2.854761409E0,9.631561109E-7
2.875599083E0,2.143762551E-5
2.896436758E0,2.420003846E-6
2.917274432E0,-1.234692130E-5
2.938112107E0,-2.786567517E-7
2.958949781E0,4.649863284E-6
2.979787456E0,-6.034092956E-6
3.000625130E0,-3.852943099E-7
3.021462805E0,1.465467142E-5
3.042300479E0,3.862090258E-6
3.063138154E0,-1.624402146E-5
3.083975828E0,-7.944968341E-6
3.104813503E0,1.387400210E-5
3.125651177E0,1.360516575E-5
3.146488852E0,-5.035859085E-6
3.167326526E0,-1.349197937E-5
3.188164201E0,-2.189380445E-6
3.209001875E0,1.196970231E-5
3.229839550E0,1.079210204E-5
3.250677224E0,-4.799440134E-6
3.271514899E0,-1.387098002E-5
3.292352573E0,6.950358856E-7
3.313190248E0,1.785964431E-5
3.334027922E0,5.163488195E-6
3.354865597E0,-1.525970995E-5
3.375703272E0,-4.256174889E-6
3.396540946E0,1.450270637E-5
3.417378621E0,6.440884696E-6
3.438216295E0,-7.842904501E-6
3.459053970E0,-3.179151406E-6
3.479891644E0,8.122334142E-6
3.500729319E0,4.173449075E-6
3.521566993E0,-6.644413417E-6
3.542404668E0,2.609302348E-7
3.563242342E0,1.020841848E-5
3.584080017E0,1.330141344E-6
3.604917691E0,-6.364971264E-6
3.625755366E0,-1.626850822E-6
3.646593040E0,3.710352287E-6
3.667430715E0,6.388274471E-6
3.688268389E0,2.673284797E-6
3.709106064E0,-3.890382236E-6
3.729943738E0,-3.760435684E-6
3.750781413E0,9.253125202E-7
3.771619087E0,7.129491866E-6
3.792456762E0,5.646135445E-6
3.813294436E0,-4.769241180E-6
3.834132111E0,-4.229272403E-6
3.854969785E0,4.154278666E-6
3.875807460E0,3.713063612E-6
3.896645134E0,7.778774392E-8
3.917482809E0,-1.517070759E-6
3.938320483E0,-1.585155053E-7
3.959158158E0,3.223625212E-6
3.979995832E0,7.111022690E-7
4.000833507E0,-2.061623794E-6
4.021671181E0,6.188696122E-8
4.042508856E0,2.288865755E-7
4.063346531E0,7.013273582E-7
4.084184205E0,2.198905800E-6
4.105021880E0,1.169782227E-6
4.125859554E0,-1.001838386E-6
4.146697229E0,-5.173073040E-6
4.167534903E0,-4.074025859E-6
4.188372578E0,7.942509069E-6
4.209210252E0,1.118661311E-5
4.230047927E0,-5.687929751E-6
4.250885601E0,-1.705533219E-5
4.271723276E0,-1.317243800E-6
4.292560950E0,1.787218846E-5
4.313398625E0,6.880783536E-6
4.334236299E0,-1.431478249E-5
4.355073974E0,-8.437121411E-6
4.375911648E0,7.466422820E-6
4.396749323E0,4.136649127E-6
4.417586997E0,-4.864014635E-6
4.438424672E0,-2.076014867E-8
4.459262346E0,6.001767598E-6
4.480100021E0,-2.891838047E-6
4.500937695E0,-8.429844545E-6
4.521775370E0,3.659388304E-6
4.542613044E0,8.403442293E-6
4.563450719E0,-3.104512672E-6
4.584288393E0,-6.647351479E-6
4.605126068E0,2.504275759E-6
4.625963742E0,6.089277904E-6
4.646801417E0,-2.530267511E-6
4.667639091E0,-7.355747902E-6
4.688476766E0,2.124989049E-6
4.709314441E0,8.526982012E-6
4.730152115E0,9.682245769E-7
4.750989790E0,-6.231152813E-6
4.771827464E0,-4.420398825E-6
4.792665139E0,2.334632094E-6
4.813502813E0,5.913228547E-6
4.834340488E0,3.905988897E-7
4.855178162E0,-4.015343342E-6
4.876015837E0,8.992217253E-7
4.896853511E0,3.253954574E-6
4.917691186E0,-2.284866483E-6
4.938528860E0,-3.846725741E-6
4.959366535E0,3.753583152E-6
4.980204209E0,7.944803736E-6
5.001041884E0,-1.790180492E-6
5.021879558E0,-1.002710033E-5
