"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,7.781633281E-8
2.083767452E-2,6.841180940E-8
4.167534903E-2,7.539870811E-8
6.251302355E-2,7.033590127E-8
8.335069806E-2,7.086880855E-8
1.041883726E-1,7.317397206E-8
1.250260471E-1,6.692611061E-8
1.458637216E-1,7.491771798E-8
1.667013961E-1,6.531795308E-8
1.875390706E-1,7.333823788E-8
2.083767452E-1,6.648729122E-8
2.292144197E-1,6.926700351E-8
2.500520942E-1,6.926404903E-8
2.708897687E-1,6.465091239E-8
2.917274432E-1,7.126677805E-8
3.125651177E-1,6.188290656E-8
3.334027922E-1,7.042153678E-8
3.542404668E-1,6.211443127E-8
3.750781413E-1,6.683717294E-8
3.959158158E-1,6.463593491E-8
4.167534903E-1,6.210051506E-8
4.375911648E-1,6.716330985E-8
4.584288393E-1,5.870360657E-8
4.792665139E-1,6.741018336E-8
5.001041884E-1,5.827104276E-8
5.209418629E-1,6.472712048E-8
5.417795374E-1,6.050901348E-8
5.626172119E-1,6.021732725E-8
5.834548864E-1,6.340977173E-8
6.042925610E-1,5.632347857E-8
6.251302355E-1,6.459318409E-8
6.459679100E-1,5.505094064E-8
6.668055845E-1,6.280023197E-8
6.876432590E-1,5.674327664E-8
7.084809335E-1,5.869641770E-8
7.293186080E-1,5.983052397E-8
7.501562826E-1,5.451063794E-8
7.709939571E-1,6.185574954E-8
7.918316316E-1,5.243467888E-8
8.126693061E-1,6.099591968E-8
8.335069806E-1,5.336392830E-8
8.543446551E-1,5.732193823E-8
8.751823297E-1,5.620175905E-8
8.960200042E-1,5.278394347E-8
9.168576787E-1,5.863075840E-8
9.376953532E-1,4.977092748E-8
9.585330277E-1,5.854290758E-8
9.793707022E-1,4.971521765E-8
1.000208377E0,5.541870966E-8
1.021046051E0,5.205844116E-8
1.041883726E0,5.069574876E-8
1.062721400E0,5.463842850E-8
1.083559075E0,4.675731523E-8
1.104396749E0,5.513794988E-8
1.125234424E0,4.552522771E-8
1.146072098E0,5.258125045E-8
1.166909773E0,4.715716013E-8
1.187747447E0,4.796009651E-8
1.208585122E0,4.984408830E-8
1.229422796E0,4.349748141E-8
1.250260471E0,5.110447117E-8
1.271098145E0,4.132133154E-8
1.291935820E0,4.934410507E-8
1.312773494E0,4.214672650E-8
1.333611169E0,4.502142331E-8
1.354448844E0,4.469352458E-8
1.375286518E0,4.021460065E-8
1.396124193E0,4.661265863E-8
1.416961867E0,3.728440894E-8
1.437799542E0,4.591744516E-8
1.458637216E0,3.748666310E-8
1.479474891E0,4.241096332E-8
1.500312565E0,4.000611683E-8
1.521150240E0,3.771536273E-8
1.541987914E0,4.257950084E-8
1.562825589E0,3.423756860E-8
1.583663263E0,4.292897953E-8
1.604500938E0,3.368486628E-8
1.625338612E0,4.028704428E-8
1.646176287E0,3.586864967E-8
1.667013961E0,3.584146260E-8
1.687851636E0,3.885626127E-8
1.708689310E0,3.198061030E-8
1.729526985E0,4.023396201E-8
1.750364659E0,3.074155124E-8
1.771202334E0,3.865955649E-8
1.792040008E0,3.248400497E-8
1.812877683E0,3.473555713E-8
1.833715357E0,3.566978639E-8
1.854553032E0,3.059686825E-8
1.875390706E0,3.789001975E-8
1.896228381E0,2.860328969E-8
1.917066055E0,3.732209635E-8
1.937903730E0,2.968159441E-8
1.958741404E0,3.401031565E-8
