"Time (ms)","Recording (a.u.)"
0.000000000E0,1.067891353E-4
2.083767452E-2,2.677257871E-4
4.167534903E-2,1.509347203E-4
6.251302355E-2,2.184119949E-4
8.335069806E-2,2.703568607E-4
1.041883726E-1,1.508490095E-4
1.250260471E-1,3.111531842E-4
1.458637216E-1,1.362346520E-4
1.667013961E-1,2.913825447E-4
1.875390706E-1,1.296392002E-4
2.083767452E-1,1.900366042E-4
2.292144197E-1,1.459953201E-4
2.500520942E-1,6.010505240E-5
2.708897687E-1,1.478025806E-4
2.917274432E-1,1.115153464E-5
3.125651177E-1,2.313206496E-4
3.334027922E-1,5.268606037E-5
3.542404668E-1,1.907341648E-4
3.750781413E-1,1.144179114E-4
3.959158158E-1,9.568336100E-5
4.167534903E-1,1.717427513E-4
4.375911648E-1,-3.556693264E-5
4.584288393E-1,1.528980065E-4
4.792665139E-1,1.206975867E-5
5.001041884E-1,1.664509764E-4
5.209418629E-1,2.701585618E-5
5.417795374E-1,2.115176176E-5
5.626172119E-1,4.049219569E-5
5.834548864E-1,-1.060750801E-4
6.042925610E-1,7.238742546E-5
6.251302355E-1,-8.143643936E-5
6.459679100E-1,1.133897749E-4
6.668055845E-1,-4.661991625E-5
6.876432590E-1,-3.497969010E-5
7.084809335E-1,-4.148238440E-5
7.293186080E-1,-1.456254686E-4
7.501562826E-1,-3.826906323E-5
7.709939571E-1,-1.620631374E-4
7.918316316E-1,2.950745693E-5
8.126693061E-1,-1.474284800E-4
8.335069806E-1,-3.196032048E-5
8.543446551E-1,-1.416872838E-4
8.751823297E-1,-1.963462564E-4
8.960200042E-1,-5.922660057E-5
9.168576787E-1,-2.299388871E-4
9.376953532E-1,-6.462991587E-5
9.585330277E-1,-2.432879119E-4
9.793707022E-1,-9.244352259E-5
1.000208377E0,-1.964242692E-4
1.021046051E0,-2.034012432E-4
1.041883726E0,-1.148993106E-4
1.062721400E0,-2.378771896E-4
1.083559075E0,-1.047754486E-4
1.104396749E0,-3.145833616E-4
1.125234424E0,-1.282491721E-4
1.146072098E0,-2.531146456E-4
1.166909773E0,-2.021068649E-4
1.187747447E0,-1.493533491E-4
1.208585122E0,-2.670497634E-4
1.229422796E0,-1.432223798E-4
1.250260471E0,-3.415330430E-4
1.271098145E0,-1.991100726E-4
1.291935820E0,-3.539454192E-4
1.312773494E0,-2.700679179E-4
1.333611169E0,-2.747396356E-4
1.354448844E0,-3.308322048E-4
1.375286518E0,-2.564940078E-4
1.396124193E0,-3.985107178E-4
