"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,4.241287631E-7
2.083767452E-2,4.173637020E-7
4.167534903E-2,4.140969184E-7
6.251302355E-2,4.086739366E-7
8.335069806E-2,4.028420650E-7
1.041883726E-1,3.944412340E-7
1.250260471E-1,3.859302449E-7
1.458637216E-1,3.766192323E-7
1.667013961E-1,3.671059027E-7
1.875390706E-1,3.548280692E-7
2.083767452E-1,3.424675315E-7
2.292144197E-1,3.310829389E-7
2.500520942E-1,3.188328760E-7
2.708897687E-1,3.063333372E-7
2.917274432E-1,2.929167118E-7
3.125651177E-1,2.794438738E-7
3.334027922E-1,2.653492587E-7
3.542404668E-1,2.512497235E-7
3.750781413E-1,2.363800694E-7
3.959158158E-1,2.225066183E-7
4.167534903E-1,2.076636969E-7
4.375911648E-1,1.925204926E-7
4.584288393E-1,1.765940028E-7
4.792665139E-1,1.608074547E-7
5.001041884E-1,1.438000275E-7
5.209418629E-1,1.275088853E-7
5.417795374E-1,1.098580228E-7
5.626172119E-1,9.264132773E-8
5.834548864E-1,7.458445706E-8
6.042925610E-1,5.688134123E-8
6.251302355E-1,3.810866543E-8
6.459679100E-1,1.995166747E-8
6.668055845E-1,1.148136345E-9
6.876432590E-1,-1.713539760E-8
7.084809335E-1,-3.565816452E-8
7.293186080E-1,-5.383689469E-8
7.501562826E-1,-7.189775088E-8
7.709939571E-1,-8.917135018E-8
7.918316316E-1,-1.065253489E-7
8.126693061E-1,-1.232027679E-7
8.335069806E-1,-1.391212010E-7
8.543446551E-1,-1.544748883E-7
8.751823297E-1,-1.688510533E-7
8.960200042E-1,-1.824387898E-7
9.168576787E-1,-1.951951073E-7
9.376953532E-1,-2.073145596E-7
9.585330277E-1,-2.187787217E-7
9.793707022E-1,-2.295883557E-7
1.000208377E0,-2.392581805E-7
1.021046051E0,-2.484367167E-7
1.041883726E0,-2.564183976E-7
1.062721400E0,-2.642477292E-7
1.083559075E0,-2.710152615E-7
1.104396749E0,-2.777721079E-7
1.125234424E0,-2.830541660E-7
1.146072098E0,-2.883682842E-7
1.166909773E0,-2.924176200E-7
1.187747447E0,-2.962811421E-7
1.208585122E0,-2.989987362E-7
1.229422796E0,-3.016165064E-7
1.250260471E0,-3.032712462E-7
1.271098145E0,-3.044713406E-7
1.291935820E0,-3.042684710E-7
1.312773494E0,-3.035922851E-7
1.333611169E0,-3.019854744E-7
1.354448844E0,-2.993349430E-7
1.375286518E0,-2.956724902E-7
1.396124193E0,-2.912737424E-7
1.416961867E0,-2.853224402E-7
1.437799542E0,-2.785351366E-7
1.458637216E0,-2.708221071E-7
1.479474891E0,-2.617888873E-7
1.500312565E0,-2.525048330E-7
1.521150240E0,-2.418400616E-7
1.541987914E0,-2.307405871E-7
1.562825589E0,-2.187752613E-7
1.583663263E0,-2.062292005E-7
1.604500938E0,-1.929145091E-7
1.625338612E0,-1.797397344E-7
1.646176287E0,-1.655140325E-7
1.667013961E0,-1.514965858E-7
1.687851636E0,-1.365653610E-7
1.708689310E0,-1.217825666E-7
1.729526985E0,-1.065062234E-7
1.750364659E0,-9.136262608E-8
1.771202334E0,-7.568126740E-8
1.792040008E0,-6.065707485E-8
1.812877683E0,-4.477640063E-8
1.833715357E0,-2.931175731E-8
1.854553032E0,-1.343231663E-8
1.875390706E0,2.203932360E-9
1.896228381E0,1.810867649E-8
1.917066055E0,3.373314458E-8
1.937903730E0,4.921506577E-8
1.958741404E0,6.456028621E-8
1.979579079E0,7.980949504E-8
2.000416753E0,9.501965077E-8
2.021254428E0,1.097065516E-7
2.042092103E0,1.244230718E-7
2.062929777E0,1.386363100E-7
2.083767452E0,1.530226399E-7
2.104605126E0,1.664956622E-7
2.125442801E0,1.799373496E-7
2.146280475E0,1.922258122E-7
2.167118150E0,2.047703863E-7
2.187955824E0,2.158712497E-7
2.208793499E0,2.269248602E-7
2.229631173E0,2.369169132E-7
2.250468848E0,2.464785289E-7
2.271306522E0,2.547205956E-7
2.292144197E0,2.624397514E-7
2.312981871E0,2.691121031E-7
2.333819546E0,2.751547649E-7
2.354657220E0,2.800002344E-7
2.375494895E0,2.842767755E-7
2.396332569E0,2.873107282E-7
2.417170244E0,2.895673557E-7
2.438007918E0,2.905420168E-7
2.458845593E0,2.909040366E-7
2.479683267E0,2.903707009E-7
2.500520942E0,2.893257058E-7
2.521358616E0,2.870326621E-7
2.542196291E0,2.841525299E-7
2.563033965E0,2.803742927E-7
2.583871640E0,2.760775913E-7
2.604709314E0,2.710108849E-7
2.625546989E0,2.653567957E-7
2.646384663E0,2.590537617E-7
2.667222338E0,2.519010282E-7
2.688060013E0,2.439213776E-7
2.708897687E0,2.351721123E-7
2.729735362E0,2.260185646E-7
2.750573036E0,2.161540241E-7
2.771410711E0,2.057111369E-7
2.792248385E0,1.946695714E-7
2.813086060E0,1.830321368E-7
2.833923734E0,1.704010803E-7
2.854761409E0,1.571618329E-7
2.875599083E0,1.433265888E-7
2.896436758E0,1.294902036E-7
2.917274432E0,1.148576548E-7
2.938112107E0,9.984021875E-8
2.958949781E0,8.447463642E-8
2.979787456E0,6.876748302E-8
3.000625130E0,5.272413921E-8
3.021462805E0,3.656006301E-8
3.042300479E0,2.042125858E-8
3.063138154E0,4.313146392E-9
3.083975828E0,-1.181970869E-8
3.104813503E0,-2.825886197E-8
3.125651177E0,-4.435659096E-8
3.146488852E0,-6.044181342E-8
3.167326526E0,-7.631415068E-8
3.188164201E0,-9.213860622E-8
3.209001875E0,-1.073203936E-7
3.229839550E0,-1.223326788E-7
3.250677224E0,-1.368566892E-7
3.271514899E0,-1.515225523E-7
3.292352573E0,-1.655406817E-7
3.313190248E0,-1.795500022E-7
3.334027922E0,-1.927626978E-7
3.354865597E0,-2.060832761E-7
3.375703272E0,-2.185489586E-7
3.396540946E0,-2.307619306E-7
3.417378621E0,-2.423485755E-7
3.438216295E0,-2.534855097E-7
3.459053970E0,-2.639505644E-7
3.479891644E0,-2.738381858E-7
3.500729319E0,-2.828160452E-7
3.521566993E0,-2.910086414E-7
3.542404668E0,-2.982464999E-7
3.563242342E0,-3.049402405E-7
3.584080017E0,-3.106232456E-7
3.604917691E0,-3.158548206E-7
3.625755366E0,-3.201494833E-7
3.646593040E0,-3.237951849E-7
3.667430715E0,-3.261693470E-7
3.688268389E0,-3.276915792E-7
3.709106064E0,-3.282718638E-7
3.729943738E0,-3.279734776E-7
3.750781413E0,-3.266932435E-7
3.771619087E0,-3.247047386E-7
3.792456762E0,-3.218518118E-7
3.813294436E0,-3.181926007E-7
3.834132111E0,-3.134860840E-7
3.854969785E0,-3.081698976E-7
3.875807460E0,-3.020048600E-7
3.896645134E0,-2.952966877E-7
3.917482809E0,-2.880062559E-7
3.938320483E0,-2.796813600E-7
3.959158158E0,-2.707368866E-7
3.979995832E0,-2.610358357E-7
4.000833507E0,-2.507175749E-7
4.021671181E0,-2.394914093E-7
4.042508856E0,-2.279257320E-7
4.063346531E0,-2.157642839E-7
4.084184205E0,-2.031397806E-7
4.105021880E0,-1.897640055E-7
4.125859554E0,-1.757153946E-7
4.146697229E0,-1.613776973E-7
4.167534903E0,-1.466932261E-7
4.188372578E0,-1.313774372E-7
4.209210252E0,-1.159529013E-7
4.230047927E0,-1.001910221E-7
4.250885601E0,-8.454487973E-8
4.271723276E0,-6.824821007E-8
4.292560950E0,-5.207560927E-8
4.313398625E0,-3.573415574E-8
4.334236299E0,-1.982122965E-8
4.355073974E0,-3.736041790E-9
4.375911648E0,1.231476275E-8
4.396749323E0,2.822217910E-8
4.417586997E0,4.379428702E-8
4.438424672E0,5.934435362E-8
4.459262346E0,7.442152798E-8
4.480100021E0,8.905576613E-8
4.500937695E0,1.034785930E-7
4.521775370E0,1.173661528E-7
4.542613044E0,1.311713577E-7
4.563450719E0,1.440803392E-7
4.584288393E0,1.568644100E-7
4.605126068E0,1.689279625E-7
4.625963742E0,1.805063049E-7
4.646801417E0,1.915401104E-7
4.667639091E0,2.023416337E-7
4.688476766E0,2.121996603E-7
4.709314441E0,2.218347660E-7
4.730152115E0,2.304657808E-7
4.750989790E0,2.388023524E-7
4.771827464E0,2.460299152E-7
4.792665139E0,2.526268526E-7
4.813502813E0,2.584394665E-7
4.834340488E0,2.636071034E-7
4.855178162E0,2.678108096E-7
4.876015837E0,2.711333752E-7
4.896853511E0,2.738518838E-7
4.917691186E0,2.758279949E-7
4.938528860E0,2.766477073E-7
4.959366535E0,2.768290005E-7
4.980204209E0,2.759128378E-7
5.001041884E0,2.746315052E-7
5.021879558E0,2.721388299E-7
5.042717233E0,2.688214186E-7
5.063554907E0,2.647169459E-7
5.084392582E0,2.597145085E-7
5.105230256E0,2.539836271E-7
5.126067931E0,2.474663554E-7
5.146905605E0,2.403972049E-7
5.167743280E0,2.326368909E-7
5.188580954E0,2.240085570E-7
5.209418629E0,2.148379009E-7
5.230256303E0,2.051898741E-7
5.251093978E0,1.946814348E-7
5.271931652E0,1.836536575E-7
5.292769327E0,1.721164426E-7
5.313607001E0,1.603309209E-7
5.334444676E0,1.476855430E-7
5.355282350E0,1.347885963E-7
5.376120025E0,1.214894100E-7
5.396957700E0,1.077483408E-7
5.417795374E0,9.361781705E-8
5.438633049E0,7.962223243E-8
5.459470723E0,6.496724038E-8
5.480308398E0,5.047205907E-8
5.501146072E0,3.541879704E-8
5.521983747E0,2.054885736E-8
5.542821421E0,5.394029733E-9
5.563659096E0,-9.826449614E-9
5.584496770E0,-2.500823052E-8
5.605334445E0,-3.988017404E-8
5.626172119E0,-5.476115062E-8
5.647009794E0,-6.945910281E-8
5.667847468E0,-8.435133358E-8
5.688685143E0,-9.860231179E-8
5.709522817E0,-1.128313967E-7
5.730360492E0,-1.268733025E-7
5.751198166E0,-1.405203957E-7
5.772035841E0,-1.535452976E-7
5.792873515E0,-1.661586981E-7
5.813711190E0,-1.786029911E-7
5.834548864E0,-1.901657675E-7
5.855386539E0,-2.011821633E-7
5.876224213E0,-2.114963893E-7
5.897061888E0,-2.216652880E-7
5.917899562E0,-2.307743511E-7
5.938737237E0,-2.395551433E-7
5.959574911E0,-2.472300378E-7
5.980412586E0,-2.553553188E-7
6.001250260E0,-2.618589280E-7
6.022087935E0,-2.682673541E-7
6.042925610E0,-2.732314582E-7
6.063763284E0,-2.780949036E-7
6.084600959E0,-2.815602174E-7
6.105438633E0,-2.848784953E-7
6.126276308E0,-2.865844497E-7
6.147113982E0,-2.883279595E-7
6.167951657E0,-2.889817028E-7
6.188789331E0,-2.888678038E-7
6.209627006E0,-2.877511620E-7
6.230464680E0,-2.859944510E-7
6.251302355E0,-2.836477425E-7
6.272140029E0,-2.804450537E-7
6.292977704E0,-2.765011418E-7
6.313815378E0,-2.715730000E-7
6.334653053E0,-2.663528706E-7
6.355490727E0,-2.596597783E-7
6.376328402E0,-2.525345197E-7
6.397166076E0,-2.444403579E-7
6.418003751E0,-2.358727844E-7
6.438841425E0,-2.265961119E-7
6.459679100E0,-2.168226813E-7
6.480516774E0,-2.058249861E-7
6.501354449E0,-1.947935455E-7
6.522192123E0,-1.826556659E-7
6.543029798E0,-1.702914816E-7
6.563867472E0,-1.571393481E-7
6.584705147E0,-1.441325534E-7
6.605542821E0,-1.305052373E-7
6.626380496E0,-1.166453473E-7
6.647218170E0,-1.021019268E-7
6.668055845E0,-8.777715266E-8
6.688893519E0,-7.322848635E-8
6.709731194E0,-5.839671232E-8
6.730568869E0,-4.341852054E-8
6.751406543E0,-2.884956857E-8
6.772244218E0,-1.379647734E-8
6.793081892E0,1.464012442E-9
6.813919567E0,1.690996964E-8
6.834757241E0,3.224017169E-8
6.855594916E0,4.724415490E-8
6.876432590E0,6.237423560E-8
6.897270265E0,7.711971938E-8
6.918107939E0,9.177258487E-8
6.938945614E0,1.061282416E-7
6.959783288E0,1.204694737E-7
6.980620963E0,1.342721025E-7
7.001458637E0,1.478103226E-7
7.022296312E0,1.607235724E-7
7.043133986E0,1.736350962E-7
7.063971661E0,1.854601245E-7
7.084809335E0,1.973015227E-7
7.105647010E0,2.080412554E-7
7.126484684E0,2.190176967E-7
7.147322359E0,2.285543330E-7
7.168160033E0,2.381328704E-7
7.188997708E0,2.463439147E-7
7.209835382E0,2.543240381E-7
7.230673057E0,2.608487503E-7
7.251510731E0,2.674841274E-7
7.272348406E0,2.727151449E-7
7.293186080E0,2.774497850E-7
7.314023755E0,2.812880962E-7
7.334861429E0,2.846842474E-7
7.355699104E0,2.870959430E-7
7.376536778E0,2.885361345E-7
7.397374453E0,2.895801405E-7
7.418212128E0,2.896861684E-7
7.439049802E0,2.890288236E-7
7.459887477E0,2.875245641E-7
7.480725151E0,2.855045792E-7
7.501562826E0,2.823447020E-7
7.522400500E0,2.788586236E-7
7.543238175E0,2.744004093E-7
7.564075849E0,2.697197914E-7
7.584913524E0,2.636499468E-7
7.605751198E0,2.575244465E-7
7.626588873E0,2.503884056E-7
7.647426547E0,2.427821184E-7
7.668264222E0,2.339777759E-7
7.689101896E0,2.251711408E-7
7.709939571E0,2.153434330E-7
7.730777245E0,2.053106819E-7
7.751614920E0,1.942793996E-7
7.772452594E0,1.829852160E-7
7.793290269E0,1.710710792E-7
7.814127943E0,1.589362483E-7
7.834965618E0,1.456399884E-7
7.855803292E0,1.326426122E-7
7.876640967E0,1.191526351E-7
7.897478641E0,1.052110120E-7
7.918316316E0,9.090593295E-8
7.939153990E0,7.640069650E-8
7.959991665E0,6.202317440E-8
7.980829339E0,4.730578904E-8
8.001667014E0,3.263467342E-8
8.022504688E0,1.796049784E-8
8.043342363E0,3.505224724E-9
8.064180038E0,-1.115772140E-8
8.085017712E0,-2.554614445E-8
8.105855387E0,-4.015243890E-8
8.126693061E0,-5.422430345E-8
8.147530736E0,-6.856236680E-8
8.168368410E0,-8.249155900E-8
8.189206085E0,-9.632373319E-8
8.210043759E0,-1.094189882E-7
8.230881434E0,-1.230652399E-7
8.251719108E0,-1.355560732E-7
8.272556783E0,-1.480126030E-7
8.293394457E0,-1.597715400E-7
8.314232132E0,-1.717256405E-7
8.335069806E0,-1.825591211E-7
8.355907481E0,-1.930706432E-7
8.376745155E0,-2.030109569E-7
8.397582830E0,-2.126408326E-7
8.418420504E0,-2.211289441E-7
8.439258179E0,-2.294520300E-7
8.460095853E0,-2.367106598E-7
8.480933528E0,-2.436999604E-7
8.501771202E0,-2.495467388E-7
8.522608877E0,-2.545040959E-7
8.543446551E0,-2.588573971E-7
8.564284226E0,-2.622516522E-7
8.585121900E0,-2.646533078E-7
8.605959575E0,-2.661748365E-7
8.626797249E0,-2.674380045E-7
8.647634924E0,-2.674735072E-7
8.668472598E0,-2.668946591E-7
8.689310273E0,-2.652896683E-7
8.710147947E0,-2.634363433E-7
8.730985622E0,-2.602705402E-7
8.751823297E0,-2.566980173E-7
8.772660971E0,-2.519464702E-7
8.793498646E0,-2.471770106E-7
8.814336320E0,-2.409491296E-7
8.835173995E0,-2.342731721E-7
8.856011669E0,-2.267737474E-7
8.876849344E0,-2.188212015E-7
8.897687018E0,-2.100065320E-7
8.918524693E0,-2.007666900E-7
8.939362367E0,-1.906256017E-7
