"Time (ms)","Recording (a.u.)"
0.000000000E0,9.765625000E-4
2.083767452E-2,6.408691406E-4
4.167534903E-2,9.155273438E-4
6.251302355E-2,7.629394531E-4
8.335069806E-2,5.493164062E-4
1.041883726E-1,9.155273438E-4
1.250260471E-1,3.051757812E-4
1.458637216E-1,1.190185547E-3
1.667013961E-1,4.882812500E-4
1.875390706E-1,1.098632812E-3
2.083767452E-1,9.765625000E-4
2.292144197E-1,6.713867188E-4
2.500520942E-1,1.068115234E-3
2.708897687E-1,8.544921875E-4
2.917274432E-1,9.460449219E-4
3.125651177E-1,7.324218750E-4
3.334027922E-1,7.629394531E-4
3.542404668E-1,7.019042969E-4
3.750781413E-1,7.629394531E-4
3.959158158E-1,5.187988281E-4
4.167534903E-1,3.967285156E-4
4.375911648E-1,6.408691406E-4
4.584288393E-1,5.187988281E-4
4.792665139E-1,7.934570312E-4
5.001041884E-1,5.798339844E-4
5.209418629E-1,5.493164062E-4
5.417795374E-1,6.713867188E-4
5.626172119E-1,6.408691406E-4
5.834548864E-1,7.324218750E-4
6.042925610E-1,3.967285156E-4
6.251302355E-1,5.493164062E-4
6.459679100E-1,6.103515625E-5
6.668055845E-1,3.356933594E-4
6.876432590E-1,1.220703125E-4
7.084809335E-1,2.136230469E-4
7.293186080E-1,1.831054688E-4
7.501562826E-1,-2.746582031E-4
7.709939571E-1,-3.051757812E-5
7.918316316E-1,-2.746582031E-4
8.126693061E-1,-1.220703125E-4
8.335069806E-1,-5.187988281E-4
8.543446551E-1,-1.220703125E-4
8.751823297E-1,-1.525878906E-4
8.960200042E-1,-2.746582031E-4
9.168576787E-1,-3.051757812E-5
9.376953532E-1,-8.239746094E-4
9.585330277E-1,-1.831054688E-4
9.793707022E-1,-5.187988281E-4
1.000208377E0,-2.441406250E-4
1.021046051E0,-2.136230469E-4
1.041883726E0,-5.798339844E-4
1.062721400E0,-1.220703125E-4
1.083559075E0,-1.007080078E-3
1.104396749E0,-5.493164062E-4
1.125234424E0,-8.544921875E-4
1.146072098E0,-6.713867188E-4
1.166909773E0,-4.577636719E-4
1.187747447E0,-8.544921875E-4
1.208585122E0,-5.187988281E-4
1.229422796E0,-8.239746094E-4
1.250260471E0,-4.272460938E-4
1.271098145E0,-9.155273438E-4
1.291935820E0,-8.239746094E-4
1.312773494E0,-7.324218750E-4
1.333611169E0,-7.019042969E-4
1.354448844E0,-5.187988281E-4
1.375286518E0,-1.037597656E-3
1.396124193E0,-5.493164062E-4
1.416961867E0,-1.098632812E-3
1.437799542E0,-8.850097656E-4
1.458637216E0,-9.460449219E-4
1.479474891E0,-8.850097656E-4
1.500312565E0,-7.019042969E-4
1.521150240E0,-9.155273438E-4
1.541987914E0,-7.629394531E-4
1.562825589E0,-1.190185547E-3
1.583663263E0,-8.544921875E-4
