"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,1.782814823E-7
2.083767452E-2,1.070463521E-7
4.167534903E-2,5.052051204E-8
6.251302355E-2,4.284899323E-8
8.335069806E-2,1.445825140E-8
1.041883726E-1,1.177500591E-8
1.250260471E-1,4.769796225E-8
1.458637216E-1,6.817810003E-8
1.667013961E-1,3.840951506E-8
1.875390706E-1,3.758275881E-8
2.083767452E-1,3.566707140E-8
2.292144197E-1,2.307957321E-8
2.500520942E-1,1.810763808E-8
2.708897687E-1,2.343721515E-8
2.917274432E-1,3.113322900E-8
3.125651177E-1,2.065296324E-8
3.334027922E-1,2.614317271E-8
3.542404668E-1,2.399886507E-8
3.750781413E-1,3.165630166E-8
3.959158158E-1,3.631906014E-8
4.167534903E-1,4.256842327E-8
4.375911648E-1,4.988418874E-8
4.584288393E-1,3.914827826E-8
4.792665139E-1,4.113530180E-8
5.001041884E-1,3.548855645E-8
5.209418629E-1,4.129078885E-8
5.417795374E-1,3.817722381E-8
5.626172119E-1,3.781594771E-8
5.834548864E-1,3.931737338E-8
6.042925610E-1,3.386269218E-8
6.251302355E-1,3.962690993E-8
6.459679100E-1,3.243568703E-8
6.668055845E-1,3.929395742E-8
6.876432590E-1,3.429153662E-8
7.084809335E-1,3.434163011E-8
7.293186080E-1,3.554156685E-8
7.501562826E-1,3.134587751E-8
7.709939571E-1,3.464354910E-8
7.918316316E-1,2.701338485E-8
8.126693061E-1,3.509853239E-8
8.335069806E-1,3.067613361E-8
8.543446551E-1,3.555488965E-8
8.751823297E-1,3.737328621E-8
8.960200042E-1,3.523691329E-8
9.168576787E-1,3.829662909E-8
9.376953532E-1,3.126464069E-8
9.585330277E-1,3.866404682E-8
9.793707022E-1,3.207335406E-8
1.000208377E0,3.642782532E-8
1.021046051E0,3.404907825E-8
1.041883726E0,3.074955767E-8
1.062721400E0,3.194070116E-8
1.083559075E0,2.622395382E-8
1.104396749E0,3.266916183E-8
1.125234424E0,2.568289133E-8
1.146072098E0,3.124310355E-8
1.166909773E0,2.644481129E-8
1.187747447E0,2.496982367E-8
1.208585122E0,2.510859202E-8
1.229422796E0,1.940095718E-8
1.250260471E0,2.388053930E-8
1.271098145E0,1.820770714E-8
1.291935820E0,2.739777453E-8
1.312773494E0,2.385012090E-8
1.333611169E0,2.704588713E-8
1.354448844E0,2.603671720E-8
1.375286518E0,2.010051033E-8
1.396124193E0,2.418878205E-8
1.416961867E0,2.004225115E-8
1.437799542E0,3.040257515E-8
1.458637216E0,2.733448288E-8
1.479474891E0,3.305206974E-8
1.500312565E0,3.066014377E-8
1.521150240E0,2.683209107E-8
1.541987914E0,2.805023829E-8
1.562825589E0,1.975751332E-8
1.583663263E0,2.567389401E-8
1.604500938E0,1.862432857E-8
1.625338612E0,2.388556204E-8
1.646176287E0,2.073445540E-8
1.667013961E0,2.020151622E-8
1.687851636E0,2.150282835E-8
1.708689310E0,1.594865234E-8
1.729526985E0,2.366868320E-8
1.750364659E0,1.708382621E-8
1.771202334E0,2.326419476E-8
1.792040008E0,1.935642096E-8
1.812877683E0,1.917031429E-8
1.833715357E0,1.836627489E-8
1.854553032E0,1.485000144E-8
1.875390706E0,2.008318534E-8
1.896228381E0,1.314596180E-8
1.917066055E0,2.115769584E-8
1.937903730E0,1.666502813E-8
1.958741404E0,1.986474016E-8
1.979579079E0,1.890762457E-8
2.000416753E0,1.605527885E-8
2.021254428E0,1.911678302E-8
2.042092103E0,1.203453174E-8
2.062929777E0,1.888449430E-8
