"Time (ms)","Recording (a.u.)"
0.000000000E0,4.294921746E-5
2.083767452E-2,3.825532622E-5
4.167534903E-2,5.680383765E-5
6.251302355E-2,8.079662075E-5
8.335069806E-2,1.130543678E-4
1.041883726E-1,1.799510064E-4
1.250260471E-1,9.177470929E-5
1.458637216E-1,1.796119468E-4
1.667013961E-1,1.624189463E-4
1.875390706E-1,1.889606938E-4
2.083767452E-1,1.844821672E-4
2.292144197E-1,1.766431378E-4
2.500520942E-1,2.380491787E-4
2.708897687E-1,1.705976028E-4
2.917274432E-1,2.614060068E-4
3.125651177E-1,2.827434510E-4
3.334027922E-1,3.446339688E-4
3.542404668E-1,3.610723943E-4
3.750781413E-1,3.866012557E-4
3.959158158E-1,4.269290948E-4
4.167534903E-1,4.013304715E-4
4.375911648E-1,4.714108072E-4
4.584288393E-1,4.346523201E-4
4.792665139E-1,4.754229449E-4
5.001041884E-1,4.426344531E-4
5.209418629E-1,4.613634082E-4
5.417795374E-1,4.580755776E-4
5.626172119E-1,4.338869767E-4
5.834548864E-1,4.780601594E-4
6.042925610E-1,4.092766903E-4
6.251302355E-1,5.173544050E-4
6.459679100E-1,4.996331409E-4
6.668055845E-1,5.465957802E-4
6.876432590E-1,5.872442853E-4
7.084809335E-1,5.469729076E-4
7.293186080E-1,5.945981247E-4
7.501562826E-1,5.539106787E-4
7.709939571E-1,5.958717084E-4
7.918316316E-1,5.492227501E-4
8.126693061E-1,5.744498922E-4
8.335069806E-1,5.394222680E-4
8.543446551E-1,5.626936327E-4
8.751823297E-1,6.156539312E-4
8.960200042E-1,5.187618663E-4
9.168576787E-1,5.632339162E-4
9.376953532E-1,5.009806482E-4
9.585330277E-1,4.863128415E-4
9.793707022E-1,4.663877480E-4
1.000208377E0,5.465744762E-4
1.021046051E0,6.059858715E-4
1.041883726E0,5.895216018E-4
1.062721400E0,6.447954802E-4
1.083559075E0,5.419731606E-4
1.104396749E0,5.788874114E-4
1.125234424E0,5.371067673E-4
1.146072098E0,5.450642202E-4
1.166909773E0,5.312797148E-4
1.187747447E0,4.851937992E-4
1.208585122E0,5.562679144E-4
1.229422796E0,4.940946819E-4
1.250260471E0,5.468378076E-4
1.271098145E0,4.966216511E-4
1.291935820E0,5.187863717E-4
1.312773494E0,4.991148598E-4
1.333611169E0,4.555561463E-4
1.354448844E0,5.251335679E-4
1.375286518E0,4.619071260E-4
1.396124193E0,4.874622682E-4
1.416961867E0,4.098617355E-4
1.437799542E0,4.100318183E-4
1.458637216E0,3.822125145E-4
1.479474891E0,3.487492213E-4
1.500312565E0,3.621997894E-4
1.521150240E0,3.168039839E-4
1.541987914E0,3.513501142E-4
1.562825589E0,2.879956155E-4
1.583663263E0,3.552098642E-4
1.604500938E0,3.590559936E-4
1.625338612E0,3.903621109E-4
1.646176287E0,3.964466741E-4
1.667013961E0,3.347834863E-4
1.687851636E0,3.358801478E-4
1.708689310E0,2.397439966E-4
1.729526985E0,3.033068497E-4
1.750364659E0,2.474503708E-4
1.771202334E0,2.775245521E-4
1.792040008E0,2.847197466E-4
1.812877683E0,2.436995273E-4
1.833715357E0,3.255493357E-4
1.854553032E0,2.779897186E-4
1.875390706E0,3.139368491E-4
1.896228381E0,2.556928957E-4
1.917066055E0,3.059985465E-4
1.937903730E0,2.807800192E-4
1.958741404E0,2.353742020E-4
1.979579079E0,2.933442011E-4
2.000416753E0,2.225251810E-4
2.021254428E0,2.462473931E-4
2.042092103E0,1.867337560E-4
2.062929777E0,2.310870041E-4
2.083767452E0,2.214714768E-4
2.104605126E0,2.159834839E-4
2.125442801E0,2.023876295E-4
2.146280475E0,1.283682941E-4
2.167118150E0,1.976731874E-4
2.187955824E0,1.648426260E-4
2.208793499E0,2.846080170E-4
2.229631173E0,3.262757673E-4
2.250468848E0,3.373866784E-4
2.271306522E0,3.066872305E-4
2.292144197E0,2.060591360E-4
2.312981871E0,1.980821980E-4
2.333819546E0,1.296380506E-4
2.354657220E0,2.256830630E-4
2.375494895E0,2.249515965E-4
2.396332569E0,2.766865073E-4
2.417170244E0,3.311721375E-4
2.438007918E0,3.370243940E-4
2.458845593E0,3.813160001E-4
2.479683267E0,3.541786573E-4
2.500520942E0,4.183504789E-4
2.521358616E0,4.048969713E-4
2.542196291E0,4.878169275E-4
2.563033965E0,4.373017000E-4
2.583871640E0,4.339808365E-4
2.604709314E0,4.770547093E-4
2.625546989E0,3.929070663E-4
2.646384663E0,4.576155916E-4
2.667222338E0,3.789254115E-4
2.688060013E0,3.938115551E-4
2.708897687E0,3.693921317E-4
2.729735362E0,3.889800573E-4
2.750573036E0,4.503821256E-4
2.771410711E0,4.402979393E-4
2.792248385E0,5.278033204E-4
2.813086060E0,4.445075174E-4
2.833923734E0,4.446969542E-4
2.854761409E0,4.233269137E-4
2.875599083E0,4.368841765E-4
2.896436758E0,4.772954853E-4
2.917274432E0,5.179397995E-4
2.938112107E0,5.801633233E-4
2.958949781E0,5.187212955E-4
2.979787456E0,5.670218379E-4
3.000625130E0,5.120442947E-4
3.021462805E0,4.974772455E-4
3.042300479E0,5.123896408E-4
3.063138154E0,5.363862147E-4
3.083975828E0,5.419636145E-4
3.104813503E0,4.984290572E-4
3.125651177E0,5.324831582E-4
3.146488852E0,4.596177605E-4
3.167326526E0,4.864983493E-4
3.188164201E0,4.243924632E-4
3.209001875E0,4.291984951E-4
3.229839550E0,4.363593180E-4
3.250677224E0,3.712988982E-4
3.271514899E0,4.204354482E-4
3.292352573E0,3.604582162E-4
3.313190248E0,4.143659316E-4
3.334027922E0,3.505762434E-4
3.354865597E0,3.253284958E-4
3.375703272E0,3.076281573E-4
3.396540946E0,2.456959628E-4
3.417378621E0,2.984685125E-4
3.438216295E0,2.465236466E-4
3.459053970E0,2.506275196E-4
3.479891644E0,1.814216957E-4
3.500729319E0,2.001600806E-4
3.521566993E0,1.850211702E-4
3.542404668E0,1.988878939E-4
3.563242342E0,2.537021064E-4
3.584080017E0,2.161021403E-4
3.604917691E0,2.715470036E-4
3.625755366E0,1.977231004E-4
3.646593040E0,2.625939378E-4
3.667430715E0,2.393122559E-4
3.688268389E0,1.796482684E-4
3.709106064E0,2.008191077E-4
3.729943738E0,1.777453144E-4
3.750781413E0,1.748650393E-4
3.771619087E0,7.494823512E-5
3.792456762E0,1.425140363E-4
3.813294436E0,7.850790280E-5
3.834132111E0,6.441077858E-5
3.854969785E0,7.581843965E-5
3.875807460E0,6.894832768E-5
3.896645134E0,1.647162135E-4
3.917482809E0,8.724599320E-5
3.938320483E0,1.638983376E-4
3.959158158E0,1.569539018E-4
3.979995832E0,1.623956487E-4
4.000833507E0,1.630836778E-4
4.021671181E0,1.454390876E-4
4.042508856E0,1.530685695E-4
4.063346531E0,7.964641554E-5
4.084184205E0,1.375930005E-4
4.105021880E0,5.412768951E-5
4.125859554E0,9.359695832E-5
4.146697229E0,6.142059283E-5
4.167534903E0,4.027739124E-5
4.188372578E0,8.530291962E-5
4.209210252E0,-1.778781734E-5
4.230047927E0,6.884033064E-5
4.250885601E0,2.783973105E-5
4.271723276E0,4.356155841E-5
4.292560950E0,7.878447650E-5
4.313398625E0,1.247776381E-4
4.334236299E0,1.571627217E-4
4.355073974E0,1.324479817E-4
4.375911648E0,2.036536753E-4
4.396749323E0,1.657923858E-4
4.417586997E0,2.382903185E-4
4.438424672E0,2.009934688E-4
4.459262346E0,2.317472099E-4
4.480100021E0,2.373989992E-4
4.500937695E0,1.601419353E-4
4.521775370E0,2.386269043E-4
4.542613044E0,2.007878793E-4
4.563450719E0,2.665989159E-4
4.584288393E0,2.652640105E-4
4.605126068E0,3.165173694E-4
4.625963742E0,3.821273858E-4
4.646801417E0,3.895750269E-4
4.667639091E0,4.226891615E-4
4.688476766E0,3.917383729E-4
4.709314441E0,4.316649283E-4
4.730152115E0,3.843522281E-4
4.750989790E0,4.350153613E-4
4.771827464E0,4.224926815E-4
4.792665139E0,4.310609074E-4
4.813502813E0,4.670222988E-4
4.834340488E0,4.323671455E-4
4.855178162E0,4.761443124E-4
4.876015837E0,4.285035830E-4
4.896853511E0,5.075538647E-4
4.917691186E0,4.931902513E-4
4.938528860E0,4.842786293E-4
4.959366535E0,5.143729504E-4
4.980204209E0,5.488748429E-4
5.001041884E0,6.098669837E-4
5.021879558E0,5.807839334E-4
5.042717233E0,6.973773707E-4
5.063554907E0,6.654221215E-4
5.084392582E0,6.921133026E-4
5.105230256E0,7.175132632E-4
5.126067931E0,7.020473713E-4
5.146905605E0,7.521247608E-4
5.167743280E0,7.305745385E-4
5.188580954E0,7.634229842E-4
5.209418629E0,7.021630881E-4
5.230256303E0,7.878578035E-4
5.251093978E0,7.698466652E-4
5.271931652E0,7.600603276E-4
5.292769327E0,8.396233316E-4
5.313607001E0,8.180005243E-4
5.334444676E0,8.809524588E-4
5.355282350E0,8.519655094E-4
5.376120025E0,9.130887920E-4
5.396957700E0,8.942174027E-4
5.417795374E0,9.221066721E-4
5.438633049E0,9.592979914E-4
5.459470723E0,9.582152124E-4
5.480308398E0,9.972886182E-4
5.501146072E0,9.236929473E-4
5.521983747E0,1.021012897E-3
5.542821421E0,9.833070217E-4
5.563659096E0,1.007054583E-3
5.584496770E0,1.012762776E-3
5.605334445E0,9.759622044E-4
5.626172119E0,1.049583545E-3
5.647009794E0,1.003456768E-3
5.667847468E0,1.100500580E-3
5.688685143E0,1.073375577E-3
5.709522817E0,1.070902450E-3
5.730360492E0,1.035524532E-3
5.751198166E0,1.013413770E-3
5.772035841E0,1.065690536E-3
5.792873515E0,9.726400604E-4
5.813711190E0,1.017604140E-3
5.834548864E0,9.945936035E-4
5.855386539E0,9.967244696E-4
5.876224213E0,9.557232261E-4
5.897061888E0,9.603878134E-4
5.917899562E0,9.821119020E-4
5.938737237E0,9.264787659E-4
5.959574911E0,9.504337213E-4
5.980412586E0,8.822222007E-4
6.001250260E0,9.290977614E-4
6.022087935E0,8.862033719E-4
6.042925610E0,8.876639185E-4
6.063763284E0,9.156590095E-4
6.084600959E0,8.803602541E-4
6.105438633E0,8.771014400E-4
6.126276308E0,8.108213660E-4
6.147113982E0,8.517155657E-4
6.167951657E0,7.478303742E-4
6.188789331E0,7.312032394E-4
6.209627006E0,7.019884069E-4
6.230464680E0,6.806888850E-4
6.251302355E0,7.442206261E-4
6.272140029E0,6.748264423E-4
6.292977704E0,7.325193146E-4
6.313815378E0,6.869989447E-4
6.334653053E0,6.550949183E-4
6.355490727E0,6.015836261E-4
6.376328402E0,5.755985621E-4
6.397166076E0,5.706061493E-4
6.418003751E0,5.259790341E-4
6.438841425E0,5.934475339E-4
6.459679100E0,5.836189375E-4
6.480516774E0,6.232414162E-4
6.501354449E0,5.548486952E-4
6.522192123E0,5.862629041E-4
6.543029798E0,5.949195474E-4
6.563867472E0,5.617915886E-4
6.584705147E0,6.004867610E-4
6.605542821E0,5.038388772E-4
6.626380496E0,5.723863142E-4
6.647218170E0,4.908718402E-4
6.668055845E0,5.097928224E-4
6.688893519E0,5.450390745E-4
6.709731194E0,4.892124562E-4
6.730568869E0,5.591557128E-4
6.751406543E0,4.794727429E-4
6.772244218E0,4.947927082E-4
6.793081892E0,4.598853993E-4
6.813919567E0,4.494359891E-4
6.834757241E0,4.368883383E-4
6.855594916E0,4.537468194E-4
6.876432590E0,4.925881512E-4
6.897270265E0,4.874014703E-4
6.918107939E0,5.785324029E-4
6.938945614E0,5.206104834E-4
6.959783288E0,5.716560408E-4
6.980620963E0,5.695365835E-4
7.001458637E0,5.682337796E-4
7.022296312E0,6.011751248E-4
7.043133986E0,5.985809257E-4
7.063971661E0,6.335320650E-4
7.084809335E0,5.354117020E-4
7.105647010E0,5.735934246E-4
7.126484684E0,5.261737388E-4
7.147322359E0,5.272343406E-4
7.168160033E0,5.339927739E-4
7.188997708E0,5.456891377E-4
7.209835382E0,6.422917359E-4
7.230673057E0,5.793494638E-4
7.251510731E0,6.094949786E-4
7.272348406E0,5.694672000E-4
7.293186080E0,5.709478864E-4
7.314023755E0,5.268508103E-4
7.334861429E0,5.854390329E-4
7.355699104E0,6.612438010E-4
7.376536778E0,5.809002323E-4
7.397374453E0,7.012744900E-4
7.418212128E0,6.476956187E-4
7.439049802E0,6.535144639E-4
7.459887477E0,6.566938828E-4
7.480725151E0,6.376008969E-4
7.501562826E0,6.447714986E-4
7.522400500E0,5.679854658E-4
7.543238175E0,6.099556340E-4
7.564075849E0,5.760237109E-4
7.584913524E0,6.262756069E-4
7.605751198E0,6.051118835E-4
7.626588873E0,6.586257368E-4
7.647426547E0,6.902640453E-4
7.668264222E0,6.079571322E-4
7.689101896E0,6.070545642E-4
7.709939571E0,5.485276924E-4
7.730777245E0,6.110363174E-4
7.751614920E0,5.529195769E-4
7.772452594E0,6.110963295E-4
7.793290269E0,6.593434373E-4
7.814127943E0,6.330073811E-4
7.834965618E0,7.074562600E-4
7.855803292E0,6.672051386E-4
7.876640967E0,6.904870970E-4
7.897478641E0,6.430246285E-4
7.918316316E0,6.547597004E-4
7.939153990E0,5.643214099E-4
7.959991665E0,5.554265226E-4
7.980829339E0,6.183188525E-4
8.001667014E0,5.404762924E-4
8.022504688E0,6.116345176E-4
8.043342363E0,5.572900409E-4
8.064180038E0,5.691421684E-4
8.085017712E0,5.424665287E-4
8.105855387E0,5.513713113E-4
8.126693061E0,6.059825537E-4
8.147530736E0,5.782746011E-4
8.168368410E0,6.193792215E-4
8.189206085E0,5.970599595E-4
8.210043759E0,6.589111872E-4
