"Delay (ms)","Autocorrelation (a.u.)"
0.000000000E0,2.600773975E-6
2.083767452E-2,2.479607057E-6
4.167534903E-2,2.405146566E-6
6.251302355E-2,2.308087786E-6
8.335069806E-2,2.095132081E-6
1.041883726E-1,2.024784622E-6
1.250260471E-1,1.923635316E-6
1.458637216E-1,1.817385748E-6
1.667013961E-1,1.849377301E-6
1.875390706E-1,1.796408889E-6
2.083767452E-1,1.774664719E-6
2.292144197E-1,1.814740475E-6
2.500520942E-1,1.743952678E-6
2.708897687E-1,1.720807464E-6
2.917274432E-1,1.683299781E-6
3.125651177E-1,1.553889625E-6
3.334027922E-1,1.490812275E-6
3.542404668E-1,1.375851037E-6
3.750781413E-1,1.228413113E-6
3.959158158E-1,1.144812642E-6
4.167534903E-1,9.917572265E-7
4.375911648E-1,8.611830131E-7
4.584288393E-1,7.678253686E-7
4.792665139E-1,6.340304497E-7
5.001041884E-1,5.652279776E-7
5.209418629E-1,5.108804603E-7
5.417795374E-1,4.358655977E-7
5.626172119E-1,4.092154905E-7
5.834548864E-1,3.371670708E-7
6.042925610E-1,2.443176712E-7
6.251302355E-1,1.527288972E-7
6.459679100E-1,-2.519394535E-9
6.668055845E-1,-1.570266896E-7
6.876432590E-1,-3.135448760E-7
7.084809335E-1,-4.969926905E-7
7.293186080E-1,-6.338397719E-7
7.501562826E-1,-7.617649779E-7
7.709939571E-1,-8.701618801E-7
7.918316316E-1,-9.277631309E-7
8.126693061E-1,-9.958226781E-7
8.335069806E-1,-1.049268513E-6
8.543446551E-1,-1.096781746E-6
8.751823297E-1,-1.178337390E-6
8.960200042E-1,-1.249485233E-6
9.168576787E-1,-1.340379776E-6
9.376953532E-1,-1.445587932E-6
9.585330277E-1,-1.532772417E-6
9.793707022E-1,-1.639822745E-6
1.000208377E0,-1.729191837E-6
1.021046051E0,-1.800553907E-6
1.041883726E0,-1.872999888E-6
1.062721400E0,-1.908609223E-6
1.083559075E0,-1.932484535E-6
1.104396749E0,-1.950464140E-6
1.125234424E0,-1.940735939E-6
1.146072098E0,-1.942238587E-6
1.166909773E0,-1.936437740E-6
1.187747447E0,-1.919973620E-6
1.208585122E0,-1.921502301E-6
1.229422796E0,-1.912885887E-6
1.250260471E0,-1.905601519E-6
1.271098145E0,-1.915471126E-6
1.291935820E0,-1.908055479E-6
1.312773494E0,-1.906782408E-6
1.333611169E0,-1.903284126E-6
1.354448844E0,-1.872018759E-6
1.375286518E0,-1.840736445E-6
1.396124193E0,-1.794459074E-6
1.416961867E0,-1.726007217E-6
1.437799542E0,-1.665073461E-6
1.458637216E0,-1.590721207E-6
1.479474891E0,-1.509376713E-6
1.500312565E0,-1.442093913E-6
1.521150240E0,-1.366516197E-6
1.541987914E0,-1.295583604E-6
