relative_time,PitchSensor,DecibelSource
0,0.0,21.760912590556813
66,0.0,21.875207208364632
133,0.0,19.912260756924947
200,0.0,30.0774777800074
266,,48.40269238037621
333,,35.63955464995813
399,139.73214285714286,48.459533777224486
466,138.61886160714286,37.83117137490467
533,163.67447916666669,29.925535178321354
600,0.0,29.995654882259824
666,0.0,25.09202522331103
733,0.0,26.30427875025024
800,0.0,24.969296480732147
866,0.0,23.909351071033793
933,0.0,20.863598306747484
1000,0.0,23.979400086720375
1066,0.0,22.405492482826
1133,0.0,22.068258760318496
1200,0.0,22.121876044039578
1266,0.0,20.5307844348342
1333,0.0,22.69512944217916
1400,0.0,21.303337684950062
1466,0.0,43.646260289550405
1533,,47.21637522200833
1600,,39.646367037885014
1666,115.87239583333334,40.813112951599805
1733,,40.204441553665745
1800,146.064453125,49.65102879554788
1866,146.064453125,47.72196975870634
1933,128.61328125,47.48389616935899
2000,111.8671875,44.68376873249617
2066,104.41796875,40.98401422270078
2133,102.48046875,37.33116981442065
2200,102.48046875,29.253120914996494
2266,0.0,33.875677794171885
2333,,49.30979578356865
2400,162.57161458333334,46.15613421869639
2466,162.57161458333334,33.07282047033346
2533,160.546875,50.254041849607496
2600,172.3017939814815,43.84908697830278
2666,175.69010416666669,44.54250155300344
2733,,48.748237841580206
2800,,41.06054840093787
2866,106.8515625,34.980347236870266
2933,,27.458551951737288
3000,0.0,23.242824552976927
3066,0.0,31.925674533365456
3133,0.0,26.75778341674085
3200,0.0,26.042260530844704
3266,0.0,24.969296480732147
3333,0.0,21.55336037465062
3400,0.0,29.684829485539353
3466,0.0,41.01747073946366
3533,,45.33454289670824
3600,177.7197265625,48.644576809129994
3666,177.7197265625,45.85302775521707
3733,176.74479166666669,49.11647578776191
3800,118.64025297619048,46.92802870950005
3866,112.51692708333333,42.25412672865954
3933,110.59895833333333,36.37389650129212
4000,110.59895833333333,47.39509054668297
4066,134.40039062499997,45.88876495913499
4133,128.22265625,32.84430733844519
4200,,49.30582297205298
4266,116.50936702806123,49.206137185647584
4333,116.50936702806123,41.65600402517412
4400,63.40625,45.10866590733636
4466,,32.02488317060094
4533,461.328125,44.576548542184604
4600,461.328125,43.85784958843335
4666,,33.9093510710338
4733,110.44444444444444,39.32473764677153
4800,,32.35275876687052
4866,119.228515625,46.12762671106331
4933,119.228515625,40.38302172199525
5000,,39.60851153719686
5066,445.3125,49.3069948199808
5133,379.84375,48.24834971263772
5200,379.84375,49.18612153256945
5266,,49.87080555567061
5333,123.92534722222223,46.95069952343107
5400,115.63639322916666,44.346487302419234
5466,107.7734375,39.835811867057906
5533,107.7734375,43.04059466217599
5600,107.60050455729167,33.75663613960886
5666,,37.07229419327294
5733,128.81184895833334,43.496271540655876
5800,,39.674075565974725
5866,,38.48065895403992
5933,114.50520833333334,32.57918450314059
6000,117.76041666666666,36.29817196018516
6066,111.77083333333334,32.951270852521915
6133,111.77083333333334,37.358383343170736
6200,,46.197713861616734
6266,127.80436197916667,40.05823753029028
6333,113.63932291666666,35.30583859645118
6400,116.015625,36.535019469629326
6466,116.015625,41.97418407510018
6533,118.45604804421768,42.14605450290065
6600,110.69986979166667,36.922298357727556
6666,115.71614583333334,38.180278418592565
6733,115.71614583333334,42.871071991552085
6800,65.59486607142857,40.753279341632584
6866,,26.803355134145633
6933,0.0,33.86142108930819
7000,,45.666024574070995
7066,,44.513565321626885
7133,120.40178571428571,43.87514401149481
7200,78.671875,42.16957207361097
7266,,31.338581252033343
7333,,43.442153756565
7400,223.80859375,39.826329943948494
7466,,39.56600588213177
7533,589.6298363095239,37.99891684656865
7600,,48.02958346690387
7666,,45.93684725861968
7733,384.0625,39.256729939212406
7800,,36.036855496147
7866,349.921875,42.33097687864703
7933,,30.780941504064106
8000,,48.588799263644106
8066,138.92925347222223,45.12631039809221
8133,129.17708333333331,44.79143247978613
8200,113.11458333333334,33.471347829100196
8266,113.11458333333334,46.17723562739995
8333,109.9197048611111,40.08472419302723
8400,102.21451822916667,31.16275587580544
8466,102.7265625,34.98999363580153
8533,58.61607142857143,39.08753019184534
8600,58.61607142857143,43.62407069857869
8666,,42.7554168840131
8733,108.69921875,41.13107366520495
8800,110.28645833333333,36.014080605346834
8866,110.28645833333333,31.9089171692217
8933,0.0,47.225187534246075
9000,,36.38688886690124
9066,125.4296875,35.542468081661106
9133,,47.175040747642015
9200,,39.02057310808467
9266,108.30915178571429,36.832272060414354
9333,,38.43170464519898
9400,447.9380580357143,36.05951157564873
9466,447.9380580357143,40.068937079479
9533,,30.132586652835165
9600,292.3828125,26.45422269349092
9666,0.0,24.578818967339924
9733,0.0,24.39332693830263
9800,0.0,20.170333392987803
9866,0.0,22.380461031287954
9933,0.0,19.777236052888476
10000,0.0,19.395192526186186
10066,0.0,21.238516409670858
10133,0.0,21.105897102992486
10200,0.0,20.644579892269185
10266,0.0,21.03803720955957
10333,0.0,20.755469613925307
10400,0.0,37.2468538823736
10466,,48.25185858559518
10533,181.7578125,48.738609534308914
10600,,50.19876160134986
10666,156.04817708333331,39.826329943948494
10733,156.04817708333331,33.400473176613936
10800,,50.40182873352699
10866,305.625,37.85899028384384
10933,,31.152775913959015
11000,,46.255388014110395
11066,146.875,38.33402129231858
11133,142.65625,49.38779823692305
11200,,47.1115740963551
11266,245.76171875,37.16337287889549
11333,245.76171875,35.83765368285
11400,,44.77150206720067
11466,125.52734375,30.538464268522528
11533,0.0,46.2919545748789
11600,0.0,42.58780906541261
11666,,40.159462436575666
11733,108.4326171875,31.708482036433093
11801,,24.14973347970818
11866,0.0,24.969296480732147
11933,0.0,22.624510897304294
12001,0.0,20.569048513364727
12066,0.0,19.637878273455552
12133,0.0,20.086001717619176
12200,,42.154789363625355
12266,,42.07634367388962
12333,128.26822916666666,42.784334765374155
12400,,40.752914188833024
12466,301.796875,48.49407128064939
12533,301.796875,47.6496775496918
12600,287.734375,45.83640780943042
12666,250.546875,43.1695530694502
12733,,33.92169149489736
12800,410.5357142857143,37.16921073166761
