relative_time,PitchSensor,DecibelSource
0,246.09375,44.64921540471535
67,237.65625,39.40715656906663
133,212.1875,35.156089492344805
200,212.1875,28.115750058705935
267,218.359375,22.576785748691847
333,0.0,24.983105537896005
400,0.0,22.810333672477277
467,0.0,18.750612633917
533,0.0,19.590413923210935
600,0.0,21.00370545117563
667,0.0,23.57934847000454
733,0.0,27.032913781186615
800,0.0,21.931245983544617
867,0.0,31.119342763326813
933,,41.99316274253104
1000,397.109375,42.892097826449856
1067,401.58203125,44.19427007615557
1133,401.58203125,45.6030125884964
1200,253.1293402777778,45.325887806135356
1267,235.078125,46.040531651514925
1333,279.5638020833333,28.19543935541869
1400,299.71230158730157,47.02697579901668
1467,299.71230158730157,44.199392350776414
1533,297.8385416666667,45.40291926094344
1600,,44.88480208426273
1667,297.03125,27.151673578484576
1733,297.03125,30.253058652647702
1800,,43.81656482585787
1867,301.25,45.91876757358062
1933,305.8932291666667,47.43682194006504
2000,266.71875,48.43307542591678
2067,266.71875,49.347862022374144
2133,248.59375,48.43712293408832
2200,243.046875,32.732328340430456
2267,0.0,33.33245698961963
2333,0.0,41.69292274879936
2400,,41.908917169221695
2467,107.82013888888889,43.059529449605066
2533,,37.123129086813655
2600,418.203125,32.555137128195334
2667,418.203125,35.412046906832586
2733,,50.38902182970311
2800,434.921875,42.097294280162046
2867,,36.735737964230516
2933,0.0,23.961993470957363
3000,0.0,32.853322276438846
3067,,46.98370264034941
3133,305.673828125,45.544043522434244
3200,320.302734375,44.194766044273386
3267,320.302734375,40.15108160645837
3333,428.7109375,40.21561392037355
3400,398.4375,43.982525881838825
3467,262.94921875,32.650537885040144
3533,0.0,25.575072019056577
3600,0.0,22.624510897304294
3667,0.0,43.537047035721656
3733,,46.3071256496108
3800,213.359375,37.784406835712325
3867,213.359375,52.00256629375626
3933,253.59375,53.824367178030585
4000,259.53125,53.44908796488078
4067,245.390625,44.83359036280687
4133,197.578125,43.869446243705745
4200,197.578125,32.13252052196397
4267,246.5625,26.803355134145633
4333,0.0,45.44935765881503
4400,,46.47480773173676
4467,,44.50156695406595
4533,224.98697916666669,44.02330176131666
4600,233.4375,44.786674825683484
4667,238.9532076719577,49.23461629594374
4733,257.5225694444444,50.07798968832212
4800,257.5225694444444,48.68932305480736
4867,255.4870854591837,47.63592694718173
4933,243.8563988095238,42.41596282154071
5000,222.39583333333334,39.03686731736502
5067,,36.675463395115166
5133,,25.105450102066122
5200,0.0,23.117538610557542
5267,0.0,36.020599913279625
5333,,43.621619134969116
5400,,30.65206128054312
5467,225.28971354166669,26.693168805661124
5533,0.0,38.11976944336954
5600,,48.15464843646535
5667,253.25173611111111,43.749132366588874
5733,253.25173611111111,37.594411971336974
5800,260.625,34.14471949629303
5867,252.34375,45.64322753117416
5933,239.6875,28.808135922807914
6000,239.6875,46.0982909957511
6067,,45.796578615937335
6133,236.796875,45.20247652686888
6200,219.0625,44.40231936226789
6267,198.19661458333334,29.309490311675233
6333,198.19661458333334,33.324384599156055
6400,0.0,31.56851901070011
6467,0.0,31.69674434058807
6533,0.0,30.766404436703418
6600,0.0,29.561684304753634
6667,0.0,26.989700043360187
6733,0.0,19.68482948553935
6800,0.0,23.09630167425899
6867,0.0,23.364597338485297
6933,0.0,21.760912590556813
7000,0.0,21.271047983648078
7067,0.0,14.313637641589875
7133,0.0,16.989700043360187
7200,,42.51078264484001
7267,,27.573960287930245
7333,243.828125,47.715066402054774
7400,264.140625,45.83606796373198
7467,,43.01029995663981
7533,,43.51371077498065
7600,596.40625,21.367205671564065
7667,0.0,20.374264979406238
7733,0.0,45.93795399515609
7800,,48.63186006052124
7867,,48.48589345869172
7933,243.4375,35.848963441374494
8000,242.265625,48.02075557524253
8067,223.90625,43.318118159967426
8133,223.90625,39.37317247762494
8200,,42.815560250343665
8267,217.9296875,31.11598524880394
8333,223.28125,25.171958979499745
8400,208.99739583333331,45.34305386957925
8467,208.99739583333331,27.323937598229687
8533,0.0,36.095944092252196
8600,,42.664433812962734
8667,200.09661458333338,40.99577060916708
8733,200.09661458333338,30.14520538757924
8800,105.45084635416667,29.014583213961124
8867,0.0,40.62205808819712
8933,,45.524248457040855
9000,214.53125,45.48708725234639
9067,214.53125,45.739154404215505
9133,237.34375,49.820404527896244
9200,248.75,42.643691350516164
9267,259.53125,50.07064656378332
9333,251.953125,47.63645086535168
9400,251.953125,43.54319769991452
9467,242.03125,40.39612381896724
9533,200.97330729166669,44.051413753629504
9600,191.5390625,39.85650973690949
9667,191.5390625,42.6164345331189
9733,208.896484375,46.44182467326238
9800,260.78125,39.0449915539782
9867,,24.638929889859075
9933,0.0,20.718820073061256
10000,0.0,49.639058261187046
10067,,50.63201962180565
10133,240.46875,36.96356388733332
10200,254.53125,48.19767605395256
10267,254.53125,37.96157876906915
10333,245.390625,36.291036501771366
10400,,32.48953615495707
10467,496.328125,50.467019220067414
10533,262.56510416666663,42.00111459623802
10600,262.56510416666663,48.098558765326715
10667,,49.45941029542733
10733,248.28125,44.72127217179852
10800,,45.36242706838319
10867,,42.03168922875464
10933,215.29427083333334,38.605775512444154
11000,,41.7539583139403
11067,2972.8125,29.459607035775687
11133,,45.17367469777369
11200,,46.08247824867124
11267,260.52734375,47.51971574736327
11333,242.734375,46.33175460489315
11400,229.32338169642856,35.50105999347593
11467,219.453125,38.491121661845774
11533,219.453125,36.57438322702963
11600,277.65625,44.79834341319361
11667,243.90625,39.139197649514664
11733,234.67354910714286,44.984346202043575
11800,234.67354910714286,43.62048717714715
11867,219.04296875,41.50971232062612
11933,210.60329861111111,35.93507589331765
12000,0.0,35.65375502714073
12067,,43.72819981678968
12133,,46.23580055441995
12200,613.0703125,38.25491029879431
12267,,40.171168494388134
12333,457.265625,39.15716337945994
12400,457.265625,34.295908022233014
12467,584.53125,24.440447959180762
12533,0.0,37.3471984165568
12600,,40.46963154123424
12667,1858.59375,34.008832155483624
12733,1858.59375,26.473829701146197
12800,,53.72051763753083
12867,268.04036458333337,33.7383114507383
12933,281.640625,47.07825568332232
13000,284.6875,45.98462200474151
13067,284.6875,27.972675408307165
13133,335.8203125,39.48315140689348
13200,301.640625,50.20862421190259
13267,265.234375,40.830006695765334
13333,265.234375,48.41021415257488
13400,239.4140625,48.08048842080414
13467,,45.1967051707783
13533,233.17317708333331,44.704398938046815
13600,212.59592013888889,39.039577085231706
13667,212.59592013888889,39.49438801036504
13733,111.15885416666666,41.650958747542184
13800,,25.599066250361126
13867,0.0,27.17670503002262
13933,0.0,31.961761850399736
14000,,31.958996524092342
14067,0.0,18.325089127062363
14133,0.0,44.20747654769477
14200,,43.93662930667503
14267,,48.77866412734667
14333,236.38671875,47.81209471689111
14400,235.99609375,32.550311633455514
14467,234.765625,44.227211259715574
14533,234.765625,46.18121345025621
14600,282.578125,43.100770053242606
14667,,35.00510910526337
14733,611.015625,36.37489729512511
14800,,43.08991029000164
14867,,44.24326168309295
14933,215.52734375,41.430772841736186
15000,204.140625,32.273724422896365
15067,236.484375,41.56518864747027
15133,,30.685568950723628
15200,,28.208579894397
15267,0.0,20.253058652647702
15333,0.0,19.084850188786497
15400,0.0,23.07496037913213
15467,0.0,27.015679850559273
15533,0.0,45.243571701793435
15600,,50.614713282650314
15667,215.625,44.432316858274945
15733,190.390625,33.967222785037734
15800,190.390625,43.25536187192074
15867,260.234375,44.64921540471535
15933,281.33246527777777,32.00850498091078
16000,366.484375,45.48045286195813
16067,366.484375,40.07064656378332
16133,295.703125,32.70678836144707
16200,390.78125,40.710715499836496
16267,319.765625,23.424226808222063
16333,0.0,34.92061604512599
16400,0.0,47.91985223864504
16467,,32.17747073262794
16533,0.0,21.00370545117563
16600,,37.33598460961339
16667,,35.060989599284405
16733,203.671875,47.24922732229834
16800,192.43771462912088,51.03577965945198
16867,203.03197751322753,44.686721911461476
16933,201.634765625,32.17220655644519
17000,201.634765625,28.06179973983887
17067,0.0,37.123129086813655
17133,,34.87986331129393
17200,0.0,25.276299008713387
17267,0.0,28.898617212581886
17333,0.0,41.835545336188616
17400,,49.297968528952715
17467,145.78683035714286,54.863993048853644
17533,96.25837053571428,36.25415352154408
17600,96.25837053571428,30.982975364946977
17667,96.19791666666666,28.981764834976765
17733,116.02232142857143,37.40836207057312
17800,,40.74779882331932
