relative_time,DecibelSource,PitchSensor
0,20.21189299069938,0.0
57,27.839035792727348,0.0
124,23.891660843645326,0.0
191,25.352941200427708,0.0
257,23.521825181113627,0.0
324,23.59835482339888,0.0
391,23.521825181113627,0.0
457,20.128372247051722,0.0
524,20.791812460476248,0.0
591,20.718820073061256,0.0
657,20.128372247051722,0.0
724,20.086001717619176,0.0
791,22.988530764097067,0.0
857,21.00370545117563,0.0
924,23.80211241711606,0.0
991,19.19078092376074,0.0
1057,21.46128035678238,0.0
1124,21.367205671564065,0.0
1191,23.926969532596658,0.0
1257,21.03803720955957,0.0
1324,20.863598306747484,0.0
1391,21.986570869544227,0.0
1457,22.624510897304294,0.0
1524,19.590413923210935,0.0
1591,20.0,0.0
1657,20.934216851622352,0.0
1724,23.443922736851107,0.0
1791,19.49390006644913,0.0
1857,25.465426634781313,0.0
1924,22.380461031287954,0.0
1991,31.344958558346736,0.0
2057,29.2272545799326,0.0
2124,28.506462351830667,0.0
2191,31.482940974347457,0.0
2257,39.8109342314593,
2324,48.33089712373273,
2391,45.99173217352912,213.44261532738096
2457,40.237461631524766,207.03125
2524,29.052560487484513,195.625
2591,46.41305515998657,249.4233630952381
2657,43.31751125024443,249.4233630952381
2724,33.428173146357324,161.25651041666669
2791,35.11616020569137,152.75390625
2857,45.90797266616762,
2924,40.930011966847495,
2991,39.08645838907113,145.12239583333331
3057,40.408791245157865,146.982421875
3124,39.26959488380276,136.58203125
3191,43.42541108623305,143.7890625
3257,45.01702691990101,143.7890625
3324,31.74931593528442,130.72265625
3391,37.90214770243979,148.046875
3457,47.68208773607013,173.25334821428572
3524,47.07987239101958,88.5546875
3591,50.40946316971154,88.5546875
3657,48.34248986707252,126.41276041666666
3724,48.38672819527731,144.04947916666669
3791,46.823165933354176,
3857,46.07025878434786,
3924,42.469415124832544,99.88199869791666
3991,44.69468547850753,105.2734375
4057,36.55522596253418,105.1171875
4124,31.274287778515987,103.75
4191,28.169038393756605,103.75
4258,33.93399695293102,0.0
4324,47.287432547162524,
4391,46.92388598151385,177.05729166666669
4457,46.74796864070852,177.6953125
4524,46.22027412458202,177.6953125
4591,39.78180516937414,158.515625
4657,45.7948634605819,178.984375
4724,46.668360970433426,162.36394779265873
4791,42.554172458084956,162.36394779265873
4857,45.28325246055692,163.046875
4924,47.62370923293386,165.78125
4991,43.2778790759305,174.22916666666669
5058,45.04647534794032,165.078125
5124,48.51117638981989,165.078125
5191,40.034605321095064,
5258,44.38637266168612,72.86737351190476
5324,50.73502065490721,
5391,44.76657760031162,
5458,49.711969633028616,169.6723090277778
5524,46.027326266171265,
5592,38.45779967111889,126.04166666666667
5658,48.213497364051314,
5724,47.06120109702703,
5791,44.08172101497054,165.9375
5858,40.408791245157865,164.0625
5924,33.16599302093861,118.203125
5991,41.27752515832973,118.203125
6058,46.039126430106435,72.56026785714286
6124,48.226191450333744,
6191,48.95317551222014,150.21965144230768
6258,43.62783963469914,
6324,44.85267024680353,
6391,40.89092255842719,254.53125
6458,29.49390006644913,
6524,28.47572659142112,0.0
6591,26.5991620006985,0.0
6658,21.702617153949575,0.0
6724,24.39332693830263,0.0
6792,24.517864355242903,0.0
6858,18.976270912904415,0.0
6925,27.596678446896306,0.0
6991,48.05657148860255,0.0
7058,32.337573629655104,
7124,49.56278911698854,55.3125
7192,35.34787358629492,
7258,30.2201573981772,
7324,25.774917998372256,242.58463541666669
7391,34.9220145139254,0.0
7458,34.242280706959804,
7524,35.739154404215505,
7592,28.727388274726685,1780.1171875
7658,28.135809885681915,0.0
7725,42.91213400273597,0.0
7792,47.03256977193307,
7858,35.11214701136388,
7924,49.452863598797414,161.953125
7991,39.882913419074875,104.59375
8058,46.6442571451084,121.62109375
8124,44.55119064678402,121.62109375
8191,41.23296172645314,121.45816163003661
8258,31.684974835230328,111.9765625
8325,28.9707700320942,72.47767857142857
8392,31.571544399062816,0.0
8458,31.40193678578631,0.0
8525,24.78566495593843,0.0
8591,28.819549713396007,0.0
8659,37.78946727968617,0.0
8724,40.96075366085106,0.0
8791,30.42181594515766,
8858,47.481182240694366,363.59375
8925,46.16496519159635,494.375
8991,47.22592794215026,
9058,35.21007252408604,
9124,33.694014136966246,180.078125
9193,47.63270720535586,140.12890625
9258,42.744349700740415,182.99479166666666
9325,44.323919847799246,141.06026785714286
9392,47.07348714612181,141.06026785714286
9459,44.743765445397656,
9525,36.8841982200271,31.990792410714285
9592,33.057811512549826,
9659,48.23754539030784,
9725,45.41791347494252,346.953125
9792,41.293031077160514,
9859,38.34865579900038,42.8515625
9925,44.93778599541865,
9993,45.86823514623576,
10059,44.75293376659103,136.20625
10125,44.14956644015667,
10194,41.45320738918325,111.64887152777777
10258,35.02836638621003,111.64887152777777
10325,29.845273133437928,107.93824404761904
10391,43.26233420904239,73.66629464285714
10458,44.04303348457783,99.12481398809524
10524,32.065560440990296,130.63802083333331
10591,31.705550585212087,130.63802083333331
10658,41.903316981702915,
10724,32.113875529368585,120.03255208333333
10791,42.813970218487555,0.0
10858,47.146231028714844,
10924,36.10766594773271,
10992,35.05963518018126,98.71512276785714
11058,38.21644517542217,83.23828125
11124,26.37489729512511,106.81315104166666
11191,43.58886204405869,106.81315104166666
11258,41.17536432710338,113.30729166666666
11324,46.22597359604622,
11391,45.051771208768294,128.9995659722222
11458,45.29840840675337,97.08203125
11524,44.053634378769715,97.08203125
11591,34.30075055551939,114.22479538690474
11658,29.10090545594068,115.27994791666666
11724,44.31797841638306,115.55989583333333
11791,45.15025612032066,115.55989583333333
11858,41.23655674438122,121.05381944444444
11924,42.314186139083034,121.7392578125
11991,41.82414652434554,95.796875
12058,36.503075231319364,103.48697916666666
12124,28.020892578817328,103.48697916666666
12191,24.39332693830263,0.0
12258,25.477747053878225,0.0
12324,25.13217600067939,0.0
12391,22.174839442139064,0.0
12458,20.569048513364727,0.0
12524,23.710678622717364,0.0
12591,21.84691430817599,0.0
12658,36.09060549930087,0.0
12724,33.01897717195208,0.0
12791,45.60157797131627,
12858,50.433976489819436,170.43272569444446
12924,39.51143160107553,158.3984375
12991,32.506639194632434,158.3984375
13058,29.745116927373285,98.51004464285714
13124,30.132586652835165,0.0
13191,25.403294747908735,0.0
13258,40.694460838803124,
13324,42.12507212770084,
13391,36.13418945034573,110.64783653846153
13458,47.76090709365988,142.21614583333334
13524,49.70992722673155,157.09747023809524
13591,35.41454428747589,
13658,34.196253608877434,
13724,41.93514175028668,117.1875
13791,45.80445961781108,114.91536458333334
13858,48.54081243829729,115.02099144345239
13925,42.40049772112648,115.02099144345239
13991,43.40206080040022,113.8046875
14058,50.10918724559986,87.02706473214286
14124,43.857313609887846,
14191,39.81773318627747,101.59635416666666
14258,35.341530741850626,101.59635416666666
14325,31.556396337597764,
14391,26.839471307515122,0.0
14458,28.356905714924252,0.0
14525,22.013971243204512,0.0
14591,28.62727528317975,0.0
14658,30.261245167454504,
14724,27.435097647284298,0.0
14791,23.03196057420489,0.0
14858,27.015679850559273,0.0
14925,28.020892578817328,0.0
14991,23.891660843645326,0.0
15058,24.533183400470374,0.0
15125,25.809249756756195,0.0
15191,20.89905111439398,0.0
15258,21.78976947293169,0.0
15325,24.39332693830263,0.0
15391,35.6062387454993,
15458,45.81426233724123,
15525,39.5288926491093,125.01116071428572
15591,46.92000409826597,146.640625
15658,47.44558955939043,183.203125
15725,44.49663494153331,160.390625
15791,38.50707485374537,160.390625
15858,36.009728956867484,126.11002604166666
15925,47.18593022270426,153.28125
15991,38.95367288773362,136.40625
16058,42.60786668654976,136.40625
16125,35.25821952156662,102.74739583333334
16191,32.49442961442582,119.21354166666667
16258,44.44044795918076,142.03854166666665
16325,45.29109391761361,84.62518601190476
16391,41.081250947385996,84.62518601190476
16458,40.96562438374136,98.7211681547619
16525,34.50864692379766,98.0
16591,30.37824750588342,
16658,28.048206787211623,0.0
16725,27.581546219673896,0.0
16791,24.857214264815802,0.0
16858,25.514499979728754,0.0
16925,33.43408593803857,0.0
16991,43.6554414002947,0.0
17058,41.882814795226665,
17125,37.85258633357701,42.68907335069445
17193,48.36045470108174,
17258,49.48271112209188,160.2495659722222
17325,44.577305482459984,160.2495659722222
17393,43.201255059736354,151.9766865079365
17458,44.135512131755505,147.625390625
17525,35.73567773039218,
17591,35.296869537729165,
17658,44.28183406361945,72.39862351190476
17725,42.033049161384824,
17791,42.46301577171691,138.1640625
17858,39.4507448847873,133.73325892857144
17925,43.33608467588293,133.73325892857144
17992,48.846084695307034,138.4375
18059,47.11883118533315,172.40234375
18125,37.407573233077706,161.953125
18193,48.888812140288245,161.953125
18258,45.4609827138238,156.80555555555554
18325,38.02568498313956,183.8671875
18392,42.626883443016965,185.78125
18458,39.26085086925144,231.609375
18525,33.44981413927258,231.609375
18591,27.589118923979736,0.0
18658,26.283889300503116,0.0
18725,27.60422483423212,0.0
18793,48.777973675068736,
18858,45.648317035802926,
18925,36.82866795662325,154.97721354166669
18992,47.50832259290636,153.68489583333331
19058,44.6955694185667,138.880859375
19125,40.41550581717645,138.880859375
19192,40.64158372463118,121.69838169642857
19259,35.48880562637515,119.21630859375
19325,45.24084408843087,
19392,45.10504795892782,119.11616443452381
19458,45.0107296214305,119.11616443452381
19525,42.24947218777086,120.6814236111111
19592,35.518158223510156,124.2109375
19658,35.39076098792777,
19725,42.9384851573066,
19792,43.780525086126445,215.703125
19859,48.04943189663601,113.61886160714286
19925,37.50508394851346,120.73083600427351
19992,32.395497208404734,
20058,44.57957551203638,
20125,38.29946695941636,430.859375
20193,48.41084037928056,
20258,46.2919545748789,155.97981770833331
20325,32.253092817258626,155.97981770833331
20392,27.87460474518415,163.02734375
20458,26.25312450961674,0.0
20525,24.45604203273598,0.0
20592,24.712917110589387,0.0
20660,24.913616938342727,0.0
20725,22.30448921378274,0.0
20793,23.69215857410143,0.0
20860,22.32996110392154,0.0
20925,22.90034611362518,0.0
20995,24.099331233312945,0.0
21062,24.1161970596323,0.0
21126,35.203525040833185,0.0
21193,43.23746975715011,
21259,44.87067637716316,
21325,36.75136504467994,203.92708333333331
21395,34.92760389026837,213.97996794871796
21460,28.29303772831025,0.0
21525,24.06540180433955,0.0
21592,26.45422269349092,0.0
21658,47.87800408902925,0.0
21725,42.960066693136724,
21791,50.10982246694678,143.45703125
21858,41.93764432764385,143.45703125
21925,44.34281408136301,136.78819444444446
21991,43.04016336520767,138.79557291666669
22058,45.81767669168663,138.5947265625
22125,50.66802828173109,138.5947265625
22191,39.43148129358563,142.33796296296296
22258,53.49396043570056,139.53298611111111
22325,50.143609041007025,144.208984375
22392,47.72651703812302,128.73809523809524
22458,45.04062882678692,128.73809523809524
22525,35.80240508265376,124.82968749999999
22591,45.16403148447403,124.59765625
22658,43.947842790470375,124.24479166666667
22725,45.28350978212826,125.9765625
22791,46.01049081018389,125.9765625
22858,41.19288889124608,
22925,31.670217957902565,108.28125
22992,25.932860670204573,0.0
23058,23.364597338485297,0.0
23125,25.13217600067939,0.0
23192,24.533183400470374,0.0
23258,22.32996110392154,0.0
23325,21.84691430817599,0.0
23392,24.771212547196626,0.0
23458,23.242824552976927,0.0
23525,25.490032620257878,0.0
23591,24.913616938342727,0.0
23658,23.201462861110542,0.0
23725,41.387762157293494,0.0
23792,38.11776021602903,
23858,33.085644135612384,230.04166666666669
23925,29.003671286564703,0.0
23991,26.273658565927324,0.0
24058,37.39018245883481,0.0
24125,41.160761717286114,
24191,32.688119037397804,118.7265625
24258,30.472748673841792,
24325,43.46704962433086,
24391,49.11029699506212,120.2978515625
24458,38.17367016287594,131.89453125
24525,47.60550641702736,133.984375
24592,41.371641451293556,133.984375
24658,32.7600198996205,
24725,37.83045572114693,124.65711805555556
24791,46.511907585740445,
24858,42.05988850752452,333.515625
24925,36.62946614332625,333.515625
24992,39.465505105698554,
