relative_time,PitchSensor,DecibelSource
0,0.0,24.913616938342727
58,0.0,27.634279935629372
125,0.0,19.344984512435676
192,0.0,22.278867046136735
259,0.0,27.209857441537388
325,0.0,24.885507165004444
392,0.0,20.5307844348342
459,0.0,21.271047983648078
526,0.0,28.692317197309762
592,0.0,22.87801729930226
659,0.0,19.395192526186186
726,0.0,21.73186268412274
792,0.0,20.969100130080562
859,0.0,17.853298350107668
926,0.0,21.64352855784437
993,0.0,22.278867046136735
1059,0.0,24.712917110589387
1126,0.0,25.921767573958668
1193,0.0,22.90034611362518
1260,0.0,28.444771757456813
1326,0.0,29.106244048892012
1393,0.0,34.52859335795852
1460,0.0,30.927206446840994
1526,,24.800069429571504
1593,0.0,25.07855871695831
1660,0.0,25.7978359661681
1727,,38.250364412213536
1793,,29.818186071706634
1860,0.0,26.78518379040114
1927,0.0,27.151673578484576
1993,0.0,28.09559714635268
2060,0.0,24.638929889859075
2127,0.0,23.283796034387375
2194,0.0,29.70811610872518
2260,0.0,26.0959440922522
2327,0.0,24.62397997898956
2394,0.0,24.814426285023053
2461,0.0,23.443922736851107
2527,0.0,22.174839442139064
2594,0.0,21.13943352306837
2661,0.0,23.03196057420489
2727,0.0,27.634279935629372
2794,0.0,32.86905352972375
2861,,34.92341253254975
2928,177.96875,53.15205986299497
2994,177.96875,51.4645053466571
3061,178.59375,51.43146006103418
3128,166.640625,50.18792007019168
3194,155.0,42.60881950463586
3261,,48.6221488945307
3328,,40.17534159437198
3395,98.03255208333333,36.11404637711593
3461,,51.170491187561595
3528,131.42578125,48.66966316422899
3595,131.42578125,45.54925052795751
3662,114.8986545138889,42.62972878805368
3728,68.14081101190476,41.87153953785416
3795,87.90997023809526,37.287594751678746
3862,,31.156105116742996
3928,,44.015728456764464
3995,109.9392361111111,42.86950215787549
4062,113.828125,31.3481437032046
4129,0.0,26.90196080028514
4195,0.0,32.69045709657623
4262,0.0,37.083359026822635
4329,,41.781708854488016
4395,103.81547619047619,36.658623002031554
4462,105.763671875,47.18775631473871
4529,105.763671875,44.81141527972903
4596,112.82877604166667,31.809855807867304
4662,,31.74931593528442
4729,173.84114583333331,38.12244696800369
4796,173.84114583333331,25.932860670204573
4862,,27.347998295888473
4929,0.0,28.318697742805018
4996,0.0,24.84299839346786
5063,0.0,23.09630167425899
5129,0.0,31.095785469043868
5196,0.0,30.051805125037806
5263,,29.38519725176492
5329,0.0,34.87138375477186
5396,,54.13430535779121
5463,,52.30328835126471
5530,147.64322916666669,39.25363667354102
5596,,34.78566495593844
5663,135.21484375,48.287823065103346
5730,135.21484375,47.637498512118526
5796,132.07486979166669,43.629157989995946
5863,,45.493221182942975
5930,91.15787179129464,32.960066693136724
5997,0.0,26.857417386022636
6063,0.0,42.295794626656445
6130,,42.84791555950146
6197,107.67578125,30.670708560453704
6263,106.15048363095238,43.01702630953145
6330,106.15048363095238,35.018804937550584
6397,58.69419642857143,46.23414704409385
6463,,32.20892249219519
6530,99.9453125,43.532813395452905
6597,111.06770833333334,43.167249841905
6664,111.06770833333334,44.935974490005265
6730,107.734375,42.9435598514516
6797,97.603515625,33.76211850282673
6864,74.24776785714286,37.59592308645975
6930,74.24776785714286,39.75431808509263
6997,92.26294059290383,40.169080439720744
7064,97.55078125,30.88844562727004
7131,100.0,32.85557309007774
7197,83.75077504960318,35.861370252307935
7264,83.75077504960318,37.95949498902803
7331,,41.38618433899492
7397,93.79631696428571,30.064660422492317
7464,93.037109375,24.771212547196626
7531,,44.12863573812828
7597,,36.81060243631812
7664,87.00220114087301,28.830933585756902
7731,0.0,28.241258339165487
7798,0.0,35.44440137317692
7864,0.0,28.40106094456758
7931,,28.870543780509568
7998,130.546875,43.781979704459175
8064,102.56184895833334,34.5071087814692
8131,105.3125,40.01041057986094
