sensor,language,tone,participant,script,time_0.5,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,subject1,t1,0.5,7.855228708560002e-08,6.748937575e-08,4.14803138258087e-08,2.741568677e-08,2.12729016e-07,0.0
autocorrelations,ch,bus,subject1,t1,1.0,4.4611387032000014e-08,4.475786453e-08,1.2680781269423203e-08,2.376348838e-08,7.220667044e-08,0.0
autocorrelations,ch,bus,subject1,t1,1.5,2.351966318956e-08,2.231611098e-08,1.0272273606087165e-08,5.292374251e-09,4.212596103e-08,0.0
autocorrelations,ch,bus,subject1,t1,2.0,3.142261530832e-09,8.542721283e-10,6.229700076612683e-09,-5.551323744e-09,1.857205043e-08,0.0
autocorrelations,ch,bus,subject1,t1,2.5,-1.222257298808e-08,-1.160721192e-08,5.8607705532850676e-09,-2.313547882e-08,-1.141167385e-09,0.0
autocorrelations,ch,bus,subject1,t1,3.0,-2.44380379284e-08,-2.336089076e-08,6.247532712565034e-09,-3.493149894e-08,-1.526276632e-08,0.0
autocorrelations,ch,bus,subject1,t1,3.5,-3.43496962004e-08,-3.509462221e-08,4.5164088344071295e-09,-4.147634725e-08,-2.45988632e-08,0.0
autocorrelations,ch,bus,subject1,t1,4.0,-3.9801960364e-08,-3.975961015e-08,4.537208006972461e-09,-4.740881174e-08,-3.10673436e-08,0.0
autocorrelations,ch,bus,subject1,t1,4.5,-3.64816863596e-08,-3.519916529e-08,4.227251892024498e-09,-4.699268095e-08,-3.08018893e-08,0.0
autocorrelations,ch,bus,subject1,t1,5.0,-2.6814315210800003e-08,-2.839911065e-08,6.3056194768209705e-09,-3.645669351e-08,-1.512387765e-08,0.0
autocorrelations,ch,bus,subject1,t1,5.5,-1.2319551427548e-08,-1.170802591e-08,6.6258944627714754e-09,-2.48461218e-08,-1.029778437e-10,0.0
autocorrelations,ch,bus,subject1,t1,6.0,-3.1162978475479995e-09,-2.934357737e-09,3.044850225757369e-09,-8.464920866e-09,3.182948879e-09,0.0
autocorrelations,ch,bus,subject1,t1,6.5,1.7312212977836003e-09,1.578045573e-09,5.37892144374152e-09,-8.603232168e-09,9.572849568e-09,0.0
autocorrelations,ch,bus,subject1,t1,7.0,6.560884507012e-09,6.890490353e-09,3.368091041604076e-09,3.817339623e-10,1.178114697e-08,0.0
autocorrelations,ch,bus,subject1,t1,7.5,1.4741349472160002e-08,1.384193615e-08,3.4818077497433702e-09,9.856707574e-09,2.337846609e-08,0.0
autocorrelations,ch,bus,subject1,t1,8.0,1.90681625052e-08,1.956073602e-08,3.809808478340359e-09,1.169556617e-08,2.477835918e-08,0.0
autocorrelations,ch,bus,subject1,t1,8.5,1.257815513484e-08,1.328849704e-08,3.713478871370884e-09,3.210958799e-09,1.901130778e-08,0.0
autocorrelations,ch,bus,subject1,t1,9.0,2.6401974621160003e-09,2.460909134e-09,4.607250005487646e-09,-4.820788327e-09,1.061520278e-08,0.0
autocorrelations,ch,bus,subject1,t1,9.5,9.184703760479999e-10,9.731677133e-10,3.1817041771440687e-09,-5.135774695e-09,6.670017069e-09,0.0
autocorrelations,ch,bus,subject1,t1,10.0,2.225194810964e-09,2.097631632e-09,3.013646617293044e-09,-2.139344e-09,7.344032808e-09,0.0
autocorrelations,ch,bus,subject1,t1,10.5,3.8230995680399985e-10,3.508451515e-10,2.9977236794643035e-09,-4.700940872e-09,5.453772895e-09,0.0
autocorrelations,ch,bus,subject1,t1,11.0,-5.4455979891999995e-09,-5.719200081e-09,2.853061758130666e-09,-1.156456066e-08,-4.037764929e-10,0.0
autocorrelations,ch,bus,subject1,t1,11.5,-1.27623284404e-08,-1.275903125e-08,2.948517119122629e-09,-1.904475366e-08,-7.115961874e-09,0.0
autocorrelations,ch,bus,subject1,t1,12.0,-1.93934032244e-08,-1.840525411e-08,4.752336502218831e-09,-3.138149263e-08,-1.128189839e-08,0.0
autocorrelations,ch,bus,subject1,t1,12.5,-1.723002215836e-08,-1.602794379e-08,7.689062172406956e-09,-3.11861859e-08,-6.728716565e-09,0.0
autocorrelations,ch,bus,subject1,t1,13.0,-1.57335560288e-08,-1.617626357e-08,3.383124435565032e-09,-2.355036778e-08,-9.57453208e-09,0.0
autocorrelations,ch,bus,subject1,t1,13.5,-1.2479785846720001e-08,-1.19490826e-08,3.2869688383314353e-09,-1.93871964e-08,-6.381668589e-09,0.0
autocorrelations,ch,bus,subject1,t1,14.0,-1.901741255876e-09,-2.518835166e-09,5.707380287074181e-09,-1.250513659e-08,7.110969785e-09,0.0
autocorrelations,ch,bus,subject1,t1,14.5,9.012908416079999e-10,9.10358132e-10,3.40219463306154e-09,-7.149684772e-09,5.255108126e-09,0.0
autocorrelations,ch,bus,subject1,t1,15.0,1.217690439076e-08,1.133377282e-08,5.551298725469025e-09,3.576662831e-09,2.590202153e-08,0.0
autocorrelations,ch,bus,subject1,t1,15.5,2.24866890652e-08,2.279810165e-08,4.299265280505617e-09,1.303160883e-08,2.912635874e-08,0.0
autocorrelations,ch,bus,subject1,t1,16.0,2.62063930204e-08,2.678126505e-08,2.9278381025004143e-09,1.977332136e-08,3.261164158e-08,0.0
autocorrelations,ch,bus,subject1,t1,16.5,2.68651588212e-08,2.541326922e-08,5.7222879710396225e-09,1.640634317e-08,3.864766997e-08,0.0
autocorrelations,ch,bus,subject1,t1,17.0,2.23951180248e-08,2.175609025e-08,7.200789992951053e-09,1.0785468e-08,3.549410359e-08,0.0
autocorrelations,ch,bus,subject1,t1,17.5,1.993459925688e-08,1.949710236e-08,7.510486765973861e-09,6.978277172e-09,3.315484788e-08,0.0
autocorrelations,ch,bus,subject1,t1,18.0,1.3775797015519998e-08,1.204220087e-08,4.643541729056336e-09,7.480285961e-09,2.280042893e-08,0.0
autocorrelations,ch,bus,subject1,t1,18.5,7.205302004464e-09,7.600347012e-09,3.820131514196928e-09,-2.702755719e-10,1.260171163e-08,0.0
autocorrelations,ch,bus,subject1,t1,19.0,-4.750809652932e-09,-4.095699949e-09,4.614584484339858e-09,-1.486247697e-08,2.569016392e-09,0.0
autocorrelations,ch,bus,subject1,t1,19.5,-1.04792464248e-08,-1.0112216165e-08,2.309489491156241e-09,-1.52836211e-08,-6.447636437e-09,0.0
autocorrelations,ch,bus,subject1,t2,0.5,2.62014515356e-07,2.650043821e-07,2.3445184357537856e-08,2.195536419e-07,3.181630746e-07,0.0
autocorrelations,ch,bus,subject1,t2,1.0,2.08906712376e-07,2.088374239e-07,2.5499537774800543e-08,1.630065314e-07,2.519380672e-07,0.0
autocorrelations,ch,bus,subject1,t2,1.5,1.3572444410039998e-07,1.349766142e-07,2.7235062316424892e-08,9.288101695e-08,1.868999802e-07,0.0
autocorrelations,ch,bus,subject1,t2,2.0,6.242959717892e-08,6.294341546e-08,2.519642529405365e-08,9.499609103e-09,1.174525124e-07,0.0
autocorrelations,ch,bus,subject1,t2,2.5,-1.979697914476e-09,-2.598067464e-09,2.3754481154378508e-08,-4.757209246e-08,3.854236557e-08,0.0
autocorrelations,ch,bus,subject1,t2,3.0,-6.01776364344e-08,-6.155684402e-08,2.2713273919505027e-08,-9.848336174e-08,-1.827952337e-08,0.0
autocorrelations,ch,bus,subject1,t2,3.5,-1.0791956534559999e-07,-1.096028287e-07,2.196569792871244e-08,-1.505465024e-07,-6.660519299e-08,0.0
autocorrelations,ch,bus,subject1,t2,4.0,-1.39766169416e-07,-1.412202249e-07,1.8615852286890028e-08,-1.705376471e-07,-1.055139142e-07,0.0
autocorrelations,ch,bus,subject1,t2,4.5,-1.4681230844400004e-07,-1.466063048e-07,1.6328312054198653e-08,-1.719449237e-07,-1.238429294e-07,0.0
autocorrelations,ch,bus,subject1,t2,5.0,-1.312668576024e-07,-1.317536594e-07,1.9211601963945843e-08,-1.650296271e-07,-9.608564076e-08,0.0
autocorrelations,ch,bus,subject1,t2,5.5,-9.880562101720003e-08,-1.018705497e-07,2.0835936341107035e-08,-1.392362046e-07,-5.981309148e-08,0.0
autocorrelations,ch,bus,subject1,t2,6.0,-6.2560752544e-08,-6.47648204e-08,2.00516336951982e-08,-9.645658455e-08,-2.674279433e-08,0.0
autocorrelations,ch,bus,subject1,t2,6.5,-2.81882956123316e-08,-2.848424831e-08,1.815980954772861e-08,-6.238204461e-08,2.730799035e-09,0.0
autocorrelations,ch,bus,subject1,t2,7.0,2.9622894851560003e-09,-3.251609347e-10,1.9218357286666094e-08,-3.527743333e-08,4.040668087e-08,0.0
autocorrelations,ch,bus,subject1,t2,7.5,3.7346237417280003e-08,3.74068979e-08,1.8764829097457117e-08,5.407496938e-09,7.236496263e-08,0.0
autocorrelations,ch,bus,subject1,t2,8.0,6.58034638668e-08,6.424414784e-08,1.7268370222897423e-08,3.45579449e-08,9.543033713e-08,0.0
autocorrelations,ch,bus,subject1,t2,8.5,7.44489219188e-08,7.394747947e-08,1.6755025196554685e-08,5.087846929e-08,9.858420708e-08,0.0
autocorrelations,ch,bus,subject1,t2,9.0,5.2614756136000014e-08,5.354476539e-08,1.8872111434500043e-08,1.484231154e-08,8.579197067e-08,0.0
autocorrelations,ch,bus,subject1,t2,9.5,1.34900355764e-08,1.330749784e-08,1.9755085729245837e-08,-2.282116795e-08,4.968282351e-08,0.0
autocorrelations,ch,bus,subject1,t2,10.0,-2.7584204756640006e-08,-2.914759399e-08,2.0494753922561532e-08,-6.539720702e-08,1.123037578e-08,0.0
autocorrelations,ch,bus,subject1,t2,10.5,-6.25110564288e-08,-6.042107238e-08,2.0139324028736936e-08,-9.809749617e-08,-2.374266123e-08,0.0
autocorrelations,ch,bus,subject1,t2,11.0,-8.94679142112e-08,-8.540263054e-08,1.764455785755484e-08,-1.187227157e-07,-6.156282137e-08,0.0
autocorrelations,ch,bus,subject1,t2,11.5,-1.08270711996e-07,-1.044606461e-07,1.6468977510678162e-08,-1.348318296e-07,-8.012663484e-08,0.0
autocorrelations,ch,bus,subject1,t2,12.0,-1.17168834892e-07,-1.178950654e-07,1.7107174405903858e-08,-1.410554309e-07,-9.205960492e-08,0.0
autocorrelations,ch,bus,subject1,t2,12.5,-1.0801533769200001e-07,-1.076657796e-07,1.7809146142332417e-08,-1.365183631e-07,-7.569681998e-08,0.0
autocorrelations,ch,bus,subject1,t2,13.0,-7.7179109094e-08,-7.833554366e-08,1.954398621713536e-08,-1.106351839e-07,-4.11619922e-08,0.0
autocorrelations,ch,bus,subject1,t2,13.5,-2.9461059144504e-08,-2.769982177e-08,2.14280066538846e-08,-7.281263504e-08,1.095674945e-08,0.0
autocorrelations,ch,bus,subject1,t2,14.0,2.175573231572e-08,2.009881951e-08,2.0813772661974496e-08,-1.957809876e-08,6.46399622e-08,0.0
autocorrelations,ch,bus,subject1,t2,14.5,6.33929616928e-08,6.023199718e-08,1.8456486796592783e-08,3.053082764e-08,9.692467422e-08,0.0
autocorrelations,ch,bus,subject1,t2,15.0,9.294315719080001e-08,9.628283848e-08,1.8008388568986246e-08,6.073535681e-08,1.225651315e-07,0.0
autocorrelations,ch,bus,subject1,t2,15.5,1.1502634869240003e-07,1.135327885e-07,1.8375022838001407e-08,8.284700689e-08,1.465551503e-07,0.0
autocorrelations,ch,bus,subject1,t2,16.0,1.32586848844e-07,1.289743749e-07,1.650685711158144e-08,1.083605399e-07,1.582667027e-07,0.0
autocorrelations,ch,bus,subject1,t2,16.5,1.3673446936800002e-07,1.371040043e-07,1.5823903598668913e-08,1.134573609e-07,1.606705378e-07,0.0
