sensor,language,tone,participant,script,time_5,autocorrelation_mean,autocorrelation_median,autocorrelation_std,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,subject1,t1,5.0,-1.717030767768467e-09,-1.629455845e-08,4.108952646585957e-08,-4.740881174e-08,2.12729016e-07,0.0
autocorrelations,ch,bus,subject1,t1,10.0,3.6730013852161405e-09,4.100288099e-09,1.1014291164895848e-08,-3.049299366e-08,2.477835918e-08,0.0
autocorrelations,ch,bus,subject1,t1,15.0,-8.521951322120331e-09,-9.144013925e-09,8.864662980241731e-09,-3.138149263e-08,7.344032808e-09,0.0
autocorrelations,ch,bus,subject1,t1,20.0,1.502972460989578e-08,1.640634317e-08,1.2101730377366393e-08,-1.52836211e-08,3.864766997e-08,0.0
autocorrelations,ch,bus,subject1,t2,5.0,1.2974150380585486e-08,-1.987784151e-08,1.462606352647532e-07,-1.719449237e-07,3.181630746e-07,0.0
autocorrelations,ch,bus,subject1,t2,10.0,9.996929209776351e-10,1.211533478e-08,6.238367617578787e-08,-1.489108566e-07,9.858420708e-08,0.0
autocorrelations,ch,bus,subject1,t2,15.0,-5.5767130365761844e-08,-7.016216573e-08,5.945350209558157e-08,-1.410554309e-07,9.692467422e-08,0.0
autocorrelations,ch,bus,subject1,t2,20.0,7.96650259116443e-08,9.677641963e-08,5.6915998784543374e-08,-5.2880956e-08,1.606705378e-07,0.0
autocorrelations,ch,bus,subject1,t3,5.0,1.0314360457840872e-08,-6.17167833e-10,2.5395998090833832e-08,-1.604713728e-08,7.888748466e-08,0.0
autocorrelations,ch,bus,subject1,t3,10.0,-1.5548735083108508e-08,-1.958261207e-08,9.45580652137586e-09,-2.685410697e-08,3.635926398e-09,0.0
autocorrelations,ch,bus,subject1,t3,15.0,5.206413446156017e-09,4.467987761e-09,5.276275997069197e-09,-6.240079358e-10,2.052358161e-08,0.0
autocorrelations,ch,bus,subject1,t3,20.0,4.263252297541309e-09,2.643648167e-09,1.129208588083241e-08,-1.765196948e-08,2.234096843e-08,0.0
autocorrelations,ch,bus,subject1,t4,5.0,-1.3607206382846473e-08,-7.407357211e-08,1.57271895769771e-07,-1.985852575e-07,4.025531234e-07,0.0
autocorrelations,ch,bus,subject1,t4,10.0,1.947038737485996e-08,1.948549801e-08,4.278564991839818e-08,-7.507171165e-08,1.090514627e-07,0.0
autocorrelations,ch,bus,subject1,t4,15.0,-3.3519574211731544e-08,-3.624214149e-08,4.280077360227574e-08,-1.218761976e-07,8.708950067e-08,0.0
autocorrelations,ch,bus,subject1,t4,20.0,3.487360835279325e-08,6.502801376e-08,9.14267132702244e-08,-1.846782388e-07,1.568270502e-07,0.0
autocorrelations,ch,bus,subject2,t1,5.0,8.82198457160581e-08,8.258635581e-08,5.156952394888177e-08,1.027482178e-08,2.042780537e-07,0.0
autocorrelations,ch,bus,subject2,t1,10.0,-1.697567997593299e-08,-1.655042676e-08,9.9790206967742e-09,-3.53870364e-08,8.792029254e-09,0.0
autocorrelations,ch,bus,subject2,t1,15.0,-4.403622015684648e-08,-4.256713399e-08,5.637938351690864e-09,-5.429132016e-08,-3.227680764e-08,0.0
autocorrelations,ch,bus,subject2,t1,20.0,-1.4563967942751057e-08,-1.524100113e-08,5.704558527709771e-09,-3.113084463e-08,-5.862792579e-09,0.0
autocorrelations,ch,bus,subject2,t2,5.0,8.396674261224067e-08,6.382613498e-08,4.8805403394069623e-08,2.626107888e-08,1.855732694e-07,0.0
autocorrelations,ch,bus,subject2,t2,10.0,2.7850923033938173e-08,3.937433545e-08,2.73092786244208e-08,-3.50146778e-08,6.040899715e-08,0.0
autocorrelations,ch,bus,subject2,t2,15.0,-1.9453177269384435e-08,-1.767895663e-08,1.6349904195208848e-08,-4.368498686e-08,1.11096328e-08,0.0
autocorrelations,ch,bus,subject2,t2,20.0,-5.9420224992616024e-08,-6.794592953e-08,2.2690149692904124e-08,-8.845938981e-08,-1.167320417e-08,0.0
autocorrelations,ch,bus,subject2,t3,5.0,5.9159742933361e-08,5.384981403e-08,3.529916447726145e-08,1.288266045e-08,1.413964097e-07,0.0
autocorrelations,ch,bus,subject2,t3,10.0,1.8098151798531827e-08,1.777899963e-08,8.333037659914167e-09,-7.276036302e-10,3.302783863e-08,0.0
autocorrelations,ch,bus,subject2,t3,15.0,-1.941017031189336e-08,-1.949319576e-08,1.814252608181136e-08,-5.234262968e-08,2.522552606e-08,0.0
autocorrelations,ch,bus,subject2,t3,20.0,-3.3616468283797474e-08,-3.199219095e-08,1.3020134518978944e-08,-6.171397341e-08,-1.046712758e-08,0.0
autocorrelations,ch,bus,subject2,t4,5.0,3.1896245541970536e-08,2.766008476e-08,1.958692645738695e-08,3.94022105e-10,7.781633281e-08,0.0
autocorrelations,ch,bus,subject2,t4,10.0,-1.4581253555483278e-08,-1.617412187e-08,8.709922737551953e-09,-2.86211195e-08,8.072213677e-09,0.0
autocorrelations,ch,bus,subject2,t4,15.0,-2.6915555796224064e-08,-2.682924229e-08,5.620774792813052e-09,-3.873587189e-08,-1.580643573e-08,0.0
autocorrelations,ch,bus,subject2,t4,20.0,-1.0504594062271434e-08,-1.272482782e-08,1.0893735662237216e-08,-2.676741639e-08,1.044848623e-08,0.0
autocorrelations,ch,casual,subject1,t1,5.0,3.185601309321992e-09,-1.301470382e-08,9.630734364424665e-08,-1.191319653e-07,2.757851811e-07,0.0
autocorrelations,ch,casual,subject1,t1,10.0,-8.883816907059336e-09,-8.39094913e-09,5.73911991695144e-08,-1.082818957e-07,8.721964268e-08,0.0
autocorrelations,ch,casual,subject1,t1,15.0,-3.354242355373028e-09,1.054520451e-09,5.1246024915346176e-08,-9.856500917e-08,8.1186779e-08,0.0
autocorrelations,ch,casual,subject1,t1,20.0,1.266782954055612e-08,2.067512948e-08,6.373287567546788e-08,-1.076238204e-07,9.452843787e-08,0.0
autocorrelations,ch,casual,subject1,t2,5.0,4.771094854240663e-08,7.815552029e-08,1.4354033732502626e-06,-2.045723912e-06,2.537497009e-06,0.0
autocorrelations,ch,casual,subject1,t2,10.0,5.578117760568464e-08,8.034894217e-08,1.2762169380036177e-06,-1.909658966e-06,1.918451028e-06,0.0
autocorrelations,ch,casual,subject1,t2,15.0,5.516662467746862e-09,8.930743651e-08,1.108545065238819e-06,-1.692096955e-06,1.651338001e-06,0.0
autocorrelations,ch,casual,subject1,t2,20.0,5.5126697146075954e-08,6.366082794e-08,1.0997264188161795e-06,-1.633843098e-06,1.648307705e-06,0.0
autocorrelations,ch,casual,subject1,t3,5.0,-9.036688708603318e-06,-1.255414075e-05,4.851205779939297e-05,-6.916515903e-05,7.883520603e-05,0.0
autocorrelations,ch,casual,subject1,t3,10.0,2.515101381671992e-05,4.535596097e-05,3.6663977853877696e-05,-4.537681775e-05,6.017452743e-05,0.0
autocorrelations,ch,casual,subject1,t3,15.0,-3.083540211293992e-05,-2.983552637e-05,2.4164039449329228e-05,-6.928792662e-05,1.459059962e-05,0.0
autocorrelations,ch,casual,subject1,t3,20.0,2.534936358212489e-05,3.335170046e-05,3.410621533438734e-05,-5.425666734e-05,6.725214727e-05,0.0
autocorrelations,ch,casual,subject1,t4,5.0,-5.876605840672203e-09,-9.254671905e-09,2.187253672377121e-07,-3.325826572e-07,3.985546452e-07,0.0
autocorrelations,ch,casual,subject1,t4,10.0,-2.7637354738257282e-09,-4.948885073e-09,2.0187149129959362e-07,-2.901244974e-07,2.951432911e-07,0.0
autocorrelations,ch,casual,subject1,t4,15.0,-3.2572542674510387e-09,-3.867075713e-09,2.020997015512794e-07,-2.889075315e-07,2.926717393e-07,0.0
