time_1.5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std
0.0,ch,bus,jack,t3,sound_intensity,48.459533777224486,19.912260756924947,27.98996041897354,23.97940008672037,8.848969256347344
1.5,ch,bus,jack,t3,sound_intensity,50.254041849607496,27.458551951737288,41.74077314782709,42.45481768962033,6.7306740491955335
3.0,ch,bus,jack,t3,sound_intensity,49.30582297205298,21.55336037465062,38.396863104680776,41.65600402517412,9.586554932254085
4.5,ch,bus,jack,t3,sound_intensity,49.87080555567061,32.35275876687052,41.63569961173568,41.71180819208562,5.525068713910178
6.0,ch,bus,jack,t3,sound_intensity,46.197713861616734,26.803355134145637,39.0701719713177,39.826329943948494,4.881108554357205
7.5,ch,bus,jack,t3,sound_intensity,48.588799263644106,30.780941504064103,40.295896701876195,40.60789892911609,5.656293253174824
9.0,ch,bus,jack,t3,sound_intensity,48.25185858559518,19.395192526186182,29.873077700727624,26.45422269349092,9.398372385130495
10.5,ch,bus,jack,t3,sound_intensity,50.40182873352699,22.62451089730429,38.794036031625986,39.08017561813354,8.716193057971319
12.0,ch,bus,jack,t3,sound_intensity,48.49407128064939,19.637878273455552,36.82933742925659,40.33101936663848,9.0317808975477
13.5,ch,bus,jack,t3,sound_intensity,45.07437560708248,18.750612633917,29.658518045628956,26.314425836048745,9.434653080678162
15.0,ch,bus,jack,t3,sound_intensity,49.13686723198468,30.4688519083771,42.012223211566905,41.804126328383234,4.830699033669419
16.5,ch,bus,jack,t3,sound_intensity,47.60603401768633,20.043213737826427,33.80359478267292,35.82864540986908,8.95228602093921
18.0,ch,bus,jack,t3,sound_intensity,45.83731393463394,22.648178230095365,33.84829495466991,32.42292904982931,7.554984079710435
19.5,ch,bus,jack,t3,sound_intensity,51.60117231822824,20.21189299069938,38.25284555296018,40.912095975484185,8.297571596978084
21.0,ch,bus,jack,t3,sound_intensity,48.14027728461692,24.78566495593843,37.746255149433885,38.582363354295126,6.280681349544536
22.5,ch,bus,jack,t3,sound_intensity,46.60220194819792,23.856062735983123,35.62307396978119,35.15705605704015,6.66661253517857
24.0,ch,bus,jack,t3,sound_intensity,49.42429734306969,23.856062735983123,35.00952578690352,35.62173863364648,7.273634029904939
25.5,ch,bus,jack,t3,sound_intensity,47.25993258924723,22.576785748691847,34.532547529963985,34.13700146490203,6.996175917955353
27.0,ch,bus,jack,t3,sound_intensity,48.77716800864977,26.972293427597176,38.44740002802315,37.06973676176178,7.378212664271176
28.5,ch,bus,jack,t3,sound_intensity,39.42008053022313,21.81843587944773,30.154928877583874,29.151884612849827,4.516651891697112
30.0,ch,bus,jack,t3,sound_intensity,53.80091794304312,25.854607295085007,39.86060120066795,42.88785612402505,8.158550408793207
31.5,ch,bus,jack,t3,sound_intensity,49.75611004178247,29.72665592266111,40.17070315394664,39.86970120209759,5.528310934305335
33.0,ch,bus,jack,t3,sound_intensity,45.87070834950251,26.31443769013172,38.17875330446197,37.64250875438773,5.525235156601438
34.5,ch,bus,jack,t3,sound_intensity,50.39406186784391,26.748611407378117,38.38634142539434,38.88067113407437,6.945022632979934
36.0,ch,bus,jack,t3,sound_intensity,47.60339537320451,24.37750562820388,34.216149923200895,33.41192861298866,7.579303465346677
37.5,ch,bus,jack,t3,sound_intensity,47.84652947530634,19.59041392321093,36.098767536733824,38.80012838366772,9.551495000117445
39.0,ch,bus,jack,t3,sound_intensity,45.81596985000285,25.32754378992497,36.147695020301065,36.25124687009137,5.976385991988697
40.5,ch,bus,jack,t3,sound_intensity,48.80607825103815,18.19543935541869,34.735294070249125,36.12677918316501,9.355671041849632
42.0,ch,bus,jack,t3,sound_intensity,51.19450552137412,26.766936096248667,40.235062620060646,41.16576456592213,6.4135797909747945
43.5,ch,bus,jack,t3,sound_intensity,46.79627735117285,27.803173121401517,38.389822178056185,40.480198280571635,5.748882669166287
45.0,ch,bus,jack,t3,sound_intensity,50.2735368563807,21.95899652409233,34.12676479097091,33.328422669943514,9.27301098834926
46.5,ch,bus,jack,t3,sound_intensity,50.05382163711417,26.127838567197355,37.69314646134986,40.17416822685777,7.350100609543299
48.0,ch,bus,jack,t3,sound_intensity,47.13927138132432,24.593924877592308,37.23517102849396,37.43823221603751,6.1334135230308116
49.5,ch,bus,jack,t3,sound_intensity,50.08191231541586,20.96910013008056,30.92500008352494,24.780265578737236,10.259529174079713
51.0,ch,bus,jack,t3,sound_intensity,48.76443014717682,25.50228353055094,37.260726822055354,37.42253669906594,6.659052716423377
52.5,ch,bus,jack,t3,sound_intensity,46.05789719802564,21.931245983544617,33.48979249974751,34.18153701005749,8.433327169089942
54.0,ch,bus,jack,t3,sound_intensity,49.59031847282535,17.993405494535818,38.82430594228087,42.35376922402237,9.588029452248088
55.5,ch,bus,jack,t3,sound_intensity,45.221963671366304,22.92256071356476,34.610292443067856,35.317343092765505,6.480897426791498
57.0,ch,bus,jack,t3,sound_intensity,48.22344639121273,24.969296480732147,39.62140954751691,41.12661289602853,6.142079104968462
58.5,ch,bus,jack,t3,sound_intensity,46.68106237932732,25.78639209968072,36.787186578560956,37.857567999626426,7.167239759986109
60.0,ch,bus,jack,t3,sound_intensity,47.64355494100714,19.73127853599699,32.27543275020645,32.451323132024044,9.816162549648398
61.5,ch,bus,jack,t3,sound_intensity,48.11139152337678,17.853298350107668,36.58251192318115,37.5792718311333,8.144325098067608
