time_5,language,tone,participant,script,sensor,sound_intensity_max,sound_intensity_min,sound_intensity_mean,sound_intensity_median,sound_intensity_std,sound_intensity_missing
0,ch,bus,subject2,t3,sound_intensity,53.15205986299497,17.853298350107668,31.444421614801144,28.20714744457885,9.443505397992206,0.0
5,ch,bus,subject2,t3,sound_intensity,54.13430535779121,23.09630167425899,37.200476863603356,37.59592308645975,6.3950496066707485,0.0
10,ch,bus,subject2,t3,sound_intensity,51.80424099207927,19.49390006644913,33.67115522756641,33.51634680920175,9.042597337429003,0.0
15,ch,bus,subject2,t3,sound_intensity,51.996290380646535,21.105897102992486,37.193139421599156,39.49243590568265,7.968069388640833,0.0
20,ch,bus,subject2,t3,sound_intensity,47.72505069394803,21.27104798364808,34.66539778764703,34.5071087814692,7.317013744430339,0.0
25,ch,bus,subject2,t3,sound_intensity,54.01858720959868,18.97627091290441,37.892024982820914,39.994350498763296,9.429003151893735,0.0
30,ch,bus,subject2,t3,sound_intensity,50.69801250273695,16.901960800285135,36.043154377778656,36.08739919068788,8.725052230089558,0.0
35,ch,bus,subject2,t3,sound_intensity,53.29458900059723,21.760912590556813,36.207581870083274,36.80063427481949,8.483289012795389,0.0
40,ch,bus,subject2,t3,sound_intensity,50.986921703082245,20.569048513364727,36.7845854502573,37.55874855672492,8.834690892987002,0.0
45,ch,bus,subject2,t3,sound_intensity,52.70855778006854,16.232492903979004,35.50414564225346,37.465563614103694,9.550251776472898,0.0
50,ch,bus,subject2,t3,sound_intensity,49.66010250724607,19.86771734266245,35.83175291623418,36.63040974893974,8.15662931017657,0.0
55,ch,bus,subject2,t3,sound_intensity,51.99288828082405,18.97627091290441,33.52911925788195,33.72359582524324,8.439845130339732,0.0
60,ch,bus,subject2,t3,sound_intensity,48.8834239402274,21.64352855784437,36.37256932096424,37.17753693210716,7.05682406034995,0.0
65,ch,bus,subject2,t3,sound_intensity,52.97397170819818,18.19543935541869,36.789253466676136,37.91199246498876,8.422834163375494,0.0
70,ch,bus,subject2,t3,sound_intensity,49.74073953905216,20.644579892269185,36.60014226108523,36.7833624673218,7.798168600056462,0.0
75,ch,bus,subject2,t3,sound_intensity,46.44005063473226,22.81033367247728,35.52313366840775,35.34406899137877,7.047623732463318,0.0
80,ch,bus,subject2,t3,sound_intensity,46.82334643812639,20.755469613925307,36.15295508651357,37.78585327862962,7.06534041223476,0.0
85,ch,bus,subject2,t3,sound_intensity,50.59968368625477,20.293837776852097,35.63918489810515,35.748411950633844,7.5880617734262445,0.0
90,ch,bus,subject2,t3,sound_intensity,47.179117107184894,22.78753600952829,36.56753784575179,37.33758835587203,6.193054741955995,0.0
95,ch,bus,subject2,t3,sound_intensity,48.66186878402004,20.89905111439398,36.28094329260621,36.61812685537261,7.483749258890148,0.0
100,ch,bus,subject2,t3,sound_intensity,54.326871482173686,20.569048513364727,36.623333852835984,37.99133693302063,7.950530703958393,0.0
105,ch,bus,subject2,t3,sound_intensity,53.372115929106336,17.92391689498254,35.70021808078822,37.64997599284881,8.070045441265446,0.0
110,ch,bus,subject2,t3,sound_intensity,49.44512282128152,22.52853030979893,36.677486390245036,37.89369153591481,7.695144753313627,0.0
115,ch,bus,subject2,t3,sound_intensity,49.48857791924081,22.90034611362518,35.71439090968779,36.22731965164719,6.9350090650014184,0.0
120,ch,bus,subject2,t3,sound_intensity,50.7878658262311,23.50248018334163,36.901552609762156,38.026369180828105,6.519580772147636,0.0
125,ch,bus,subject2,t3,sound_intensity,54.38395185834269,22.430380486862944,36.45331511965321,36.93551085595913,7.871738441067756,0.0
130,ch,bus,subject2,t3,sound_intensity,50.50546017065933,21.931245983544617,36.16219175599124,38.02773725291976,8.247830182830972,0.0
135,ch,bus,subject2,t3,sound_intensity,50.39275281398446,22.227164711475837,37.75515327697291,39.89316304989951,7.444901449076099,0.0
140,ch,bus,subject2,t3,sound_intensity,49.91199485420423,17.403626894942438,32.96735752314633,33.88988785124714,9.448808324264208,0.0
